TOOLING_FAMILY,SETUP_TIME
6567540A,2.5
6567543A,2.5
6568520A,2.5
6568520B,2.5
6568521A,2.5
6568858C,2.5
6569094B,2.5
6569306A,2.5
6569544B,2.5
6569544C,2.5
6569845A,2.5
6570166A,2.5
6570166B,2.5
6570242A,2.5
6570316B,2.5
6570316D,2.5
6570333A,2.5
6570333B,2.5
6570450A,2.5
6570729B,2.5
6570740A,2.5
6570774A,2.5
6570845A,2.5
6571174A,2.5
6571220A,2.5
6571495A,2.5
6571778A,2.5
6572091A,2.5
6572424A,2.5
6572612A,2.5
6574439B,2.5
6574496A,2.5
6574499A,2.5
6574595B,2.5
6575179A,2.5
6575257A,2.5
6575257C,2.5
6575258A,2.5
6575337A,2.5
6575337B,2.5
6575542A,2.5
6575577B,2.5
6575703A,2.5
6575989B,2.5
6576395A,2.5
6576750A,2.5
6576774A,2.5
6576907A,2.5
6576907B,2.5
6577168A,2.5
6577359A,2.5
6577361B,2.5
6577416A,2.5
6577640A,2.5
6577720A,2.5
6577979A,2.5
6577980A,2.5
6578526A,2.5
6578688B,2.5
6578825A,2.5
6579192B,2.5
6579381A,2.5
6579484A,2.5
6579742C,2.5
6579768B,2.5
6579768C,2.5
6580041A,2.5
6580605B,2.5
6580945B,2.5
6580963A,2.5
6582184A,2.5
6582274B,2.5
6582451A,2.5
6582454A,2.5
6582454B,2.5
6582601A,2.5
6582798a,2.5
6583470B,2.5
6584339A,2.5
6584432A,2.5
6584432B,2.5
6584446B,2.5
6584954A,2.5
6585754A,2.5
6586254A,2.5
6586556A,2.5
6586952a,2.5
6587348A,2.5
6587499A,2.5
6587962A,2.5
ENGINEERING,2.5
LP8765REV1,2.5
