DEVICE,Tester Type,Tester Config,Handler,Handler Config,Temperature,LogPoint,PPH
SN75LVCP412ARTJT,VLCT-X1,VLCT-X1,,,,,3158
SN75LVCP412CDRTJR,VLCT-X1,VLCT-X1,,,,,1572
SN75LVCP412CDRTJT,VLCT-X1,VLCT-X1,,,,,1572
SN75LVCP412RTJR,VLCT-X1,VLCT-X1,,,,,3146
SN75LVCP412RTJT,VLCT-X1,VLCT-X1,,,,,3146
SN75LVCP601RTJR,VLCT-X1,VLCT-X1,,,,,3082
SN75LVCP601RTJT,VLCT-X1,VLCT-X1,,,,,3082
SN8C050B0RGZR,VLCT-X1,VLCT-X1,,,,,1764
SN8C050B0RGZT,VLCT-X1,VLCT-X1,,,,,1764
SN9000RSMR,J750,J750,,,,,2600
SN9010RHBR,I-FLEX,I-FLEX,,,,,512
SN92009A4RGZR,I-FLEX,I-FLEX,,,,,1310
SN94101RHDR,I-FLEX,I-FLEX,,,,,3247
SN98044A1RHBR,I-FLEX,I-FLEX,,,,,2381
SN9B047A1RTQR,I-FLEX,I-FLEX,,,,,1728
SNA1038A1RGCR,VLCT-X1,VLCT-X1,,,,,671
SNA1038A1RGCR,VLCT-X1,VLCT-X1,,,,,4250
SNA1038A2RGCR,VLCT-X1,VLCT-X1,,,,,3587
SNA1101RSKR,I-FLEX,I-FLEX,,,,,397
SNA11027RGTR,I-FLEX,I-FLEX,,,,,5032
SNA4102RHBR,I-FLEX,I-FLEX,,,,,3416
SNA9007RHBR,VLCT-X1,VLCT-X1,,,,,874
SNA9033A2RSLR,I-FLEX,I-FLEX,,,,,3597
SNB1034A1RTQR,I-FLEX,I-FLEX,,,,,1738
SNB1058A0RSMR,VLCT-X1,VLCT-X1,,,,,1960
SNB1058A3RSMR,VLCT-X1,VLCT-X1,,,,,1783
SNB1065A2RSLR,I-FLEX,I-FLEX,,,,,3500
SNB1105RGPR,I-FLEX,I-FLEX,,,,,3936
SNB2002A1RGFR,I-FLEX,I-FLEX,,,,,1895
SNB2002A2RGFR,I-FLEX,I-FLEX,,,,,1636
SNB4047A2RSLR,I-FLEX,I-FLEX,,,,,3416
SNB4047A2RSLT,I-FLEX,I-FLEX,,,,,3416
SNB5017A2RSLR,I-FLEX,I-FLEX,,,,,3463
SNBA015RKPR,VLCT-X1,VLCT-X1,,,,,299
SNBC045A2RSLR,I-FLEX,I-FLEX,,,,,3581
SNC8037A3RTQR,I-FLEX,I-FLEX,,,,,1493
SNC8042RGCR,I-FLEX,I-FLEX,,,,,1016
SNC8050A1RTQR,I-FLEX,I-FLEX,,,,,1757
SNC9005RSKR,I-FLEX,I-FLEX,,,,,1221
SNC9039RUYR,VLCT-X1,VLCT-X1,,,,,1037
SND4009A2RSLR,I-FLEX,I-FLEX,,,,,3597
SND5013A2RSLR,I-FLEX,I-FLEX,,,,,3558
SND5020A2RSLR,I-FLEX,I-FLEX,,,,,3581
TAS2505IRGER,VLCT-X1,VLCT-X1,,,,,1507
TAS2505IRGET,VLCT-X1,VLCT-X1,,,,,1507
TAS2521IRGET,VLCT-X1,VLCT-X1,,,,,1276
TAS5725RGZR,VLCT-X1,VLCT-X1,,,,,1035
TAS5725RGZT,VLCT-X1,VLCT-X1,,,,,1035
TAS5750HRHAR,VLCT-X1,VLCT-X1,,,,,1250
TAS5750HRHAT,VLCT-X1,VLCT-X1,,,,,1250
TAS5758LRSMR,VLCT-X1,VLCT-X1,,,,,884
TCA8424RHAR,VLCT-X1,VLCT-X1,,,,,3851
THS4541IRGTR,EAGLE,EAGLE,,,,,2858
THS6186IRTJR,EAGLE,EAGLE,,,,,3141
THS6187IRTJR,EAGLE,EAGLE,,,,,3366
THS6223IRHBR,EAGLE,EAGLE,,,,,2801
THS6226IRHBR,EAGLE,EAGLE,,,,,3031
THS6226IRHBT,EAGLE,EAGLE,,,,,3031
THS9000DRWR,EAGLE,EAGLE,,,,,5685
THS9000DRWT,EAGLE,EAGLE,,,,,5685
TLC59283RGER,VLCT-X1,VLCT-X1,,,,,1914
TLC59283RGET,VLCT-X1,VLCT-X1,,,,,1914
TLC5928RGER,VLCT-X1,VLCT-X1,,,,,2783
TLC5928RGET,VLCT-X1,VLCT-X1,,,,,2783
TLC5945RHBR,VLCT,VLCT,,,,,1135
TLC5946RHBR,VLCT,VLCT,,,,,1833
TLC5946RHBT,VLCT,VLCT,,,,,1833
TLC59483RGER,VLCT-X1,VLCT-X1,,,,,1250
TLC5954RTQR,VLCT-X1,VLCT-X1,,,,,943
TLC5955RTQR,VLCT-X1,VLCT-X1,,,,,994
TLC5957RTQR,I-FLEX,I-FLEX,,,,,2374
TLC5958RTQR,I-FLEX,I-FLEX,,,,,2681
TLC5958RTQT,I-FLEX,I-FLEX,,,,,2681
TLK105LRHBR,FUSION EX,FUSION EX,,,,,1387
TLK105LRHBT,FUSION EX,FUSION EX,,,,,1387
TLK105RHBR,FUSION EX,FUSION EX,,,,,2623
TLK105RHBT,FUSION EX,FUSION EX,,,,,2623
TLK106LRHBR,FUSION EX,FUSION EX,,,,,2091
TLK106LRHBT,FUSION EX,FUSION EX,,,,,2091
TLK106RHBR,FUSION EX,FUSION EX,,,,,2091
TLK106RHBT,FUSION EX,FUSION EX,,,,,2091
TLK6201EARGTR,VLCT-X1,VLCT-X1,,,,,3034
TLK6201EARGTT,VLCT-X1,VLCT-X1,,,,,3034
TLMW301RGPR,VLCT-X1,VLCT-X1,,,,,2222
TLS2700RGTRG4,VLCT-X1,VLCT-X1,,,,,2523
TLV320ADC3101IRGER,VLCT-X1,VLCT-X1,,,,,1107
TLV320ADC3101IRGET,VLCT-X1,VLCT-X1,,,,,1107
TLV320AIC23BRHDR,VLCT-X1,VLCT-X1,,,,,581
TLV320AIC29IRGZR,VLCT-X1,VLCT-X1,,,,,666
TLV320AIC3004IRHBR,VLCT-X1,VLCT-X1,,,,,1497
TLV320AIC3012IRHBR,VLCT-X1,VLCT-X1,,,,,2315
TLV320AIC3012IRHBT,VLCT-X1,VLCT-X1,,,,,2315
TLV320AIC3016IRHBR,VLCT-X1,VLCT-X1,,,,,912
TLV320AIC3016IRHBT,VLCT-X1,VLCT-X1,,,,,912
TLV320AIC3029IRHBR,VLCT-X1,VLCT-X1,,,,,1664
TLV320AIC3029IRHBT,VLCT-X1,VLCT-X1,,,,,1664
