"pkgtype","tester_req","EDGE_LB","pkg_size","Device_Name","Package","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_queue_1_tester"
"STD  ","ETS-2-64","6515577B","5.5X3.5       ","BQ24133RGYR-G2","RGY          ","27487","13743.5","49584.85","17271","113739","0","0.35","2.29","0","2.642137669066257"
"STD  ","ETS-2-64","6515577B","5.5X3.5       ","BQ24172RGYR-G2","RGY          ","77824","38912","53046.93","0","77824","0","0","1.47","0","1.467078302175074"
"STD  ","ETS-2M-64","6515577B","5.5X3.5       ","BQ24133RGYR-G2","RGY          ","97050","48525","49584.85","17271","113739","0","0.35","2.29","0","2.642137669066257"
"STD  ","ETM-2-64","6566885A","3.5X3.5       ","S62736RGYR-G2K","RGY300       ","228200","114100","58485.72","125657","291309","0","2.15","4.98","0","7.129364227712337"
"STD  ","ETS-2-64","6566885A","3.5X3.5       ","S62736RGYR-G2K","RGY300       ","113267","56633.5","58485.72","125657","291309","0","2.15","4.98","0","7.129364227712337"
"STD  ","ETS-0-64","6519267C","7X7           ","AFE031AIRGZR-C","RGZ          ","82370","41185","51826.08","20284","66554","0","0.39","1.28","0","1.6755656611497531"
"STD  ","ETS-0-64","6519267C","7X7           ","FE030AIRGZR-CK","RGZ          ","17374","8687","49825.88","35067","0","0","0.7","0","0","0.7037908813652665"
"STD  ","ETS-2-64","6542777B","6X6           ","1311031RHAR-G2","RHA300       ","6221","3110.5","26283.66","3699","6221","0","0.14","0.24","0","0.3774208006038733"
"STD  ","ETS-2-64","6542777B","6X6           ","PS40425RHAR-G2","RHA300       ","31592","15796","23509.33","12903","50354","0","0.55","2.14","0","2.690718961365551"
"STD  ","ETS-2-64","6542777B","6X6           ","PS40428RHAR-G2","RHA300       ","9661","4830.5","23958.49","30591","19915","0","1.28","0.83","0","2.1080627368419296"
"STD  ","ETS-2-64","6568520B","5X5           ","S65262RHBR3-G2","RHB300       ","126114","63057","64133.05","55855","121905","0","0.87","1.9","0","2.7717378169290248"
"STD  ","ETS-2-64","6568521A","5X5           ","PS65261RHBR-G2","RHB300       ","156830","78415","84486.72","125217","39497","0","1.48","0.47","0","1.9495845027478875"
"STD  ","ETS-1-64","6487925B","3.5X3.5       ","TPS54622RHLR-L","RHL          ","34114","17057","55732.88","88556","173011","0","1.59","3.1","0","4.693225973608398"
"STD  ","ETS-2-64","6487925B","3.5X3.5       ","PS54821RHLR2-R","RHL          ","98032","49016","61549.98","64957","430775","0","1.06","7","0","8.054137466819647"
"STD  ","ETS-2-64","6487925B","3.5X3.5       ","TPS54622RHLR-L","RHL          ","18414","9207","55732.88","88556","173011","0","1.59","3.1","0","4.693225973608398"
"STD  ","ETS-2-64","6487925B","3.5X3.5       ","TPS54622RHLT-L","RHL          ","11681","5840.5","55732.88","0","26782","0","0","0.48","0","0.4805421862283091"
"STRIP","ETS-1-64","6487925B","3.5X3.5       ","4622RHLR1-LQR#","RHLST        ","15108","7554","55732.88","0","15108","0","0","0.27","0","0.2710787599707749"
"STD  ","ETS-2-64","6555639A","5.5X3.5       ","1306051RHRR-G2","RHR300       ","156183","78091.5","42013.53","113872","240720","0","2.71","5.73","0","8.439947797768957"
