"pkgtype","EDGE_LB","num_lots","pkg_size","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
"STD  ","6462654A","12","3X3           ","143486","71743","140474.12","0","103259","0","0","0.74","0","0.7350749020531326"
"STD  ","6479465A","11","4X4           ","98978","49489","50617.81","0","98978","0","0","1.96","0","1.955398702551533"
"STD  ","6484140A","25","3X3           ","348308","174154","88499.02","0","19465","0","0","0.22","0","0.21994593838440243"
"STD  ","6487839B","10","5X5           ","61961","30980.5","31838.99","0","148415","0","0","4.66","0","4.661422991118751"
"STD  ","6487925B","35","3.5X3.5       ","374102","187051","64529.8","0","777081","0","0","12.04","0","12.042203757023886"
"STD  ","6489159B","24","3X3           ","281874","140937","68579.81","0","554765","0","0","8.09","0","8.089334164092902"
"STD  ","6494708A","16","4X4           ","135167","67583.5","47517.61","0","39603","0","0","0.83","0","0.8334383821071809"
"STRIP","6497193A","18","2.5X2.5       ","417067","208533.5","200272.77","0","104241","0","0","0.52","0","0.520495122726869"
"STD  ","6505620C","6","3X3           ","73671","36835.5","0","0","142710","0","0","0","0","0"
"STRIP","6506370A","41","2X2           ","899718","449859","337697.32","0","326785","0","0","0.97","0","0.9676860923859271"
"STD  ","6506727A","4","3X3           ","59571","29785.5","92409.87","0","137424","0","0","1.49","0","1.487113876472286"
"STD  ","6510609E","27","3X3           ","316657","158328.5","93221.17","0","44636","0","0","0.48","0","0.4788182770072506"
"STD  ","6510697B","11","4X4           ","98893","49446.5","66112.02","0","56790","0","0","0.86","0","0.8589965939627922"
"STD  ","6512302B","23","3X3           ","263184","131592","30575.96","0","15101","0","0","0.49","0","0.49388473820609397"
"STD  ","6512615D","19","3.5X3.5       ","249894","124947","87350.67","0","56908","0","0","0.65","0","0.6514889925858611"
"STD  ","6513992A","21","3X3           ","300055","150027.5","102887.86","0","101515","0","0","0.99","0","0.9866567348178882"
"STD  ","6513992B","3","3X3           ","50339","25169.5","0","0","251993","0","0","0","0","0"
"STD  ","6515577B","34","5.5X3.5       ","202361","101180.5","50908.59","0","131010","0","0","2.57","0","2.5734360350581307"
"STD  ","6518552B","41","3X3           ","541084","270542","85421.31","0","453208","0","0","5.31","0","5.305561340606928"
"STD  ","6518677A","13","5X5           ","86796","43398","54869.27","0","86796","0","0","1.58","0","1.5818690498342698"
"STD  ","6519267C","24","7X7           ","99744","49872","51492.72","0","35067","0","0","0.68","0","0.6810088882467269"
"CLIP ","6522167C","38","6X5           ","210995","105497.5","60519.59","0","150348","0","0","2.48","0","2.484286493018211"
"STD  ","6523514A","13","3X3           ","160923","80461.5","88046.09","0","57672","0","0","0.66","0","0.6550205693404443"
"STD  ","6524040A","29","3X3           ","355379","177689.5","67165.04","0","450238","0","0","6.7","0","6.703457632125285"
"STD  ","6524788B","7","2X2           ","170848","85424","185472","0","170848","0","0","0.92","0","0.921152518978606"
"STRIP","6525230A","22","2X2           ","513342","256671","756144.19","0","538082","0","0","0.71","0","0.7116129530797559"
"STD  ","6525585A","168","4X4           ","1455766","727883","60944.22","0","9969","0","0","0.16","0","0.16357580751710335"
"STD  ","6526546B","13","4X4           ","126848","63424","63243.95","0","159917","0","0","2.53","0","2.528573879398741"
"STD  ","6528917C","30","7X5           ","92587","46293.5","20621.08","0","626087","0","0","30.36","0","30.361503859157715"
"STD  ","6529253A","5","3X3           ","30108","15054","51911.9","0","30108","0","0","0.58","0","0.5799826244078911"
"STD  ","6529571A","12","3X3           ","143587","71793.5","70820.21","0","136381","0","0","1.93","0","1.925735605697865"
"STRIP","6530035A","32","3X3           ","423946","211973","207676.87","0","606365","0","0","2.92","0","2.919752209285512"
"STRIP","6542741A","40","3X3           ","503934","251967","107404.51","0","561451","0","0","5.23","0","5.227443428586007"
"STD  ","6542777B","11","6X6           ","47474","23737","24095.42","0","9920","0","0","0.41","0","0.41169649667862196"
"STD  ","6546767B","24","4X4           ","202272","101136","181842.2","0","295401","0","0","1.62","0","1.6244909047514822"
"STD  ","6547181A","16","3X3           ","177572","88786","55837.81","0","32221","0","0","0.58","0","0.5770462702602412"
"STRIP","6554905A","39","3X3           ","455939","227969.5","217507.84","0","7010","0","0","0.03","0","0.032228723341650584"
"STD  ","6555551A","22","5X5           ","165928","82964","51203.7","0","173843","0","0","3.4","0","3.3951257428662385"
"STD  ","6555639A","26","5.5X3.5       ","156183","78091.5","42013.53","0","240720","0","0","5.73","0","5.729582827246365"
"STD  ","6556725A","6","4X4           ","47691","23845.5","32052.94","0","57695","0","0","1.8","0","1.7999908900712385"
"STD  ","6566885A","25","3.5X3.5       ","341467","170733.5","58485.72","0","416966","0","0","7.13","0","7.129364227712337"
"STD  ","6568520B","17","5X5           ","126114","63057","64133.05","0","177760","0","0","2.77","0","2.7717378169290248"
"STD  ","6568521A","21","5X5           ","156830","78415","84486.72","0","164714","0","0","1.95","0","1.9495845027478875"
"STD  ","6570774A","19","7X7           ","79740","39870","27367.92","0","88061","0","0","3.22","0","3.217672369694153"
"STD  ","6570845A","12","3X3           ","139031","69515.5","88918.36","0","139031","0","0","1.56","0","1.5635803449366363"
"STD  ","6571495A","50","4X4           ","476428","238214","55015.63","0","264392","0","0","4.81","0","4.805761562668645"
"STD  ","6575258A","14","4X4           ","131461","65730.5","49662.17","0","37247","0","0","0.75","0","0.7500075006790884"
"STRIP","6576907B","25","2X2           ","597452","298726","196161.3","0","96167","0","0","0.49","0","0.49024450796359936"
