"device","logpoint","quantity","average_capacity","Queue"
"001DRBR1-G2QN#","4410","2294",NULL,"0"
"03054DRCR1-G2Y","4410","62604","43477.19","1.44"
"03V1RUNR1-G2N#","4410","7450",NULL,"0"
"090BRVNR1-G2N#","1450","1435",NULL,"0"
"090BRVNR1-G2N#","3000","2826",NULL,"0"
"090BRVNR1-G2N#","4410","5720",NULL,"0"
"090QRGTRQ12-G2","3000","11053","0","0"
"090QRGTRQ12-G2","4410","13703","0","0"
"1211DSCR1-G2YK","1400","13814","208380.42","0.07"
"1211DSCR1-G2YK","1410","27630","208380.42","0.13"
"1211DSCR1-G2YK","1430","27631","208380.42","0.13"
"1211DSCR1-G2YK","1450","49737","208380.42","0.24"
"1211DSCR1-G2YK","2000","67679","208380.42","0.32"
"1211DSCR1-G2YK","2150","27641","208380.42","0.13"
"1211DSCR1-G2YK","4410","392233","208380.42","1.88"
"1212006RGRR-G2","1410","15103","79144.69","0.19"
"1212006RGRR-G2","1450","24231","79144.69","0.31"
"1212006RGRR-G2","4410","215826","79144.69","2.73"
"1212DSCR2-G2YK","4410","45537","202752","0.22"
"1275B1RUKR-G2K","2000","11176","0","0"
"1275B1RUKR-G2K","4410","27599","0","0"
"1305017RTER-G2","1450","15074","55821.74","0.27"
"1305017RTER-G2","4410","82518","55821.74","1.48"
"1306051RHRR-G2","1400","25902","42013.53","0.62"
"1306051RHRR-G2","1410","4372","42013.53","0.1"
"1306051RHRR-G2","1420","9718","42013.53","0.23"
"1306051RHRR-G2","1430","6480","42013.53","0.15"
"1306051RHRR-G2","1450","32378","42013.53","0.77"
"1306051RHRR-G2","1460","5924","42013.53","0.14"
"1306051RHRR-G2","2100","22663","42013.53","0.54"
"1306051RHRR-G2","3000","6435","42013.53","0.15"
"1306051RHRR-G2","4410","240720","42013.53","5.73"
"1311031RHAR-G2","1410","3699","26283.66","0.14"
"1311031RHAR-G2","4410","6221","26283.66","0.24"
"1312DRCR1-G2KY","1450","13812","0","0"
"1312DRCR1-G2KY","4410","50993","0","0"
"1622IDRCR-RQR&","1420","5752",NULL,"0"
"1622IDRCR-RQR&","1450","6853",NULL,"0"
"1632QRSMTQ1-G2","695","7578","0","0"
"1632QRSMTQ1-G2","2100","4882","0","0"
"1640ARSLR1-G2K","4410","7338","28991.85","0.25"
"202027ARSLR-G2","1450","2540","93968.85","0.03"
"202027ARSLR-G2","1460","4563","93968.85","0.05"
"202027ARSLR-G2","2100","4728","93968.85","0.05"
"202027ARSLR-G2","3000","2295","93968.85","0.02"
"202027ARSLR-G2","4410","16097","93968.85","0.17"
"202027DRSLR-G2","1410","4153","88948.54","0.05"
"202027DRSLR-G2","1450","5179","88948.54","0.06"
"202027DRSLR-G2","3000","2546","88948.54","0.03"
"202027DRSLR-G2","4410","28644","88948.54","0.32"
"202027KRSLR-G2","1450","5173","94286.77","0.05"
"202027KRSLR-G2","1460","3713","94286.77","0.04"
"202027KRSLR-G2","3000","5138","94286.77","0.05"
