"pkgtype","tester_req","EDGE_LB","pkg_size","Pin","Package","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
"STD  ","ETS-2-64","6578688B","4.5X3.5       ","DPC          ","DPC          ","159020","79510","46609.88","44793","7724","0","0.96","0.17","0","1.1267353616872646"
"CLIP ","ETS-2-64","6522167C","6X5           ","DQPCLIP      ","DQPCLIP      ","210995","105497.5","60519.59","46621","103727","0","0.77","1.71","0","2.484286493018211"
"STD  ","ETS-S-64","6462654A","3X3           ","DRB          ","DRB          ","143486","71743","140474.12","0","103259","0","0","0.74","0","0.7350749020531326"
"STD  ","ETS-0-64","6489159B","3X3           ","DRB          ","DRB          ","144485","72242.5","68579.81","125880","428885","0","1.84","6.25","0","8.089334164092902"
"STD  ","ETS-2-64","6489159B","3X3           ","DRB          ","DRB          ","137389","68694.5","68579.81","125880","428885","0","1.84","6.25","0","8.089334164092902"
"STD  ","ETS-0-64","6529571A","3X3           ","DRB          ","DRB          ","13806","6903","70820.21","0","136381","0","0","1.93","0","1.925735605697865"
"STD  ","ETS-2M-64","6529571A","3X3           ","DRB          ","DRB          ","129781","64890.5","70820.21","0","136381","0","0","1.93","0","1.925735605697865"
"STD  ","ETS-1M-64","6512302B","3X3           ","DRB300       ","DRB300       ","13819","6909.5",NULL,"162451","445668","0","0","0","0","0"
"STD  ","ETS-2-64","6512302B","3X3           ","DRB300       ","DRB300       ","247071","123535.5","30575.96","0","15101","0","0","0.49","0","0.49388473820609397"
"STD  ","ETS-2-64","6512302B","3X3           ","DRBST300     ","DRBST300     ","2294","1147",NULL,"0","2294","0","0","0","0","0"
"STD  ","ETS-0-64","6505620C","3X3           ","DRC          ","DRC          ","73671","36835.5","0","142710","0","0","0","0","0","0"
"STD  ","ETS-0-64","6523514A","3X3           ","DRC          ","DRC          ","160923","80461.5","88046.09","27496","30176","0","0.31","0.34","0","0.6550205693404443"
"STD  ","ETS-2-64","6547181A","3X3           ","DRC          ","DRC          ","177572","88786","55837.81","0","32221","0","0","0.58","0","0.5770462702602412"
"STD  ","ETS-2-64","6570845A","3X3           ","DRC          ","DRC          ","139031","69515.5","88918.36","34471","104560","0","0.39","1.18","0","1.5635803449366363"
"STD  ","ETS-2-64","6506727A","3X3           ","DRCLLF       ","DRCLLF       ","59571","29785.5","92409.87","27339","110085","0","0.3","1.19","0","1.487113876472286"
"STRIP","ETS-2-64","6554905A","3X3           ","DRCST        ","DRCST        ","455939","227969.5","217507.84","7010","0","0","0.03","0","0","0.032228723341650584"
"STRIP","ETS-2-64","6525230A","2X2           ","DRVST        ","DRVST        ","513342","256671","756144.19","236373","301709","0","0.31","0.4","0","0.7116129530797559"
"STD  ","ETM-2-64","6524788B","2X2           ","DRVST300     ","DRVST300     ","170848","85424","185472","0","170848","0","0","0.92","0","0.921152518978606"
"STRIP","ETS-2-128","6530035A","3X3           ","DSC300ST     ","DSC300ST     ","423946","211973","207676.87","214132","392233","0","1.03","1.89","0","2.919752209285512"
"STRIP","ETS-1M-64","6506370A","2X2           ","DSGST        ","DSGST        ","655338","327669","338596.49","24823","301962","0","0.07","0.89","0","0.9651163247439453"
"STRIP","ETS-S-64","6506370A","2X2           ","DSGST        ","DSGST        ","244380","122190","334909.9","24823","301962","0","0.07","0.9","0","0.9757400423218304"
"STRIP","ETS-2-128","6576907B","2X2           ","DSGST        ","DSGST        ","223496","111748","195257.98","0","501285","0","0","2.57","0","2.567295841122601"
"STRIP","ETS-2-64","6576907B","2X2           ","DSGST        ","DSGST        ","373956","186978","196669.42","0","96167","0","0","0.49","0","0.48897790007211084"
"STRIP","ETS-0-64","6497193A","2.5X2.5       ","DSKST        ","DSKST        ","386973","193486.5","200385.01","104241","0","0","0.52","0","0","0.5202035820942894"
"STRIP","ETS-2-64","6497193A","2.5X2.5       ","DSKST        ","DSKST        ","30094","15047","198364.64","136622","163853","0","0.69","0.83","0","1.5147608969017865"
"STD  ","ETS-2-64","6525585A","4X4           ","RGE300       ","RGE300       ","10075","5037.5","65579.49","10072","10075","0","0.15","0.15","0","0.30721495394367965"
"STD  ","ETS-2-64","6525585A","4X4           ","RGE300LLF    ","RGE300LLF    ","147484","73742","60916.13","240418","34663","0","3.95","0.57","0","4.515733353382758"
"STD  ","ETS-2M-64","6556725A","4X4           ","RGE300LLF    ","RGE300LLF    ","47691","23845.5","32052.94","7189","50506","0","0.22","1.58","0","1.7999908900712385"
"STD  ","ETS-2-64","6575258A","4X4           ","RGE300LLF    ","RGE300LLF    ","131461","65730.5","49662.17","0","37247","0","0","0.75","0","0.7500075006790884"
"STD  ","ETS-2-128","6510697B","4X4           ","RGELLF       ","RGELLF       ","98893","49446.5","66112.02","17032","39758","0","0.26","0.6","0","0.8589965939627922"
"STD  ","ETS-2-64","6525585A","4X4           ","RGELLF       ","RGELLF       ","1298207","649103.5","60916.13","0","9969","0","0","0.16","0","0.16365123654440952"
"STD  ","ETM-4-64","6546767B","4X4           ","RGPST300     ","RGPST300     ","202272","101136","181842.2","197758","97643","0","1.09","0.54","0","1.6244909047514822"
"STD  ","ETS-2-64","6512615D","3.5X3.5       ","RGR          ","RGR          ","231892","115946","88571.24","56908","0","0","0.64","0","0","0.6425110453460965"
"STD  ","ETS-2-64","6512615D","3.5X3.5       ","RGR300       ","RGR300       ","18002","9001","76975.87","18002","0","0","0.23","0","0","0.23386549577159702"
"STD  ","ETS-2-64","6510609E","3X3           ","RGT          ","RGT          ","117221","58610.5","94171.79","81117","227072","0","0.86","2.41","0","3.27262548582755"
"STD  ","ETS-2M-128","6510609E","3X3           ","RGT          ","RGT          ","109851","54925.5","94171.79","81117","227072","0","0.86","2.41","0","3.27262548582755"
"STD  ","ETS-2-64","6510609E","3X3           ","RGT300       ","RGT300       ","75821","37910.5","91421.79","6896","37740","0","0.08","0.41","0","0.48824246385899905"
"STD  ","ETS-2M-128","6510609E","3X3           ","RGT300       ","RGT300       ","13764","6882","87755.14","6896","37740","0","0.08","0.43","0","0.5086425706801904"
"STD  ","ETS-2-64","6518552B","3X3           ","RGT300       ","RGT300       ","541084","270542","85421.31","54681","398527","0","0.64","4.67","0","5.305561340606928"
"STD  ","ETS-2-128","6484140A","3X3           ","RGT300LLF    ","RGT300LLF    ","75510","37755","88903.75","76032","198498","0","0.86","2.23","0","3.087946233989005"
"STD  ","ETS-2-64","6484140A","3X3           ","RGT300LLF    ","RGT300LLF    ","253333","126666.5","89139.65","0","113635","0","0","1.27","0","1.2747974666716777"
"STD  ","ETS-2-128","6484140A","3X3           ","RGTLLF       ","RGTLLF       ","11155","5577.5","81721.57","0","19465","0","0","0.24","0","0.2381868091863629"
"STD  ","ETS-2-64","6484140A","3X3           ","RGTLLF       ","RGTLLF       ","8310","4155","81721.57","0","19465","0","0","0.24","0","0.2381868091863629"
"STD  ","ETM-4-64","6513992A","3X3           ","RGTLLF       ","RGTLLF       ","101515","50757.5","104493.73","101515","0","0","0.97","0","0","0.9714936963203439"
"STD  ","ETS-S-64","6513992A","3X3           ","RGTLLF       ","RGTLLF       ","198540","99270","102084.92","109701","291360","0","1.07","2.85","0","3.928699753107511"
"STD  ","ETS-2-64","6513992B","3X3           ","RGTLLF       ","RGTLLF       ","16840","8420","0","0","251993","0","0","0","0","0"
"STD  ","ETS-2M-64","6513992B","3X3           ","RGTLLF       ","RGTLLF       ","16823","8411.5","0","0","251993","0","0","0","0","0"
"STD  ","ETS-S-64","6513992B","3X3           ","RGTLLF       ","RGTLLF       ","16676","8338","0","0","251993","0","0","0","0","0"
"STRIP","ETS-2-128","6542741A","3X3           ","RGTST        ","RGTST        ","221111","110555.5","107404.51","62185","499266","0","0.58","4.65","0","5.227443428586007"
"STRIP","ETS-2-64","6542741A","3X3           ","RGTST        ","RGTST        ","227539","113769.5","107404.51","62185","499266","0","0.58","4.65","0","5.227443428586007"
"STRIP","ETS-2M-64","6542741A","3X3           ","RGTST        ","RGTST        ","55284","27642","107404.51","62185","499266","0","0.58","4.65","0","5.227443428586007"
"STD  ","ETS-2-64","6555551A","5X5           ","RGW300       ","RGW300       ","98716","49358","51203.7","395958","314090","0","7.73","6.13","0","13.867122883697858"
"STD  ","ETS-2Q-64","6555551A","5X5           ","RGW300       ","RGW300       ","67212","33606","51203.7","395958","314090","0","7.73","6.13","0","13.867122883697858"
"STD  ","ETS-1-64","6487925B","3.5X3.5       ","RGY          ","RGY          ","76465","38232.5","69929.46","212474","564607","0","3.04","8.07","0","11.112355221962245"
"STD  ","ETS-2-64","6487925B","3.5X3.5       ","RGY          ","RGY          ","120288","60144","69929.46","212474","564607","0","3.04","8.07","0","11.112355221962245"
"STD  ","ETS-2-64","6515577B","5.5X3.5       ","RGY          ","RGY          ","105311","52655.5","51953.65","17271","113739","0","0.33","2.19","0","2.521670758454892"
"STD  ","ETS-2M-64","6515577B","5.5X3.5       ","RGY          ","RGY          ","97050","48525","49584.85","17271","113739","0","0.35","2.29","0","2.642137669066257"
"STD  ","ETM-2-64","6566885A","3.5X3.5       ","RGY300       ","RGY300       ","228200","114100","58485.72","125657","291309","0","2.15","4.98","0","7.129364227712337"
"STD  ","ETS-2-64","6566885A","3.5X3.5       ","RGY300       ","RGY300       ","113267","56633.5","58485.72","125657","291309","0","2.15","4.98","0","7.129364227712337"
"STD  ","ETS-0-64","6519267C","7X7           ","RGZ          ","RGZ          ","99744","49872","51492.72","35067","0","0","0.68","0","0","0.6810088882467269"
"STD  ","ETS-2-64","6542777B","6X6           ","RHA300       ","RHA300       ","47474","23737","24095.42","3699","6221","0","0.15","0.26","0","0.41169649667862196"
