"MI","MF","PKG","LB","TF","NROWS","SUM_QTY","RNUM","SUM_PPH","APPROX","PKGTYPE","PIN","CAP_PER_DAY","WIP_POST_WB","WIP_FT1","WIP_FT2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","TOTAL_WIP"
"CLFTEA61","ETS-2-64","3.5X3.5","6512615D","6512615D","5","75526","1","10764","7.02","STD  ","RGR          ","87959.22","129653","60445","0","1.47","0.69","0","2.1612060679937817"
"CLFTEA61","ETS-2-64","4X4","6525585A                                     ","6525585A","14","130277","2","24506","5.32","STD  ","RGELLF       ","60916.13","389496","1697943","0","6.39","27.87","0","34.267426377873974"
"CLFTEA61","ETS-2-64","4X4","6525585A                                     ","6525585A","14","130277","2","24506","5.32","STD  ","RGE300LLF    ","60916.13","144517","231651","0","2.37","3.8","0","6.175178889400886"
"CLFTEA62","ETS-2M-128","3X3","6510609E","6510609E","9","123615","1","11500","10.75","STD  ","RGT300       ","87755.14","6896","37740","0","0.08","0.43","0","0.5086425706801904"
"CLFTEA62","ETS-2M-128","3X3","6510609E","6510609E","9","123615","1","11500","10.75","STD  ","RGT          ","94171.79","81117","227072","0","0.86","2.41","0","3.27262548582755"
"CLFTEA62","ETS-2M-128","7X7","6570774A                                     ","6570774A","10","42782","2","1250","34.23","STD  ","RSH          ","27367.92","0","88061","0","0","3.22","0","3.217672369694153"
"CLFTEA63","ETS-2-64","5.5X3.5","6555639A                                     ","6555639A","13","77976","1","1630","47.84","STD  ","RHR300       ","42013.53","113872","240720","0","2.71","5.73","0","8.439947797768957"
"CLFTEA64","ETS-2-64","5X5","6568520B","6568520B","17","126114","1","2672","47.2","STD  ","RHB300       ","64133.05","55855","121905","0","0.87","1.9","0","2.7717378169290248"
"CLFTEA65","ETS-2-64","4X4","6571495A                                     ","6571495A","12","117842","1","15269","7.72","STD  ","RUY300       ","52071.89","60280","204112","0","1.16","3.92","0","5.0774419749311965"
"CLFTEA66","ETS-2-64","3X3","6542741A                                     ","6542741A","19","227539","1","8849","25.71","STRIP","RGTST        ","107404.51","62185","499266","0","0.58","4.65","0","5.227443428586007"
"CLFTEA67","ETS-2-64","4X4","6525585A                                     ","6525585A","35","299951","1","24506","12.24","STD  ","RGE300       ","65579.49","10072","10075","0","0.15","0.15","0","0.30721495394367965"
"CLFTEA67","ETS-2-64","4X4","6525585A                                     ","6525585A","35","299951","1","24506","12.24","STD  ","RGELLF       ","60916.13","389496","1697943","0","6.39","27.87","0","34.267426377873974"
"CLFTEA67","ETS-2-64","4X4","6525585A                                     ","6525585A","35","299951","1","24506","12.24","STD  ","RGE300LLF    ","60916.13","144517","231651","0","2.37","3.8","0","6.175178889400886"
"CLFTEA68","ETS-2-64","4X4","6525585A                                     ","6525585A","42","388467","1","24506","15.85","STD  ","RGELLF       ","60916.13","389496","1697943","0","6.39","27.87","0","34.267426377873974"
"CLFTEA69","ETS-2-64","3X3","6510609E","6510609E","18","193042","1","11500","16.79","STD  ","RGT300       ","91421.79","6896","37740","0","0.08","0.41","0","0.48824246385899905"
"CLFTEA69","ETS-2-64","3X3","6510609E","6510609E","18","193042","1","11500","16.79","STD  ","RGT          ","94171.79","81117","227072","0","0.86","2.41","0","3.27262548582755"
"CLFTEA7","ETS-2-128","2X2","6576907B","6576907B","9","223496","1","16473","13.57","STRIP","DSGST        ","195257.98","0","501285","0","0","2.57","0","2.567295841122601"
"CLFTEA7","ETS-2-128","3X3","6484140A","6484140A","6","86665","2","16222","5.34","STD  ","RGTLLF       ","81721.57","0","19465","0","0","0.24","0","0.2381868091863629"
"CLFTEA7","ETS-2-128","3X3","6484140A","6484140A","6","86665","2","16222","5.34","STD  ","RGT300LLF    ","88903.75","76032","198498","0","0.86","2.23","0","3.087946233989005"
"CLFTEA70","ETS-2-64","2X2","6576907B","6576907B","16","373956","1","16473","22.7","STRIP","DSGST        ","196669.42","0","96167","0","0","0.49","0","0.48897790007211084"
"CLFTEA70","ETS-2-64","3X3","6506727A","6506727A","1","16813","2","2500","6.73","STD  ","DRCLLF       ","92409.87","27339","110085","0","0.3","1.19","0","1.487113876472286"
"CLFTEA71","ETS-1-64","3.5X3.5","6487925B","6487925B","18","194611","1","19109","10.18","STRIP","RHLST        ","55732.88","0","15108","0","0","0.27","0","0.2710787599707749"
"CLFTEA71","ETS-1-64","3.5X3.5","6487925B","6487925B","18","194611","1","19109","10.18","STD  ","RHL          ","55732.88","88556","173011","0","1.59","3.1","0","4.693225973608398"
"CLFTEA71","ETS-1-64","3.5X3.5","6487925B","6487925B","18","194611","1","19109","10.18","STD  ","RGY          ","69929.46","212474","564607","0","3.04","8.07","0","11.112355221962245"
"CLFTEA72","ETS-2-64","3X3","6547181A","6547181A","15","156432","1","13847","11.3","STD  ","DRC          ","56261.28","0","32221","0","0","0.57","0","0.5727029317498642"
"CLFTEA73","ETS-2-64","3X3","6554905A                                     ","6554905A","39","455939","1","18624","24.48","STRIP","DRCST        ","217507.84","7010","0","0","0.03","0","0","0.032228723341650584"
"CLFTEA74","ETS-2-64","4X4","6525585A                                     ","6525585A","44","364306","1","24506","14.87","STD  ","RGELLF       ","60916.13","389496","1697943","0","6.39","27.87","0","34.267426377873974"
"CLFTEA74","ETS-2-64","4X4","6525585A                                     ","6525585A","44","364306","1","24506","14.87","STD  ","RGE300LLF    ","60916.13","144517","231651","0","2.37","3.8","0","6.175178889400886"
"CLFTEA75","ETS-2-64","6X6","6542777B","6542777B","11","47474","1","3073","15.45","STD  ","RHA300       ","24095.42","3699","6221","0","0.15","0.26","0","0.41169649667862196"
"CLFTEA76","ETS-2-64","3X3","6489159B","6489159B","11","137389","1","2857","48.09","STD  ","DRB          ","68579.81","125880","428885","0","1.84","6.25","0","8.089334164092902"
"CLFTEA77","ETS-2-64","3.5X3.5","6512615D","6512615D","14","174368","1","10764","16.2","STD  ","RGR300       ","76975.87","18002","0","0","0.23","0","0","0.23386549577159702"
"CLFTEA77","ETS-2-64","3.5X3.5","6512615D","6512615D","14","174368","1","10764","16.2","STD  ","RGR          ","88826.25","56908","0","0","0.64","0","0","0.6406664696528335"
"CLFTEA77","ETS-2-64","3X3","6524040A","6524040A","1","13698","2","5237","2.62","STD  ","RTE300       ","0","315710","134528","0","0","0","0","0"
"CLFTEA78","ETS-2-64","3X3","6506727A","6506727A","1","16822","1","2500","6.73","STD  ","DRCLLF       ","92409.87","27339","110085","0","0.3","1.19","0","1.487113876472286"
"CLFTEA78","ETS-2-64","7X7","6570774A                                     ","6570774A","28","116698","2","1250","93.36","STD  ","RSH          ","27367.92","0","88061","0","0","3.22","0","3.217672369694153"
"CLFTEA79","ETS-2-64","2.5X2.5","6497193A                                     ","6497193A","1","30094","1","25081","1.2","STRIP","DSKST        ","198364.64","136622","163853","0","0.69","0.83","0","1.5147608969017865"
"CLFTEA79","ETS-2-64","4X4","6525585A                                     ","6525585A","35","335999","2","24506","13.71","STD  ","RGE300LLF    ","60916.13","144517","231651","0","2.37","3.8","0","6.175178889400886"
"CLFTEA79","ETS-2-64","4X4","6525585A                                     ","6525585A","35","335999","2","24506","13.71","STD  ","RGELLF       ","60916.13","389496","1697943","0","6.39","27.87","0","34.267426377873974"
"CLFTEA80","ETS-2-64","3X3","6570845A","6570845A","12","139031","1","3705","37.53","STD  ","DRC          ","88918.36","34471","104560","0","0.39","1.18","0","1.5635803449366363"
"CLFTEA80","ETS-2-64","4X4","6578526A","6578526A","5","38719","2","3098","12.5","STD  ","RSN300VTT    ","74351.85","115800","173706","0","1.56","2.34","0","3.893729611300862"
"CLFTEA81","ETS-2-64","3X3","6518552B","6518552B","13","176371","1","7118","24.78","STD  ","RGT300       ","85421.31","54681","398527","0","0.64","4.67","0","5.305561340606928"
"CLFTEA83","ETS-2-64","4X4","6525585A                                     ","6525585A","44","368650","1","24506","15.04","STD  ","RGELLF       ","60916.13","389496","1697943","0","6.39","27.87","0","34.267426377873974"
"CLFTEA83","ETS-2-64","4X4","6525585A                                     ","6525585A","44","368650","1","24506","15.04","STD  ","RGE300LLF    ",NULL,"0","4955","0","0","0","0","0"
"CLFTEA84","ETS-2-64","4X4","6525585A                                     ","6525585A","45","385131","1","24506","15.72","STD  ","RGELLF       ","60916.13","389496","1697943","0","6.39","27.87","0","34.267426377873974"
"CLFTEA85","ETS-2M-64","3X3","6542741A                                     ","6542741A","4","55284","1","8849","6.25","STRIP","RGTST        ","107404.51","62185","499266","0","0.58","4.65","0","5.227443428586007"
"CLFTEA85","ETS-2M-64","4X4","6556725A                                     ","6556725A","6","47691","2","1336","35.7","STD  ","RGE300LLF    ","32052.94","7189","50506","0","0.22","1.58","0","1.7999908900712385"
"CLFTEA86","ETS-2-64","3X3","6518552B","6518552B","14","181152","1","7118","25.45","STD  ","RGT300       ","85421.31","54681","398527","0","0.64","4.67","0","5.305561340606928"
"CLFTEA87","ETM-4-64","4X3","6590151A","6590151A","8","105682","1","3984","26.53","STRIP","RVC300ST     ",NULL,"171590","565676","0","0","0","0","0"
"CLFTEA88","ETS-2-64","3X3","6484140A","6484140A","3","50616","1","16222","3.12","STD  ","RGT300LLF    ","88903.75","76032","198498","0","0.86","2.23","0","3.087946233989005"
"CLFTEA88","ETS-2-64","5X5","6518677A                                     ","6518677A","13","86796","2","2286","37.97","STD  ","RSB          ","54869.27","79165","154380","0","1.44","2.81","0","4.256389778832487"
"CLFTEA89","ETM-5-128","4X4","6579768C                                     ","6579768C","59","504556","1","14224","35.47","STD  ","RTWST300     ","80014.9","91452","666324","0","1.14","8.33","0","9.470436131270551"
"CLFTEA9","ETS-0-64","3X3","6489159B","6489159B","13","144485","1","2857","50.57","STD  ","DRB          ","68579.81","125880","428885","0","1.84","6.25","0","8.089334164092902"
"CLFTEA92","ETM-5-128","4X4","6579768C                                     ","6579768C","70","452220","1","14224","31.79","STD  ","RTWST300     ","82736.47","91452","666324","0","1.11","8.05","0","9.158911420803909"
"CLFTEA97","ETM-2-64","2X2","6524788B","6524788B","7","170848","1","7570","22.57","STD  ","DRVST300     ","185472","0","170848","0","0","0.92","0","0.921152518978606"
"CLFTEA97","ETM-2-64","3X3","6524040A                                     ","6524040A","5","69036","2","3987","17.32","STD  ","RTE300       ","97389.3","144841","123561","0","1.49","1.27","0","2.7559701117063167"
"CLFTEA98","ETM-2-64","3.5X3.5","6566885A","6566885A","8","110355","1","2457","44.91","STD  ","RGY300       ","58485.72","125657","291309","0","2.15","4.98","0","7.129364227712337"
"CLFTEA99","ETS-2-64","3X3","6512302B","6512302B","12","121655","1","6112","19.9","STD  ","DRBST300     ",NULL,"0","2294","0","0","0","0","0"
"CLFTEA99","ETS-2-64","3X3","6512302B","6512302B","12","121655","1","6112","19.9","STD  ","DRB300       ","30575.96","0","15101","0","0","0.49","0","0.49388473820609397"
