 Tester , TesterConfig , PackageSize , Initial_LoadBoard , Optimizer_LoadBoard , N_Lots , SUM_QTY , ChangeOver , Hours , PKGTYPE , PIN , CAP_PER_DAY , WIP_POST_WB , WIP_FT1 , WIP_FT2 , POST_WB_QUEUE , TEST_QUEUE_FT1 , TEST_QUEUE_FT2 , TOTAL_WIP 
 CLFTEA76 , ETS-2-64 , 3X3 , 6547181A                                      , 6547181A , 8 , 92797 , 0 , 42.38 , STD   , DRC           , 57214.55 , 0 , 26475 , 0 , 0 , 0.46 , 0 , 0.46 
 CLFTEA76 , ETS-2-64 , 2.5X2.5 , 6547181A                                      , 6506370A , 1 , 15042 , 1 , 0.79 , STD   , DSKST300      , 455253.33 , 0 , 15042 , 0 , 0 , 0.03 , 0 , 0.03 
 CLFTEA76 , ETS-2-64 , 4X4 , 6547181A                                      , 6498316A , 1 , 4935 , 2 , 3.86 , STD   , RSN300        , 29195.63 , 0 , 81955 , 0 , 0 , 2.81 , 0 , 2.81 
 CLFTEA77 , ETS-2-64 , 3.5X3.5 , 6487925B                                      , 6487925B , 11 , 133010 , 0 , 47.94 , STD   , RHL           , 66488.59 , 0 , 24973 , 0 , 0 , 0.38 , 0 , 0.38 
 CLFTEA78 , ETS-2-64 , 4X4 , 6578526A                                      , 6578526A , 10 , 77726 , 0 , 25.10 , STD   , RSN300        , 74048.07 , 0 , 5026 , 0 , 0 , 0.07 , 0 , 0.07 
 CLFTEA78 , ETS-2-64 , 4X4 , 6578526A                                      , 6571495A , 6 , 57739 , 1 , 22.52 , STD   , RUY300        , 61544.65 , 0 , 984609 , 0 , 0 , 16 , 0 , 16 
 CLFTEA79 , ETS-2M-64 , 2X2 ,NULL, 6576907B , 15 , 372368 , 1 , 46.50 , STRIP , DSGST         , 187865.55 , 0 , 839241 , 0 , 0 , 4.47 , 0 , 4.47 
 CLFTEA80 , ETS-2-64 , 4X4 , 6571495A                                      , 6571495A , 12 , 120023 , 0 , 47.92 , STD   , RUY300        , 60166.42 , 0 , 17738 , 0 , 0 , 0.29 , 0 , 0.29 
 CLFTEA81 , ETS-2-64 , 3X3 , 6547181A                                      , 6547181A , 1 , 13816 , 0 , 5.91 , STD   , DRC           , 56074.82 , 0 , 26475 , 0 , 0 , 0.47 , 0 , 0.47 
 CLFTEA81 , ETS-2-64 , 4X4 , 6547181A                                      , 6541533C , 10 , 97834 , 1 , 40.17 , STD   , RSM300        , 59390.7 , 0 , 193184 , 0 , 0 , 3.25 , 0 , 3.25 
 CLFTEA81 , ETS-2-64 , 4X4 , 6547181A                                      , 6525585A , 1 , 4822 , 2 , 1.77 , STD   , RGELLF        , 65338.49 , 0 , 751200 , 0 , 0 , 11.5 , 0 , 11.5 
 CLFTEA83 , ETS-2-64 , 4X4 , 6525585A                                      , 6525585A , 13 , 129746 , 0 , 47.51 , STD   , RGELLF        , 65569.59 , 0 , 132367 , 0 , 0 , 2.02 , 0 , 2.02 
 CLFTEA84 , ETS-2-64 , 4X4 , 6525585A                                      , 6525585A , 13 , 128935 , 0 , 47.32 , STD   , RGE300LLF     , 65412.64 , 0 , 930781 , 0 , 0 , 14.23 , 0 , 14.23 
 CLFTEA85 , ETS-2M-64 , 6X5 , 6529675B                                      , 6514494A , 19 , 130089 , 1 , 47.70 , CLIP  , DQPCLIP       , 64817.38 , 0 , 16816 , 0 , 0 , 0.26 , 0 , 0.26 
