LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE
5941302,AC7760IRHAR-CK,6X6           ,RHA          ,      3749,      2910,5941302     ,4410,1,        19.67,      12.33,     22.31,                   ,10/30/2015 06:06:11,
5920809,PS40190DRCR-BY,3X3           ,DRCLLF       ,     11151,      2889,5920809     ,4410,1,        13.21,       11.9,     28.13,                   ,10/30/2015 06:06:11,
5925442,202027ARSLR-G2,6X6           ,RSL300       ,      2153,      2818,5925442     ,4410,1,        13.73,      11.79,     26.79,                   ,10/30/2015 06:06:11,
5925308,53219ARGTR-G2K,3X3           ,RGT300       ,     13461,      2729,5925308     ,4410,1,        13.35,       12.3,     26.79,                   ,10/30/2015 06:06:11,
5928927,S65177RHAR1-G2,6X6           ,RHA300       ,      5179,      2720,5928927     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928919,S65177RHAR1-G2,6X6           ,RHA300       ,      2586,      2720,5928919     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928901,S65177RHAR1-G2,6X6           ,RHA300       ,      5179,      2720,5928901     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928928,S65177RHAR1-G2,6X6           ,RHA300       ,      4449,      2720,5928928     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928922,S65177RHAR1-G2,6X6           ,RHA300       ,      5180,      2720,5928922     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928925,S65177RHAR1-G2,6X6           ,RHA300       ,      4637,      2720,5928925     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928923,S65177RHAR1-G2,6X6           ,RHA300       ,      5107,      2720,5928923     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928918,S65177RHAR1-G2,6X6           ,RHA300       ,      4461,      2720,5928918     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928916,S65177RHAR1-G2,6X6           ,RHA300       ,      5182,      2720,5928916     ,4410,1,        13.79,      11.83,     25.79,10/29/2015 04:01:51,10/30/2015 06:06:11,CLFTEA7
5928900,S65177RHAR1-G2,6X6           ,RHA300       ,      5181,      2720,5928900     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928921,S65177RHAR1-G2,6X6           ,RHA300       ,      5166,      2720,5928921     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928920,S65177RHAR1-G2,6X6           ,RHA300       ,      5174,      2720,5928920     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928898,S65177RHAR1-G2,6X6           ,RHA300       ,      5164,      2720,5928898     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928929,S65177RHAR1-G2,6X6           ,RHA300       ,      2589,      2720,5928929     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928902,S65177RHAR1-G2,6X6           ,RHA300       ,      5177,      2720,5928902     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928926,S65177RHAR1-G2,6X6           ,RHA300       ,      5179,      2720,5928926     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5926729,CC28251RGPR-CK,4X4           ,RGP          ,      4994,      2696,5926729     ,4410,1,        13.38,      12.33,     26.45,                   ,10/30/2015 06:06:11,
5926728,CC28251RGPR-CK,4X4           ,RGP          ,      8404,      2696,5926728     ,4410,1,        13.38,      12.33,     26.45,                   ,10/30/2015 06:06:11,
5936311,BQ24311DSGR-G2,2X2           ,DSGST        ,     24675,      2666,5936311     ,4410,1,         15.6,      12.11,     23.71,                   ,10/30/2015 06:06:11,
5928934,S54328DRCR-G2Y,3X3           ,DRC          ,      6897,      2627,5928934     ,4410,1,        13.32,      12.29,     25.79,                   ,10/30/2015 06:06:11,
5928931,S54328DRCR-G2Y,3X3           ,DRC          ,     13568,      2627,5928931     ,4410,1,        13.32,      12.29,     25.79,                   ,10/30/2015 06:06:11,
5928933,S54328DRCR-G2Y,3X3           ,DRC          ,     13230,      2627,5928933     ,4410,1,        13.32,      12.29,     25.79,                   ,10/30/2015 06:06:11,
5928930,S54328DRCR-G2Y,3X3           ,DRC          ,     13802,      2627,5928930     ,4410,1,        13.32,      12.29,     25.79,                   ,10/30/2015 06:06:11,
5928932,S54328DRCR-G2Y,3X3           ,DRC          ,     13682,      2627,5928932     ,4410,1,        13.32,      12.29,     25.79,                   ,10/30/2015 06:06:11,
5939285,62407QDRCRQ1-R,3X3           ,DRCVTT       ,      7389,      2617,5939285     ,4410,1,        17.95,      14.11,     22.87,                   ,10/30/2015 06:06:11,
5932626,S65177RHAR1-G2,6X6           ,RHA300       ,      5170,      2614,5932626     ,4410,1,        13.79,      11.83,     24.73,                   ,10/30/2015 06:06:11,
5932628,S65177RHAR1-G2,6X6           ,RHA300       ,      5171,      2614,5932628     ,4410,1,        13.79,      11.83,     24.73,                   ,10/30/2015 06:06:11,
5932634,S65177RHAR1-G2,6X6           ,RHA300       ,      2585,      2614,5932634     ,4410,1,        13.79,      11.83,     24.73,                   ,10/30/2015 06:06:11,
5932625,S65177RHAR1-G2,6X6           ,RHA300       ,      5173,      2614,5932625     ,4410,1,        13.79,      11.83,     24.73,                   ,10/30/2015 06:06:11,
5932629,S65177RHAR1-G2,6X6           ,RHA300       ,      5177,      2614,5932629     ,4410,1,        13.79,      11.83,     24.73,                   ,10/30/2015 06:06:11,
5932633,S65177RHAR1-G2,6X6           ,RHA300       ,      4420,      2614,5932633     ,4410,1,        13.79,      11.83,     24.73,                   ,10/30/2015 06:06:11,
5932632,S65177RHAR1-G2,6X6           ,RHA300       ,      5174,      2614,5932632     ,4410,1,        13.79,      11.83,     24.73,                   ,10/30/2015 06:06:11,
5932630,S65177RHAR1-G2,6X6           ,RHA300       ,      5159,      2614,5932630     ,4410,1,        13.79,      11.83,     24.73,                   ,10/30/2015 06:06:11,
5932627,S65177RHAR1-G2,6X6           ,RHA300       ,      5182,      2614,5932627     ,4410,1,        13.79,      11.83,     24.73,                   ,10/30/2015 06:06:11,
5932891,S65177RHAR1-G2,6X6           ,RHA300       ,      5061,      2605,5932891     ,4410,1,        13.79,      11.83,     24.64,                   ,10/30/2015 06:06:11,
5932888,S65177RHAR1-G2,6X6           ,RHA300       ,      5183,      2605,5932888     ,4410,1,        13.79,      11.83,     24.64,                   ,10/30/2015 06:06:11,
5932892,S65177RHAR1-G2,6X6           ,RHA300       ,      3651,      2605,5932892     ,4410,1,        13.79,      11.83,     24.64,                   ,10/30/2015 06:06:11,
5932893,S65177RHAR1-G2,6X6           ,RHA300       ,      2589,      2605,5932893     ,4410,1,        13.79,      11.83,     24.64,                   ,10/30/2015 06:06:11,
5932890,S65177RHAR1-G2,6X6           ,RHA300       ,      5145,      2605,5932890     ,4410,1,        13.79,      11.83,     24.64,                   ,10/30/2015 06:06:11,
5930265,PS65023RSBR1-R,5X5           ,RSB          ,      5906,      2587,5930265     ,4410,1,        13.38,      12.33,     25.36,                   ,10/30/2015 06:06:11,
5930222,A2012D2RTJR-RK,4X4           ,RTJ          ,      5350,      2587,5930222     ,4410,1,        13.38,      12.33,     25.36,                   ,10/30/2015 06:06:11,
5930223,A2012D2RTJR-RK,4X4           ,RTJ          ,      4985,      2587,5930223     ,4410,1,        13.38,      12.33,     25.36,                   ,10/30/2015 06:06:11,
5930503,S53211ARGTR-LK,3X3           ,RGT          ,     13578,      2584,5930503     ,4410,1,        13.38,      12.33,     25.33,                   ,10/30/2015 06:06:11,
5930509,S53211ARGTR-LK,3X3           ,RGT          ,     13782,      2584,5930509     ,4410,1,        13.38,      12.33,     25.33,                   ,10/30/2015 06:06:11,
5930507,S53211ARGTR-LK,3X3           ,RGT          ,     13806,      2584,5930507     ,4410,1,        13.38,      12.33,     25.33,                   ,10/30/2015 06:06:11,
5930506,S53211ARGTR-LK,3X3           ,RGT          ,     13778,      2584,5930506     ,4410,1,        13.38,      12.33,     25.33,                   ,10/30/2015 06:06:11,
5939759,BQ24311DSGR-G2,2X2           ,DSGST        ,     23588,      2570,5939759     ,4410,1,         15.6,      12.11,     22.75,                   ,10/30/2015 06:06:11,
5931360,MP513AIRSAR-CK,4X4           ,RSA          ,      4891,      2561,5931360     ,4410,1,        13.38,      12.33,      25.1,                   ,10/30/2015 06:06:11,
5931359,MP513AIRSAR-CK,4X4           ,RSA          ,      7036,      2561,5931359     ,4410,1,        13.38,      12.33,      25.1,                   ,10/30/2015 06:06:11,
5931758,S54335ADRCR-G2,3X3           ,DRC          ,     11358,      2549,5931758     ,4410,1,        13.32,      12.29,        25,                   ,10/30/2015 06:06:11,
5931757,S54335ADRCR-G2,3X3           ,DRC          ,     13806,      2549,5931757     ,4410,1,        13.32,      12.29,        25,10/29/2015 04:24:00,10/30/2015 06:06:11,CLFTEA50
5936310,S65177RHAR1-G2,6X6           ,RHA300       ,      2587,      2501,5936310     ,4410,1,        13.67,      11.83,     23.71,                   ,10/30/2015 06:06:11,
5936306,S65177RHAR1-G2,6X6           ,RHA300       ,      5182,      2501,5936306     ,4410,1,        13.67,      11.83,     23.71,                   ,10/30/2015 06:06:11,
5936309,S65177RHAR1-G2,6X6           ,RHA300       ,      4973,      2501,5936309     ,4410,1,        13.67,      11.83,     23.71,                   ,10/30/2015 06:06:11,
5936307,S65177RHAR1-G2,6X6           ,RHA300       ,      5169,      2501,5936307     ,4410,1,        13.67,      11.83,     23.71,                   ,10/30/2015 06:06:11,
5936557,202027ERSLR-G2,6X6           ,RSL300       ,      4123,      2491,5936557     ,4410,1,        13.62,      11.79,     23.63,                   ,10/30/2015 06:06:11,
5936555,202027ERSLR-G2,6X6           ,RSL300       ,      5166,      2491,5936555     ,4410,1,        13.62,      11.79,     23.63,                   ,10/30/2015 06:06:11,
5944100,PS63031DSKR-CK,2.5X2.5       ,DSKST        ,     17887,      2441,5944100     ,4410,1,        15.64,      12.14,     21.46,                   ,10/30/2015 06:06:11,
5940008,204036RHAR1-G2,6X6           ,RHA300       ,      5176,      2397,5940008     ,4410,1,        13.67,      11.83,     22.67,                   ,10/30/2015 06:06:11,
5986015,PS53513RVER-LN,4.5X3.5       ,RVECLIP      ,      4348,      2388,5986015     ,4410,1,        16.86,      15.53,      23.1,                   ,10/30/2015 06:06:11,
5939777,Q24640RVAR-G2K,3.5X3.5       ,RVA300       ,      4680,      2312,5939777     ,4410,1,         13.2,      12.29,     22.75,                   ,10/30/2015 06:06:11,
5939778,Q24640RVAR-G2K,3.5X3.5       ,RVA300       ,      3341,      2312,5939778     ,4410,1,         13.2,      12.29,     22.75,                   ,10/30/2015 06:06:11,
5939776,Q24640RVAR-G2K,3.5X3.5       ,RVA300       ,      6701,      2312,5939776     ,4410,1,         13.2,      12.29,     22.75,                   ,10/30/2015 06:06:11,
5939904,65633AKRTER-G2,3X3           ,RTE300       ,     13805,      2308,5939904     ,4410,1,         13.2,      12.29,     22.72,                   ,10/30/2015 06:06:11,
5945432,PS53624RHAT-BK,6X6           ,RHA          ,      3755,      2242,5945432     ,4410,1,        13.67,      11.83,     21.12,                   ,10/30/2015 06:06:11,
5942989,S53647RTAR-G2K,6X6           ,RTA300       ,      4181,      2219,5942989     ,4410,1,        13.25,      12.33,     21.82,                   ,10/30/2015 06:06:11,
5942988,S53647RTAR-G2K,6X6           ,RTA300       ,      5147,      2219,5942988     ,4410,1,        13.25,      12.33,     21.82,                   ,10/30/2015 06:06:11,
5942990,S53647RTAR-G2K,6X6           ,RTA300       ,      2537,      2219,5942990     ,4410,1,        13.25,      12.33,     21.82,                   ,10/30/2015 06:06:11,
5942987,S53647RTAR-G2K,6X6           ,RTA300       ,      5176,      2219,5942987     ,4410,1,        13.25,      12.33,     21.82,                   ,10/30/2015 06:06:11,
5942952,S54495RSAR1-G2,4X4           ,RSA300       ,      4960,      2218,5942952     ,4410,1,         13.2,      12.29,     21.82,10/29/2015 04:54:40,10/30/2015 06:06:11,CLFTEA44
5945809,54361QDPRRQ1-C,4X4           ,DPR          ,      4989,      2199,5945809     ,4410,1,        13.85,      12.38,     21.06,10/29/2015 11:53:21,10/30/2015 06:06:11,CLFTEA78
5953580,BQ29707DSER-G2,1.5X1.5       ,DSEST300     ,     27949,      2193,5953580     ,4410,1,        16.57,      12.86,     18.77,                   ,10/30/2015 06:06:11,
5944194,PS51518RUKR-LK,3X3           ,RUK          ,     10606,      2183,5944194     ,4410,1,        13.22,       12.3,     21.45,10/29/2015 04:13:19,10/30/2015 06:06:11,CLFTEA58
5962916,53515RVER2-LN#,4.5X3.5       ,RVECLIP      ,      7765,      2154,5962916     ,4410,1,        18.72,      12.74,      16.1,                   ,10/30/2015 06:06:11,
5962918,53515RVER2-LN#,4.5X3.5       ,RVECLIP      ,      4902,      2154,5962918     ,4410,1,        18.72,      12.74,      16.1,                   ,10/30/2015 06:06:11,
5962915,53515RVER2-LN#,4.5X3.5       ,RVECLIP      ,      7737,      2154,5962915     ,4410,1,        18.72,      12.74,      16.1,                   ,10/30/2015 06:06:11,
5962914,53515RVER2-LN#,4.5X3.5       ,RVECLIP      ,      7736,      2154,5962914     ,4410,1,        18.72,      12.74,      16.1,                   ,10/30/2015 06:06:11,
5962919,53515RVER2-LN#,4.5X3.5       ,RVECLIP      ,      3869,      2154,5962919     ,4410,1,        18.72,      12.74,      16.1,                   ,10/30/2015 06:06:11,
5945290,PS65023RSBR1-R,5X5           ,RSB          ,      7910,      2151,5945290     ,4410,1,        13.25,      12.33,     21.13,                   ,10/30/2015 06:06:11,
5945291,PS65023RSBR1-R,5X5           ,RSB          ,      5996,      2151,5945291     ,4410,1,        13.25,      12.33,     21.13,                   ,10/30/2015 06:06:11,
5954563,PS62745DSSR-LK,3X2           ,DSSST        ,     14617,      2140,5954563     ,4410,1,        15.64,      12.14,     18.44,                   ,10/30/2015 06:06:11,
5954564,PS62745DSSR-LK,3X2           ,DSSST        ,     14584,      2140,5954564     ,4410,1,        15.64,      12.14,     18.44,                   ,10/30/2015 06:06:11,
5947532,D97395Q4M-LNKE,4.5X3.5       ,DPC          ,      7524,      2136,5947532     ,4410,1,        14.24,       12.8,     20.47,                   ,10/30/2015 06:06:11,
5963541,D97395Q4M-LNKE,4.5X3.5       ,DPC          ,      3744,      2136,5963541     ,4410,1,        14.24,       12.8,     20.47,                   ,10/30/2015 06:06:11,
5946479,S53647RTAR-G2K,6X6           ,RTA300       ,      4190,      2116,5946479     ,4410,1,        13.25,      12.33,     20.79,                   ,10/30/2015 06:06:11,
5946475,S53647RTAR-G2K,6X6           ,RTA300       ,      5037,      2116,5946475     ,4410,1,        13.25,      12.33,     20.79,                   ,10/30/2015 06:06:11,
