LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE
5894152,090QRGTRQ12-G2,3X3,RGT300       ,7975,3357,5894152,4420,1,19.01,19.03,34.14,,10/28/2015 2:06,
5491458,4519RTER1-RQR&,3X3,RTEST        ,11443,15848,5491458,4410,1,15.98,12.14,155.19,,10/28/2015 2:06,
5491459,4519RTER1-RQR&,3X3,RTEST        ,8685,15848,5491459,4410,1,15.98,12.14,155.19,,10/28/2015 2:06,
5729950,G62130ARGTRS-L,3X3,RGTLLF       ,14162,8836,5729950,4410,1,16.48,12.04,84.47,,10/28/2015 2:06,
5734270,G62130ARGTRS-L,3X3,RGTLLF       ,11305,8701,5734270,4410,1,16.48,12.04,83.12,,10/28/2015 2:06,
5771421,SD87381P6-UNR&,3X2.5,MPCMCMST     ,13433,8122,5771421,4410,1,14.1,4.13,71.8,,10/28/2015 2:06,
5753070,G62130ARGTRS-L,3X3,RGTLLF       ,14591,8084,5753070,4410,1,15.97,12.04,77.46,,10/28/2015 2:06,
5775940,SD87381P6-UNR&,3X2.5,MPCMCMST     ,13417,7989,5775940,4410,1,14.1,4.13,70.46,,10/28/2015 2:06,
5934343,PS53318DQPR-LN,6X5,DQPCLIP      ,77,7508,5934343,4410,1,20.02,15.53,71.14,,10/28/2015 2:06,
5774017,BQ25040DQCR-G2,3X2,DQCST        ,17260,7409,5774017,4410,1,15.78,12.14,71,,10/28/2015 2:06,
5785851,4622RHLR1-LQR#,3.5X3.5,RHLST        ,15108,7058,5785851,4410,1,16.19,12.14,67.08,,10/28/2015 2:06,
5988755,2592ZADRCR-G2K,3X3,DRC          ,77,6289,5988755,4410,1,12.94,12.29,62.79,,10/28/2015 2:06,
5815517,BQ24130RHLR-G2,4.5X3.5,RHL          ,2556,5823,5815517,4410,1,13.03,12.33,58.07,,10/28/2015 2:06,
