"pkgtype","tester_req","EDGE_LB","pkg_size","Pin","Package","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
NULL,"ETM-5-128","6521765A",NULL,NULL,NULL,"133651","66825.5","351412.84","0","133651","0","0","0.38","0","0.3803247485208565"
NULL,"ETS-2-64","6575703A",NULL,NULL,NULL,"20748","10374","137281.69","0","20748","0","0","0.15","0","0.15113450307903406"
NULL,"ETS-0-64","6506370A",NULL,NULL,NULL,"191124","95562","436173.91","731586","137278","0","1.68","0.31","0","1.9920127730702646"
NULL,"ETS-1-64","6504079A",NULL,NULL,NULL,"39316","19658","219277.24","301339","39316","0","1.37","0.18","0","1.5535356063401746"
NULL,"ETS-1-64","6506370A",NULL,NULL,NULL,"24837","12418.5","364126.32","0","24837","0","0","0.07","0","0.06820984541848005"
NULL,"ETS-S-64","6514765A",NULL,NULL,NULL,"24731","12365.5","337221.82","0","24731","0","0","0.07","0","0.07333748450797163"
NULL,"ETM-2-64","6524788B",NULL,NULL,NULL,"63595","31797.5","185472","38738","49635","0","0.21","0.27","0","0.4764762336093858"
NULL,"ETS-2-64","6525230A",NULL,NULL,NULL,"24836","12418","756144.19","71922","24836","0","0.1","0.03","0","0.12796236654281506"
NULL,"ETS-2-64","6528944B",NULL,NULL,NULL,"765569","382784.5","197858.21","398502","1038430","0","2.01","5.25","0","7.262433032220397"
NULL,"ETS-4M-128","6570316D",NULL,NULL,NULL,"158105","79052.5","112889.4","0","158105","0","0","1.4","0","1.4005300763402055"
NULL,"ETS-2-64","6574499A",NULL,NULL,NULL,"12370","6185","359513.04","0","12370","0","0","0.03","0","0.034407653196668476"
NULL,"ETS-4M-128","6576907B",NULL,NULL,NULL,"23506","11753","200903.74","0","23506","0","0","0.12","0","0.11700130619768453"
NULL,"ETS-2-64","6570242A",NULL,NULL,NULL,"23148","11574","69380.83","288370","4693","0","4.16","0.07","0","4.2239765652846755"
NULL,"ETS-2-64","6487925B",NULL,NULL,NULL,"237381","118690.5","62058","66394","26811","0","1.07","0.43","0","1.5019014470334204"
NULL,"ETS-2M-64","6487925B",NULL,NULL,NULL,"118982","59491","60493.61","66394","26811","0","1.1","0.44","0","1.5407412452323477"
NULL,"ETS-S-64","6487925B",NULL,NULL,NULL,"11743","5871.5","55732.88","27949","26823","0","0.5","0.48","0","0.9827591899072864"
NULL,"ETS-2-64","6541231B",NULL,NULL,NULL,"131454","65727","75720.65","182095","123911","0","2.4","1.64","0","4.041248985580552"
NULL,"ETS-2-64","6545253A",NULL,NULL,NULL,"76748","38374","59869.35","0","76748","0","0","1.28","0","1.2819247244207597"
NULL,"ETM-2-64","6566885A",NULL,NULL,NULL,"126613","63306.5","58485.72","52588","74025","0","0.9","1.27","0","2.1648532325497576"
NULL,"ETS-2M-64","6571778A",NULL,NULL,NULL,"332271","166135.5","83689.41","105703","538412","0","1.26","6.43","0","7.69649349899826"
NULL,"ETS-2Q-64","6509808B",NULL,NULL,NULL,"30318","15159","129861.82","15153","82078","0","0.12","0.63","0","0.7487266080207408"
NULL,"ETM-5-128","6545098B",NULL,NULL,NULL,"108791","54395.5","600628.97","205874","69106","0","0.34","0.12","0","0.45782007484587367"
NULL,"ETS-2-64","6552808A",NULL,NULL,NULL,"497808","248904","166418.67","198070","419351","0","1.19","2.52","0","3.7100464749538014"
NULL,"ETS-2-64","6556617A",NULL,NULL,NULL,"100890","50445","188033.72","332143","26874","0","1.77","0.14","0","1.9093224342952955"
NULL,"ETM-4-64","6460534B",NULL,NULL,NULL,"51580","25790","79116.46","11481","40099","0","0.15","0.51","0","0.6519503021242355"
