"tester_index","tester_config","loadboard_type","setup_change","Package","apu_tester","package_type","pin","package_size","Lot_Name","quantity","Lot_Weight","device_name","Setup_Time","Completion_Time","capacity"
"11","ETS-2-64","6515577B","setup change","5.5X3.5","11",NULL,NULL,NULL,"5838766","6447","974","BQ24170RGYR-G2","09/19/2015 05:13:01","09/19/2015 08:39:38","48904.569"
"11","ETS-2-64","6555466B","setup change","6X6","11",NULL,NULL,NULL,"5783422","2292","2879","PS65154RSLR-G2","09/19/2015 00:12:15","09/19/2015 01:53:59","34473.6"
"11","ETS-2-64","6574499A","setup change","2X2","11",NULL,NULL,NULL,"5804196","12370","2199","S61291DRVR-G2K","09/19/2015 01:53:59","09/19/2015 02:49:31","359513.044"
"11","ETS-2-64","6575577B","","3X3","11",NULL,NULL,NULL,"5846700","13803","12.23","PS62134DRGTR-L","09/17/2015 09:28:13","09/17/2015 20:31:45","85687.1031"
"11","ETS-2-64","6575577B","","3X3","11",NULL,NULL,NULL,"5807339","6899","24.25","PS62134DRGTR-L","09/17/2015 09:28:13","09/18/2015 02:03:54","85687.1031"
"11","ETS-2-64","6575577B","","3X3","11",NULL,NULL,NULL,"5718638","6893","4849","PS62134DRGTR-L","09/17/2015 09:28:13","09/18/2015 04:00:44","85687.1031"
"11","ETS-2-64","6575577B","","3X3","11",NULL,NULL,NULL,"5846705","8162","742","PS62134DRGTR-L","09/17/2015 09:28:13","09/18/2015 06:18:55","85687.1031"
"11","ETS-2-64","6575577B","","3X3","11",NULL,NULL,NULL,"5846575","10132","743","S62134ARGTR1-L","09/17/2015 09:28:13","09/18/2015 09:04:39","88556.0367"
"11","ETS-2-64","6575577B","","3X3","11",NULL,NULL,NULL,"5846574","13802","743","S62134ARGTR1-L","09/17/2015 09:28:13","09/18/2015 12:50:05","88556.0367"
"11","ETS-2-64","6575577B","","3X3","11",NULL,NULL,NULL,"5846573","13804","743","S62134ARGTR1-L","09/17/2015 09:28:13","09/18/2015 16:35:32","88556.0367"
"11","ETS-2-64","6575577B","","3X3","11",NULL,NULL,NULL,"5846570","13795","743","S62134ARGTR1-L","09/17/2015 09:28:13","09/18/2015 20:20:50","88556.0367"
"11","ETS-2-64","6575577B","","3X3","11",NULL,NULL,NULL,"5849143","13710","665","S62134CRGTR1-L","09/17/2015 09:28:13","09/19/2015 00:12:15","98755.8839"
"11","ETS-2-64","No_Tooling","setup change","8X8","11",NULL,NULL,NULL,"5823318","2969","1544","50842A0RSKR-G2","09/19/2015 02:49:31","09/19/2015 05:13:01",""
"12","ETS-S-64","6513992B","setup change","3X3","12",NULL,NULL,NULL,"5838147","16895","967","S62130ARGTRS-L","09/19/2015 03:40:41","09/19/2015 09:21:40",""
"12","ETS-S-64","No_Tooling","","3X3","12",NULL,NULL,NULL,"5838093","13795","975","A2314AIDRBR-CK","09/17/2015 09:28:13","09/17/2015 20:31:22","131551.727"
"12","ETS-S-64","No_Tooling","","3X3","12",NULL,NULL,NULL,"5838098","11287","975","A2314AIDRBR-CK","09/17/2015 09:28:13","09/18/2015 05:34:08","131551.727"
"12","ETS-S-64","No_Tooling","","3X3","12",NULL,NULL,NULL,"5841260","13818","896","A2314AIDRBR-CK","09/17/2015 09:28:13","09/18/2015 16:38:24","131551.727"
