Device,Target amount,Finished amount,Shortage
A2314AIDRBR-CK,278229,284599,-6370
BQ25892RTWR-G2,1171141,483666,687475
V62150ARGTR-LY,15847,10002,5845
BQ25040DQCR-G2,36048,30318,5730
PS65197BRUYR-G,20379,0,20379
S62130DRGTR-LY,47500,0,47500
S51624RSMR-G2K,262071,268838,-6767
65633BKRTER-G2,297384,303751,-6367
A6133A2RTJR-LK,20142,15025,5117
202027LRSLR-G2,5160,5160,0
PS53513RVER-LN,194821,209473,-14652
PS54821RHLR2-R,212995,222271,-9276
S51200DRCR-G2Y,346535,202810,143725
S65175RSHR2-UN,96321,93289,3032
S62736RGYR-G2K,154766,126613,28153
546QRTERQ11-G2,173244,173269,-25
BQ24196RGER-RY,425283,425760,-477
NA300AIDSQR-CK,257324,158105,99219
7A8300RGRR-G2K,482368,332271,150097
V62090RGTR1-G2,273395,0,273395
1211DSCR1-G2YK,213972,227945,-13973
