"pkgtype","EDGE_LB","num_lots","pkg_size","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
NULL,"6460534B","4",NULL,"51580","25790","79116.46","0","0","0","0","0","0","0"
NULL,"6461377C","10",NULL,"89833","44916.5","84242.8","30224","9478","0","0.36","0.11","0","0.47128063169790174"
NULL,"6462654A","13",NULL,"88129","44064.5","144879.67","0","0","0","0","0","0","0"
NULL,"6468723B","1",NULL,"11001","5500.5","115912.08","0","0","0","0","0","0","0"
NULL,"6473092B","1",NULL,"7097","3548.5","62568.18","0","0","0","0","0","0","0"
NULL,"6479465A","2",NULL,"15025","7512.5","0","119984","10073","0","0","0","0","0"
NULL,"6484140A","9",NULL,"104966","52483","86101.98","25341","9499","0","0.29","0.11","0","0.40463645551472804"
NULL,"6484527A","2",NULL,"11829","5914.5",NULL,"0","0","0","0","0","0","0"
NULL,"6487925B","27",NULL,"368106","184053","61302.27","0","0","0","0","0","0","0"
NULL,"6489159B","6",NULL,"73040","36520","68579.81","13812","61517","0","0.2","0.9","0","1.0984136584805353"
NULL,"6491333A","2",NULL,"12679","6339.5","137132.55","0","8492","0","0","0.06","0","0.061925487420747306"
NULL,"6491839B","10",NULL,"57813","28906.5","30653.96","0","12855","0","0","0.42","0","0.41935854290930114"
NULL,"6494708A","10",NULL,"88023","44011.5","46769.29","9664","8315","0","0.21","0.18","0","0.3844189210484059"
NULL,"6496545A","4",NULL,"11130","5565","43424.18","12149","22561","0","0.28","0.52","0","0.7993242474584437"
NULL,"6503050A","9",NULL,"50051","25025.5","53887.55","0","108608","0","0","2.02","0","2.015456260305024"
NULL,"6504079A","2",NULL,"39316","19658","219277.24","74178","44423","0","0.34","0.2","0","0.5408723677842716"
NULL,"6504342B","21",NULL,"182960","91480","50742.23","0","0","0","0","0","0","0"
NULL,"6505620C","5",NULL,"55225","27612.5","0","0","6950","0","0","0","0","0"
NULL,"6505771B","9",NULL,"86090","43045","30493.87","0","0","0","0","0","0","0"
NULL,"6506370A","12",NULL,"215961","107980.5","430169.95","195612","544236","0","0.45","1.27","0","1.7198969849009675"
