Machine_Instance,Machine_Family_Name,Lot_Name,Quantity,Lot_Weight,Initial_Lot_Flag,Device_Name,Tooling_Family_Name,Certification,Setup_Time,Completion_Time,Package
CLFTEA29,ETS-2-64,5835123,6894,1089,N,5633BRTER-KDG2,6569306A,1,09/17/2015 09:28:13,09/17/2015 11:35:19,3X3
CLFTEA29,ETS-2-64,5837514,11350,993,N,5633BRTER-KDG2,6569306A,1,09/17/2015 09:28:13,09/17/2015 15:03:56,3X3
CLFTEA29,ETS-2-64,5846716,11969,741,N,65633AKRTER-G2,6569306A,1,09/17/2015 09:28:13,09/17/2015 18:33:38,3X3
CLFTEA29,ETS-2-64,5836671,13801,1028,N,65633BKRTER-G2,6569306A,1,09/17/2015 09:28:13,09/17/2015 22:53:24,3X3
CLFTEA29,ETS-2-64,5836666,13468,1028,N,65633BKRTER-G2,6569306A,1,09/17/2015 09:28:13,09/18/2015 03:06:55,3X3
CLFTEA29,ETS-2-64,5836669,13812,1028,N,65633BKRTER-G2,6569306A,1,09/17/2015 09:28:13,09/18/2015 07:26:53,3X3
CLFTEA29,ETS-2-64,5836675,6896,1028,N,65633BKRTER-G2,6569306A,1,09/17/2015 09:28:13,09/18/2015 09:37:11,3X3
CLFTEA29,ETS-2-64,5837061,13801,1009,N,65633BKRTER-G2,6569306A,1,09/17/2015 09:28:13,09/18/2015 13:56:57,3X3
CLFTEA29,ETS-2-64,5837068,6899,1009,N,65633BKRTER-G2,6569306A,1,09/17/2015 09:28:13,09/18/2015 16:07:18,3X3
CLFTEA29,ETS-2-64,5837060,13803,1009,N,65633BKRTER-G2,6569306A,1,09/17/2015 09:28:13,09/18/2015 20:27:06,3X3
CLFTEA29,ETS-2-64,5837066,13769,1009,N,65633BKRTER-G2,6569306A,1,09/17/2015 09:28:13,09/19/2015 00:46:16,3X3
CLFTEA29,ETS-2-64,5837492,6896,993,N,65633BKRTER-G2,6569306A,1,09/17/2015 09:28:13,09/19/2015 02:56:34,3X3
CLFTEA29,ETS-2-64,5843111,13804,842,N,65633BKRTER-G2,6569306A,1,09/17/2015 09:28:13,09/19/2015 07:16:23,3X3
CLFTEA29,ETS-2-64,5849181,6893,664,N,PS65633RTER-G2,6569306A,1,09/17/2015 09:28:13,09/19/2015 09:17:18,3X3
CLFTEA48,ETS-2-64,5837509,13801,993,N,5633BRTER-KDG2,6569306A,1,09/17/2015 09:28:13,09/17/2015 13:41:40,3X3
CLFTEA48,ETS-2-64,5837511,13808,993,N,5633BRTER-KDG2,6569306A,1,09/17/2015 09:28:13,09/17/2015 17:55:15,3X3
CLFTEA48,ETS-2-64,5837513,13780,993,N,5633BRTER-KDG2,6569306A,1,09/17/2015 09:28:13,09/17/2015 22:08:19,3X3
CLFTEA48,ETS-2-64,5837512,13672,993,N,5633BRTER-KDG2,6569306A,1,09/17/2015 09:28:13,09/18/2015 02:19:24,3X3
CLFTEA48,ETS-2-64,5846711,13779,741,N,65633AKRTER-G2,6569306A,1,09/17/2015 09:28:13,09/18/2015 06:20:40,3X3
CLFTEA48,ETS-2-64,5846713,13764,741,N,65633AKRTER-G2,6569306A,1,09/17/2015 09:28:13,09/18/2015 10:21:40,3X3
CLFTEA48,ETS-2-64,5835910,13057,1059,N,65633BKRTER-G2,6569306A,1,09/17/2015 09:28:13,09/18/2015 14:27:28,3X3
CLFTEA48,ETS-2-64,5837490,13809,993,N,65633BKRTER-G2,6569306A,1,09/17/2015 09:28:13,09/18/2015 18:47:23,3X3
CLFTEA48,ETS-2-64,5849180,10527,664,N,PS65633RTER-G2,6569306A,1,09/17/2015 09:28:13,09/18/2015 21:51:31,3X3
CLFTEA48,ETS-2-64,5815378,13763,20.85,N,65633BKRTER-G2,6569306A,1,09/17/2015 09:28:13,09/19/2015 08:53:08,3X3
CLFTEA54,ETM-5-128,5822923,10077,1634,N,BQ25892RTWR-G2,6579768C,1,09/17/2015 09:28:13,09/17/2015 12:25:04,4X4
CLFTEA54,ETM-5-128,5816283,10075,1837,N,BQ25892RTWR-G2,6579768C,1,09/17/2015 09:28:13,09/17/2015 15:21:54,4X4
CLFTEA54,ETM-5-128,5816281,10076,1837,N,BQ25892RTWR-G2,6579768C,1,09/17/2015 09:28:13,09/17/2015 18:18:44,4X4
CLFTEA54,ETM-5-128,5816289,10076,1837,N,BQ25892RTWR-G2,6579768C,1,09/17/2015 09:28:13,09/17/2015 21:15:35,4X4
CLFTEA54,ETM-5-128,5815420,10075,1835,N,BQ25892RTWR-G2,6579768C,1,09/17/2015 09:28:13,09/18/2015 00:12:24,4X4
CLFTEA54,ETM-5-128,5815414,10075,1835,N,BQ25892RTWR-G2,6579768C,1,09/17/2015 09:28:13,09/18/2015 03:09:14,4X4
CLFTEA54,ETM-5-128,5831679,10077,1369,N,BQ25892RTWR-G2,6579768C,1,09/17/2015 09:28:13,09/18/2015 06:06:05,4X4
CLFTEA54,ETM-5-128,5817433,10075,1799,N,BQ25892RTWR-G2,6579768C,1,09/17/2015 09:28:13,09/18/2015 09:02:55,4X4
