"pkgtype","tester_req","EDGE_LB","pkg_size","Device_Name","Pin","Package","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_queue_1_tester"
NULL,"ETS-2-64","6520265B",NULL,"TPS54526RSAT-L",NULL,NULL,"5730","2865","68015.6","0","5730","0","0","0.08","0","0.08424537900128794"
NULL,"ETS-2-128","6525585A",NULL,"BQ24196RGER-RY",NULL,NULL,"59595","29797.5","60916.13","414675","315395","0","6.81","5.18","0","11.984838826760663"
NULL,"ETS-2-64","6525585A",NULL,"4296RGER-G2QR#",NULL,NULL,"4006","2003","64783.18","13690","0","0","0.21","0","0","0.21132028406138753"
NULL,"ETS-2-64","6525585A",NULL,"BQ24190RGER-RY",NULL,NULL,"9959","4979.5","59614.85","0","9959","0","0","0.17","0","0.16705569166071876"
NULL,"ETS-2-64","6525585A",NULL,"BQ24195RGER-RY",NULL,NULL,"21725","10862.5","60916.13","218599","21725","0","3.59","0.36","0","3.9451619792655905"
NULL,"ETS-2-64","6525585A",NULL,"BQ24196RGER-RY",NULL,NULL,"366165","183082.5","60916.13","414675","315395","0","6.81","5.18","0","11.984838826760663"
NULL,"ETS-2-64","6525585A",NULL,"Q24296MRGER-G2",NULL,NULL,"17927","8963.5","65579.49","89192","38044","0","1.36","0.58","0","1.9401797726697783"
NULL,"ETM-5-128","6529675B",NULL,"A3221AIRGVR-ZK",NULL,NULL,"5031","2515.5","77608.91","40271","15058","0","0.52","0.19","0","0.7129207200564986"
NULL,"ETS-2-64","6541533C",NULL,"1622RSMR1-G2YK",NULL,NULL,"22779","11389.5","68739.17","0","22779","0","0","0.33","0","0.33138311096860784"
NULL,"ETS-2-64","6541533C",NULL,"51631RSMR-G2YK",NULL,NULL,"27116","13558","66896.3","27116","0","0","0.41","0","0","0.4053437933039645"
NULL,"ETS-2-64","6541533C",NULL,"S51624RSMR-G2K",NULL,NULL,"268838","134419","48793.8","154160","215599","0","3.16","4.42","0","7.577991466128893"
NULL,"ETS-2-64","6541602C",NULL,"THS6187IRTJR-B",NULL,NULL,"63862","31931","79938.78","15819","48043","0","0.2","0.6","0","0.7988863477776369"
NULL,"ETM-4-64","6546767B",NULL,"CD3211A1RGPR-L",NULL,NULL,"163726","81863","182400","574020","125610","0","3.15","0.69","0","3.8356907894736842"
NULL,"ETM-4-64","6560309A",NULL,"BQ24266RGER1-8",NULL,NULL,"4470","2235","54660.07","14546","0","0","0.27","0","0","0.26611747844450256"
NULL,"ETS-2-64","6574595B",NULL,"S24771RGER-G2K",NULL,NULL,"5015","2507.5","0","0","5015","0","0","0","0","0"
NULL,"ETS-2-64","6575258A",NULL,"S65283RGER-G2Y",NULL,NULL,"29970","14985","51201.75","104800","29970","0","2.05","0.59","0","2.6321365968936608"
NULL,"ETM-2-64","6579742C",NULL,"V425RTJT1-UCR&",NULL,NULL,"6232","3116","39850.31","0","6232","0","0","0.16","0","0.1563852326368352"
NULL,"ETM-5-128","6579768C",NULL,"BQ25892RTWR-G2",NULL,NULL,"483666","241833","84207.59","265096","1004307","0","3.15","11.93","0","15.074686260466546"
NULL,"ETS-2-64","6491839B",NULL,"408065RHLR-G2K",NULL,NULL,"57813","28906.5","30653.96","0","96201","0","0","3.14","0","3.1382894738559064"
NULL,"ETS-2-64","6515577B",NULL,"BQ24133RGYR-G2",NULL,NULL,"29119","14559.5","49584.85","61638","25655","0","1.24","0.52","0","1.7604772425448498"
NULL,"ETS-2-64","6515577B",NULL,"BQ24170RGYR-G2",NULL,NULL,"68086","34043","48904.57","32171","68086","0","0.66","1.39","0","2.0500538088771663"
NULL,"ETS-0-64","6553821A",NULL,"122QRHLRQ1-BS2",NULL,NULL,"4648","2324","0","11099","0","0","0","0","0","0"
NULL,"ETS-2-64","6555639A",NULL,"1306051RHRR-G2",NULL,NULL,"5071","2535.5","42013.53","0","5071","0","0","0.12","0","0.12069921284881323"
NULL,"ETS-S-64","6556617A",NULL,"CSD87588N-NS2",NULL,NULL,"3624","1812","186174.37","0","3624","0","0","0.02","0","0.019465622469945782"
NULL,"ETS-S-64","6484527A",NULL,"S650240RHBR1-R",NULL,NULL,"11829","5914.5",NULL,"11829","0","0","0","0","0","0"
NULL,"ETS-2-64","6503050A",NULL,"PS65148CRHBR-U",NULL,NULL,"50051","25025.5","53887.55","0","50051","0","0","0.93","0","0.9288045197823986"
NULL,"ETS-S-64","6518233A",NULL,"PS65023RSBR1-R",NULL,NULL,"41982","20991","51947.93","7230","34752","0","0.14","0.67","0","0.8081553971447948"
NULL,"ETS-2Q-64","6518677A",NULL,"PS65168RSBR1-R",NULL,NULL,"7704","3852","54869.27","0","7704","0","0","0.14","0","0.1404064606655055"
NULL,"ETS-S-64","6528989B",NULL,"PS7A4701RGWR-R",NULL,NULL,"3719","1859.5","57012.16","0","3719","0","0","0.07","0","0.06523169793952728"
NULL,"ETS-S-64","6528989B",NULL,"PS7A4701RGWT-R",NULL,NULL,"7678","3839","57012.16","0","7678","0","0","0.13","0","0.13467302414081486"
NULL,"ETS-0-64","6555551A",NULL,"7A8300RGWT-G2K",NULL,NULL,"16373","8186.5","51203.7","0","16373","0","0","0.32","0","0.3197620484457178"
NULL,"ETS-2-64","6568520B",NULL,"1501005RHBR-G2",NULL,NULL,"22244","11122","61890.83","7907","22244","0","0.13","0.36","0","0.4871642535735908"
NULL,"ETS-2-64","6568521A",NULL,"PS65261RHBR-G2",NULL,NULL,"48376","24188","84486.72","23728","24648","0","0.28","0.29","0","0.5725870290620821"
