"pkgtype","tester_req","EDGE_LB","pkg_size","Device_Name","Pin","Package","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_queue_1_tester"
NULL,"ETM-4-64","6460534B",NULL,"A2006D1DRBR-RK",NULL,NULL,"51580","25790","79116.46","11481","40099","0","0.15","0.51","0","0.6519503021242355"
NULL,"ETS-2-64","6462654A",NULL,"A6204A1DRBR-UC",NULL,NULL,"88129","44064.5","144879.67","0","88129","0","0","0.61","0","0.6082910045281025"
NULL,"ETS-0-64","6468723B",NULL,"S61020DRCR1-RY",NULL,NULL,"11001","5500.5","115912.08","0","11001","0","0","0.09","0","0.09490814072182985"
NULL,"ETM-4-64","6473092B",NULL,"PS40041DRBR-B",NULL,NULL,"7097","3548.5","62568.18","0","7097","0","0","0.11","0","0.11342826337604833"
NULL,"ETS-0-64","6484140A",NULL,"24075TRGTR-G2Y",NULL,NULL,"88102","44051","86327.5","35156","69882","0","0.41","0.81","0","1.2167385827227708"
NULL,"ETS-0-64","6484140A",NULL,"Q24072TRGTR-G2",NULL,NULL,"8417","4208.5","81721.57","14483","8417","0","0.18","0.1","0","0.28021977551336813"
NULL,"ETS-0-64","6484140A",NULL,"Q24075RGTR-G2Y",NULL,NULL,"8447","4223.5","88903.75","22823","0","0","0.26","0","0","0.25671583032211803"
NULL,"ETS-2Q-64","6489159B",NULL,"TPS73701DRBR-B",NULL,NULL,"73040","36520","68579.81","74431","51476","0","1.09","0.75","0","1.8359193471081359"
NULL,"ETS-2-64","6505620C",NULL,"PS2561DRCR1-G2",NULL,NULL,"48275","24137.5","0","41431","20631","0","0","0","0","0"
NULL,"ETS-2-64","6505620C",NULL,"PS2561DRCR1-LY",NULL,NULL,"6950","3475","0","0","6950","0","0","0","0","0"
NULL,"ETS-1-64","6505771B",NULL,"TPS2557DRBR3-R",NULL,NULL,"6895","3447.5","0","260652","150011","0","0","0","0","0"
NULL,"ETS-2-64","6505771B",NULL,"TPS2556DRBR-G2",NULL,NULL,"25237","12618.5","137222.44","0","25237","0","0","0.18","0","0.18391306844565655"
NULL,"ETS-2-64","6505771B",NULL,"TPS2557DRBR3-R",NULL,NULL,"53958","26979","0","260652","150011","0","0","0","0","0"
NULL,"ETS-2-64","6510147A",NULL,"29442DRBR-BKY$",NULL,NULL,"8955","4477.5","70232.71","89734","23902","0","1.28","0.34","0","1.6179925279830436"
NULL,"ETS-2-64","6510609E",NULL,"S53311RGTR1-G2",NULL,NULL,"16831","8415.5","94171.79","0","16831","0","0","0.18","0","0.1787265591956997"
NULL,"ETS-0-64","6511094C",NULL,"CC24610DRBR-CK",NULL,NULL,"27611","13805.5","93149.41","55240","27611","0","0.59","0.3","0","0.889442026524913"
NULL,"ETS-0-64","6511094C",NULL,"CC24610DRBR-GK",NULL,NULL,"21178","10589","93149.41","14011","14078","0","0.15","0.15","0","0.30154780368442485"
NULL,"ETS-0-64","6513992A",NULL,"62150BRGTR-OLY",NULL,NULL,"16828","8414","103199.08","16828","0","0","0.16","0","0","0.1630634691704616"
NULL,"ETS-0-64","6513992A",NULL,"62152QRGTRQ1-L",NULL,NULL,"4601","2300.5","0","4601","0","0","0","0","0","0"
NULL,"ETS-0-64","6513992A",NULL,"6215AQRGTRQ1-L",NULL,NULL,"13640","6820","0","13640","0","0","0","0","0","0"
NULL,"ETS-0-64","6513992A",NULL,"V62150ARGTR-LY",NULL,NULL,"10002","5001","102084.92","30936","10002","0","0.3","0.1","0","0.4010190731402836"
NULL,"ETS-2-64","6513992B",NULL,"S62130ARGTRS-L",NULL,NULL,"134452","67226","0","54065","185192","0","0","0","0","0"
NULL,"ETS-S-64","6513992B",NULL,"S62130ARGTRS-L",NULL,NULL,"16895","8447.5","0","54065","185192","0","0","0","0","0"
