Machine,Time
CLFTEA29,47.8181
CLFTEA48,47.4155
CLFTEA54,47.1591
CLFTEA19,44.2432
CLFTEA68,46.7903
CLFTEA15,31.5553
CLFTEA31,47.3417
CLFTEA32,47.7756
CLFTEA88,46.006
CLFTEA23,46.4848
CLFTEA39,47.8241
CLFTEA85,47.5572
CLFTEA26,47.6374
CLFTEA72,47.4842
CLFTEA92,47.1586
CLFTEA52,47.1615
CLFTEA12,47.8909
CLFTEA21,0
CLFTEA51,46.0008
CLFTEA60,47.0112
CLFTEA61,47.2606
CLFTEA45,47.2729
CLFTEA36,46.0493
CLFTEA73,47.4742
CLFTEA86,46.591
CLFTEA71,46.2135
CLFTEA50,45.9366
CLFTEA79,46.4883
CLFTEA47,46.7263
CLFTEA78,47.3753
CLFTEA59,47.0423
CLFTEA22,47.0606
CLFTEA42,47.4716
CLFTEA94,0
CLFTEA84,46.4025
CLFTEA82,0
CLFTEA30,47.8765
CLFTEA87,47.369
CLFTEA83,47.1416
CLFTEA58,45.3622
CLFTEA75,47.3664
CLFTEA41,47.528
CLFTEA67,45.4385
CLFTEA76,46.3729
CLFTEA46,46.7464
CLFTEA28,0
CLFTEA64,45.8783
CLFTEA63,46.6077
CLFTEA93,0
CLFTEA34,45.8499
CLFTEA18,47.9175
CLFTEA35,47.8296
CLFTEA70,45.1572
CLFTEA14,46.1129
CLFTEA13,44.9537
CLFTEA74,45.4749
CLFTEA25,46.8301
CLFTEA49,46.6661
CLFTEA53,45.0571
CLFTEA37,45.8943
CLFTEA11,47.1904
CLFTEA17,47.5718
CLFTEA27,46.3308
CLFTEA65,43.1588
CLFTEA80,47.715
CLFTEA56,44.5572
CLFTEA55,0
CLFTEA16,0
CLFTEA38,46.3391
CLFTEA69,46.502
CLFTEA44,47.3412
CLFTEA66,47.7128
CLFTEA33,47.2671
CLFTEA20,46.3985
CLFTEA40,46.0527
CLFTEA10,0
CLFTEA1,0
CLFTEA2,47.9652
CLFTEA24,47.4224
CLFTEA3,47.0776
CLFTEA4,46.6339
CLFTEA43,47.6666
CLFTEA5,47.6172
CLFTEA57,47.4983
CLFTEA6,47.9856
CLFTEA62,47.9116
CLFTEA7,47.23
CLFTEA77,47.374
CLFTEA8,0
CLFTEA81,47.033
CLFTEA89,46.1001
CLFTEA9,45.3056
CLFTEA90,47.9971
CLFTEA91,47.985
CLFTEA95,46.1568
CLFTEA97,47.7299
CLFTEA98,46.4925
CLFTEA99,46.4006
