 Tester , TesterConfig , PackageSize , Initial_LoadBoard , Optimizer_LoadBoard , N_Lots , SUM_QTY , ChangeOver , Hours , PKGTYPE , PIN , CAP_PER_DAY , WIP_POST_WB , WIP_FT1 , WIP_FT2 , POST_WB_QUEUE , TEST_QUEUE_FT1 , TEST_QUEUE_FT2 , TOTAL_WIP 
 CLFTEA44 , ETS-2M-64 , 6X5 , 6515677C                                      , 6514494A , 19 , 130363 , 1 , 47.82 , CLIP  , DQPCLIP       , 64734.93 , 139993 , 317785 , 0 , 2.16 , 4.91 , 0 , 7.07 
 CLFTEA45 , ETS-2-64 , 4X4 , 6525585A                                      , 6525585A , 17 , 130671 , 0 , 47.99 , STD   , RGE300LLF     , 65366.84 , 264513 , 623809 , 0 , 4.05 , 9.54 , 0 , 13.59 
 CLFTEA46 , ETM-4-64 , 4X4 , 6546767B                                      , 6546767B , 51 , 397002 , 0 , 47.85 , STRIP , RGPST         , 200466.4 , 0 , 27319 , 0 , 0 , 0.14 , 0 , 0.14 
 CLFTEA47 , ETS-2-64 , 4X4 , 6571495A                                      , 6571495A , 17 , 120019 , 0 , 47.42 , STD   , RUY300        , 60684.5 , 5025 , 208382 , 0 , 0.08 , 3.43 , 0 , 3.52 
 CLFTEA48 , ETS-2-64 , 5X5 , 6569544C                                      , 6569544C , 5 , 27594 , 0 , 46.76 , STD   , RSB300        , 14173.08 , 10880 , 35532 , 0 , 0.77 , 2.51 , 0 , 3.27 
 CLFTEA49 , ETS-2-64 , 7X7 , 6570774A                                      , 6570774A , 11 , 56768 , 0 , 47.49 , STD   , RSH           , 27305.18 , 0 , 69520 , 0 , 0 , 2.55 , 0 , 2.55 
 CLFTEA5 , ETS-0-64 , 5X5 , 6555551A                                      , 6555551A , 16 , 103222 , 0 , 47.14 , STD   , RGW300        , 57886.7 , 139512 , 111088 , 0 , 2.41 , 1.92 , 0 , 4.33 
 CLFTEA50 , ETS-2-64 , 4X4 ,NULL, 6541533C , 13 , 123684 , 1 , 47.47 , STD   , RSM300        , 62680.58 , 22023 , 192970 , 0 , 0.35 , 3.08 , 0 , 3.43 
 CLFTEA51 , ETS-2-64 , 5X5 , 6487839B                                      , 6487839B , 10 , 66411 , 0 , 46.55 , STD   , RHB300        , 34243.47 , 5266 , 102636 , 0 , 0.15 , 3 , 0 , 3.15 
 CLFTEA51 , ETS-2-64 , 2X2 , 6487839B                                      , 6506370A , 1 , 12231 , 1 , 1.10 , STRIP , DSGST         , 282624 , 48095 , 0 , 0 , 0.17 , 0 , 0 , 0.17 
 CLFTEA52 , ETM-5-128 , 4X4 , 6579768C                                      , 6579768C , 23 , 199174 , 0 , 47.83 , STD   , RTWST300      , 100064.44 , 227315 , 85875 , 0 , 2.27 , 0.86 , 0 , 3.13 
 CLFTEA53 , ETM-5-128 , 4X4 , 6579768C                                      , 6579768C , 21 , 200064 , 0 , 47.88 , STD   , RTWST300      , 100077.68 , 9000 , 0 , 0 , 0.09 , 0 , 0 , 0.09 
 CLFTEA54 , ETM-5-128 , 4X4 , 6579768C                                      , 6579768C , 24 , 200356 , 0 , 47.97 , STD   , RTWST300      , 100071.76 , 227315 , 85875 , 0 , 2.27 , 0.86 , 0 , 3.13 
 CLFTEA56 , ETS-2Q-64 , 3X3 , 6570774A                                      , 6529253A , 7 , 96277 , 1 , 44.52 , STD   , RTE300        , 51885.01 , 13886 , 366933 , 0 , 0.27 , 7.07 , 0 , 7.34 
 CLFTEA56 , ETS-2Q-64 , 5X5 , 6570774A                                      , 6528989B , 1 , 7916 , 2 , 3.08 , STD   , RGW           , 61750.96 , 19791 , 128376 , 0 , 0.32 , 2.08 , 0 , 2.4 
 CLFTEA57 , ETS-2-64 , 6X5 , 6515677C                                      , 6522167C , 17 , 112647 , 1 , 46.66 , CLIP  , DQPCLIP       , 57980.27 , 0 , 79902 , 0 , 0 , 1.38 , 0 , 1.38 
 CLFTEA58 , ETS-2-128 , 3X3 , 6569306A                                      , 6569306A , 11 , 151747 , 0 , 46.14 , STD   , RTE300        , 79140.88 , 61119 , 158769 , 0 , 0.77 , 2.01 , 0 , 2.78 
 CLFTEA58 , ETS-2-128 , 7X5 , 6569306A                                      , 6514558B , 1 , 3659 , 1 , 1.36 , STD   , RGFMCM300     , 64701.18 , 109421 , 11031 , 0 , 1.69 , 0.17 , 0 , 1.86 
 CLFTEA59 , ETS-2-64 , 3X3 , 6554905A                                      , 6554905A , 5 , 62427 , 0 , 6.71 , STRIP , DRCST         , 221406.3 , 21059 , 41422 , 0 , 0.1 , 0.19 , 0 , 0.28 
 CLFTEA59 , ETS-2-64 , 7X5 , 6554905A                                      , 6514558B , 34 , 108744 , 1 , 41.21 , STD   , RGFMCM300     , 63486.51 , 109421 , 11031 , 0 , 1.72 , 0.17 , 0 , 1.9 
 CLFTEA6 , ETM-2-64 , 3X3 , 6473092B                                      , 6473092B , 2 , 20502 , 0 , 7.87 , STD   , DRB           , 62568.18 , 13823 , 20488 , 0 , 0.22 , 0.33 , 0 , 0.55 
 CLFTEA6 , ETM-2-64 , 4X4 , 6473092B                                      , 6556725A , 5 , 49856 , 1 , 37.32 , STD   , RGE300LLF     , 32052.94 , 20009 , 127639 , 0 , 0.62 , 3.98 , 0 , 4.61 
 CLFTEA6 , ETM-2-64 , 3X3 , 6473092B                                      , 6513992A , 1 , 8427 , 2 , 1.94 , STD   , RGTLLF        , 96384.48 , 29819 , 0 , 0 , 0.31 , 0 , 0 , 0.31 
 CLFTEA60 , ETS-2-64 , 3X3 , 6554905A                                      , 6554905A , 10 , 117631 , 0 , 12.33 , STRIP , DRCST         , 238465.93 , 10362 , 0 , 0 , 0.04 , 0 , 0 , 0.04 
 CLFTEA60 , ETS-2-64 , 6X6 , 6554905A                                      , 6517701E , 9 , 40632 , 1 , 34.27 , STD   , RSL300        , 28451.65 , 10739 , 30055 , 0 , 0.38 , 1.06 , 0 , 1.43 
 CLFTEA60 , ETS-2-64 , 3X3 , 6554905A                                      , 6505620C , 1 , 6905 , 2 , 1.27 , STD   , DRC           , 263519.06 , 48047 , 0 , 0 , 0.18 , 0 , 0 , 0.18 
 CLFTEA61 , ETS-2-64 , 4.5X3.5 , 6543758C                                      , 6543758C , 21 , 140141 , 0 , 47.84 , CLIP  , RVECLIP       , 77038.32 , 211611 , 668665 , 0 , 2.75 , 8.68 , 0 , 11.43 
 CLFTEA62 , ETS-2-64 , 5X5 , 6568521A                                      , 6568521A , 24 , 166956 , 0 , 47.50 , STD   , RHB300        , 86072.19 , 41139 , 45037 , 0 , 0.48 , 0.52 , 0 , 1 
 CLFTEA63 , ETS-2-64 , 5.5X3.5 , 6555639A                                      , 6555639A , 14 , 77268 , 0 , 47.41 , STD   , RHR300        , 39116.12 , 28948 , 169351 , 0 , 0.74 , 4.33 , 0 , 5.07 
 CLFTEA64 , ETS-2-64 , 6X5 , 6514494A                                      , 6514494A , 24 , 129825 , 0 , 47.62 , CLIP  , DQPCLIP       , 64800.2 , 41351 , 0 , 0 , 0.64 , 0 , 0 , 0.64 
 CLFTEA65 , ETS-2-64 , 4.5X3.5 , 6527607B                                      , 6543758C , 20 , 139373 , 1 , 47.67 , CLIP  , RVECLIP       , 76210.37 , 33611 , 0 , 0 , 0.44 , 0 , 0 , 0.44 
 CLFTEA66 , ETS-2-64 , 6X5 , 6522167C                                      , 6522167C , 22 , 113782 , 0 , 46.46 , CLIP  , DQPCLIP       , 58825.24 , 0 , 79902 , 0 , 0 , 1.36 , 0 , 1.36 
 CLFTEA66 , ETS-2-64 , 3X3 , 6522167C                                      , 6505771B , 1 , 6910 , 1 , 1.19 , STD   , DRB           , 221823.45 , 186439 , 262747 , 0 , 0.84 , 1.18 , 0 , 2.02 
 CLFTEA67 , ETS-2-64 , 3X3 , 6516230D                                      , 6516230D , 3 , 49888 , 0 , 39.91 , STD   , DRCLLF        , 99263.5 , 36133 , 145576 , 0 , 0.36 , 1.47 , 0 , 1.83 
 CLFTEA67 , ETS-2-64 , 4X4 , 6516230D                                      , 6575258A , 2 , 14170 , 1 , 7.29 , STD   , RGE300LLF     , 46025.3 , 7341 , 96334 , 0 , 0.16 , 2.09 , 0 , 2.25 
 CLFTEA68 , ETS-2-64 , 4X4 , 6525585A                                      , 6525585A , 15 , 127785 , 0 , 46.80 , STD   , RGELLF        , 65530.19 , 84311 , 47991 , 0 , 1.29 , 0.73 , 0 , 2.02 
 CLFTEA69 , ETS-2-64 , 4X4 , 6525585A                                      , 6525585A , 21 , 127882 , 0 , 46.93 , STD   , RGE300LLF     , 65412.69 , 0 , 18364 , 0 , 0 , 0.28 , 0 , 0.28 
 CLFTEA7 , ETS-2-128 , 3X3 , 6526024A                                      , 6542741A , 17 , 214191 , 1 , 47.99 , STRIP , RGTST         , 86992.57 , 0 , 11407 , 0 , 0 , 0.13 , 0 , 0.13 
