LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOOT_TIME,MACHINE_INSTANCE
8007515,001DRBR1-G2QN#,3X3           ,DRBST300     ,2294,7502.00,8007515,4410,1,            0,      11.32,     86.93,,12/10/2015 06:06:12,
5954564,PS62745DSSR-LK,3X2           ,DSSST        ,14584,6318.00,5954564,4410,1,        15.64,      11.32,     59.44,,12/10/2015 06:06:12,
5988015,PS54678RTER-G2,3X3           ,RTE300       ,3040,5007.00,5988015,4410,1,        13.11,      12.26,     49.81,,12/10/2015 06:06:12,
8040531,PS54678RTER-G2,3X3           ,RTE300       ,4480,5007.00,8040531,4410,1,        13.11,      12.26,     49.81,,12/10/2015 06:06:12,
8047730,PS54678RTER-G2,3X3           ,RTE300       ,2000,5007.00,8047730,4410,1,        13.11,      12.26,     49.81,,12/10/2015 06:06:12,
5995306,51631RSMR-G2YK,4X4           ,RSM300       ,9625,4811.00,5995306,4410,1,         13.1,      12.21,     47.81,,12/10/2015 06:06:12,
5999151,1640ARSLR1-G2K,6X6           ,RSL300       ,4972,4704.00,5999151,4410,1,         13.1,      12.21,     46.74,,12/10/2015 06:06:12,
8009275,PS54678RTER-G2,3X3           ,RTE300       ,6904,4407.00,8009275,4410,1,        13.15,      12.26,     43.77,,12/10/2015 06:06:12,
8030476,PS54678RTER-G2,3X3           ,RTE300       ,720,4407.00,8030476,4410,1,        13.15,      12.26,     43.77,,12/10/2015 06:06:12,
5987099,BQ24196RGER-RY,4X4           ,RGELLF       ,4816,4339.00,5987099,4410,1,         3.79,      11.49,     51.68,,12/10/2015 06:06:12,
8101307,D97374Q4M-ULR&,4.5X3.5       ,DPCUTT       ,490,4212.00,8101307,4410,1,        14.49,       3.64,     31.86,,12/10/2015 06:06:12,
8023179,PS54678RTER-G2,3X3           ,RTE300       ,13661,4007.00,8023179,4410,1,        13.15,      12.26,     39.76,,12/10/2015 06:06:12,
8033429,53355DQPR-CQN#,6X5           ,DQPCLIP      ,2652,3787.00,8033429,4410,1,        14.19,      12.15,     36.42,,12/10/2015 06:06:12,
