Key_Device,TARGET
A2314AIDRBR-CK,278229
BQ25892RTWR-G2,1171141
V62150ARGTR-LY,15847
BQ25040DQCR-G2,36048
PS65197BRUYR-G,20379
S62130DRGTR-LY,47500
S51624RSMR-G2K,262071
65633BKRTER-G2,297384
A6133A2RTJR-LK,20142
202027LRSLR-G2,5160
PS53513RVER-LN,194821
PS54821RHLR2-R,212995
S51200DRCR-G2Y,346535
S65175RSHR2-UN,96321
S62736RGYR-G2K,154766
546QRTERQ11-G2,173244
BQ24196RGER-RY,425283
NA300AIDSQR-CK,257324
7A8300RGRR-G2K,482368
V62090RGTR1-G2,273395
1211DSCR1-G2YK,213972
