LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOOT_TIME,MACHINE_INSTANCE
5785851,4622RHLR1-LQR#,3.5X3.5       ,RHLST        ,13590,11109.00,5785851,4420,1,        16.19,      12.26,    107.74,,12/08/2015 06:06:14,
5828399,D95379Q3M-LQR#,3.3X3.3       ,DNSCLIP      ,3895,9015.00,5828399,4410,1,         8.33,       12.4,      94.8,,12/08/2015 06:06:14,
8007515,001DRBR1-G2QN#,3X3           ,DRBST300     ,2294,7311.00,8007515,4410,1,            0,      11.23,     84.93,,12/08/2015 06:06:14,
5904459,546QRTERQ11-G2,3X3           ,RTE300       ,13634,6773.00,5904459,4410,1,        14.34,       17.8,     71.78,,12/08/2015 06:06:14,
5931323,S56121ADQPR1-C,6X5           ,DQPCLIP      ,6001,6553.00,5931323,4410,1,        16.91,       14.9,     64.11,,12/08/2015 06:06:14,
5931321,S56121ADQPR1-C,6X5           ,DQPCLIP      ,6157,6553.00,5931321,4410,1,        16.91,       14.9,     64.11,,12/08/2015 06:06:14,
8139582,S51363RVER-LNY,4.5X3.5       ,RVECLIP      ,77,6248.00,8139582,4410,1,        16.86,       14.9,     61.11,,12/08/2015 06:06:14,
5944239,PS56121DQPR2-C,6X5           ,DQPCLIP      ,4903,6183.00,5944239,4410,1,        16.86,       14.9,     60.45,,12/08/2015 06:06:14,
5954564,PS62745DSSR-LK,3X2           ,DSSST        ,14584,6127.00,5954564,4410,1,        15.64,      11.23,     57.44,,12/08/2015 06:06:14,
5949289,PS56121DQPR2-C,6X5           ,DQPCLIP      ,5598,6035.00,5949289,4410,1,        16.86,       14.9,     58.98,,12/08/2015 06:06:14,
5966020,PS56121DQPR2-C,6X5           ,DQPCLIP      ,3868,6035.00,5966020,4410,1,        16.86,       14.9,     58.98,,12/08/2015 06:06:14,
5951891,S56121ADQPR1-C,6X5           ,DQPCLIP      ,6070,5951.00,5951891,4410,1,        16.86,       14.9,     58.14,,12/08/2015 06:06:14,
8006364,S51363RVER-LNY,4.5X3.5       ,RVECLIP      ,77,5851.00,8006364,4410,1,        16.86,       14.9,     57.14,,12/08/2015 06:06:14,
5955525,S56121ADQPR1-C,6X5           ,DQPCLIP      ,5851,5851.00,5955525,4410,1,        16.86,       14.9,     57.13,,12/08/2015 06:06:14,
8006374,S51362RVER-LNY,4.5X3.5       ,RVECLIP      ,77,5768.00,8006374,4410,1,        17.03,       14.9,     56.14,,12/08/2015 06:06:14,
8043512,1402065RVER-LN,4.5X3.5       ,RVECLIP      ,77,5763.00,8043512,4410,1,        14.13,       12.4,     56.49,,12/08/2015 06:06:14,
5977212,Q24314ADSGR-G2,2X2           ,DSGST        ,23227,5432.00,5977212,4410,1,        15.32,      11.23,     50.81,12/07/2015 01:48:28,12/08/2015 06:06:14,CLFTEA73
5971600,S56121ADQPR1-C,6X5           ,DQPCLIP      ,6874,5403.00,5971600,4410,1,        17.03,       14.9,     52.48,,12/08/2015 06:06:14,
5983795,S56121ADQPR1-C,6X5           ,DQPCLIP      ,5220,5048.00,5983795,4410,1,        17.03,       14.9,     48.94,,12/08/2015 06:06:14,
5986741,S56121ADQPR1-C,6X5           ,DQPCLIP      ,6515,4966.00,5986741,4410,1,        17.03,       14.9,     48.12,,12/08/2015 06:06:14,
5989253,CD74120RVFR-LN,7X5           ,RVFCLIP      ,3541,4901.00,5989253,4410,1,        17.03,       14.9,     47.47,,12/08/2015 06:06:14,
5989250,CD74120RVFR-LN,7X5           ,RVFCLIP      ,3520,4901.00,5989250,4410,1,        17.03,       14.9,     47.47,,12/08/2015 06:06:14,
5989261,CD74120RVFR-LN,7X5           ,RVFCLIP      ,3547,4901.00,5989261,4410,1,        17.03,       14.9,     47.47,,12/08/2015 06:06:14,
5990586,S56121ADQPR1-C,6X5           ,DQPCLIP      ,6345,4866.00,5990586,4410,1,        17.03,       14.9,     47.12,,12/08/2015 06:06:14,
5988015,PS54678RTER-G2,3X3           ,RTE300       ,3040,4814.00,5988015,4410,1,        13.11,      12.19,     47.81,,12/08/2015 06:06:14,
8040531,PS54678RTER-G2,3X3           ,RTE300       ,4480,4814.00,8040531,4410,1,        13.11,      12.19,     47.81,,12/08/2015 06:06:14,
8047730,PS54678RTER-G2,3X3           ,RTE300       ,2000,4814.00,8047730,4410,1,        13.11,      12.19,     47.81,,12/08/2015 06:06:14,
5995306,51631RSMR-G2YK,4X4           ,RSM300       ,9625,4618.00,5995306,4410,1,         13.1,      12.14,     45.81,12/07/2015 11:09:43,12/08/2015 06:06:14,CLFTEA29
5999151,1640ARSLR1-G2K,6X6           ,RSL300       ,4972,4511.00,5999151,4410,1,         13.1,      12.14,     44.74,,12/08/2015 06:06:14,
8007535,PS56221DQPT2-C,6X5           ,DQPCLIP      ,6820,4367.00,8007535,4410,1,        16.87,       14.9,     42.29,,12/08/2015 06:06:14,
5924478,PS25810RVCR-G2,4X3           ,RVC300ST     ,15523,4334.00,5924478,4410,1,            0,      22.19,     66.12,,12/08/2015 06:06:14,
8011987,C7834IRTQR-UNP,8X8           ,RTQ          ,670,4275.00,8011987,4410,1,         5.88,       3.62,     41.08,,12/08/2015 06:06:14,
8030476,PS54678RTER-G2,3X3           ,RTE300       ,720,4214.00,8030476,4410,1,        13.15,      12.19,     41.77,,12/08/2015 06:06:14,
8009275,PS54678RTER-G2,3X3           ,RTE300       ,6904,4214.00,8009275,4410,1,        13.15,      12.19,     41.77,,12/08/2015 06:06:14,
8031291,PS54678RTER-G2,3X3           ,RTE300       ,800,4214.00,8031291,4410,1,        13.15,      12.19,     41.77,,12/08/2015 06:06:14,
8023179,PS54678RTER-G2,3X3           ,RTE300       ,13661,3814.00,8023179,4410,1,        13.15,      12.19,     37.76,,12/08/2015 06:06:14,
8033429,53355DQPR-CQN#,6X5           ,DQPCLIP      ,2652,3567.00,8033429,4410,1,        14.19,      12.35,     34.42,,12/08/2015 06:06:14,
8036427,53819ARGTR1-LK,3X3           ,RGTST        ,13819,3537.00,8036427,4410,1,        13.71,      11.23,     33.47,,12/08/2015 06:06:14,
8036428,53819ARGTR1-LK,3X3           ,RGTST        ,13818,3537.00,8036428,4410,1,        13.71,      11.23,     33.47,,12/08/2015 06:06:14,
8036431,53819ARGTR1-LK,3X3           ,RGTST        ,13822,3537.00,8036431,4410,1,        13.71,      11.23,     33.47,,12/08/2015 06:06:14,
8064532,25942ARVCR1-G2,4X3           ,RVC300       ,500,3521.00,8064532,4410,1,        13.21,      12.14,     34.72,,12/08/2015 06:06:14,
8033229,TPS2556DRBR-L ,3X3           ,DRB          ,7887,3499.00,8033229,4410,1,        13.03,      11.93,     34.47,,12/08/2015 06:06:14,
8035574,PS54678RTER-G2,3X3           ,RTE300       ,13807,3416.00,8035574,4410,1,        13.23,      12.19,     33.71,,12/08/2015 06:06:14,
8035578,PS54678RTER-G2,3X3           ,RTE300       ,13671,3416.00,8035578,4410,1,        13.23,      12.19,     33.71,,12/08/2015 06:06:14,
