Device,Target amount,Finished amount,Shortage
CSD87381P1-NS2,233888,113169,120719
S62086RLTR-LN#,67334,45617,21717
2543QRTERQ1-G2,275990,280455,-4465
CSD59968Q5M-LN,181572,197784,-16212
V62090RGTR1-G2,600276,0,600276
53315RGFR-LS2Y,6047,0,6047
D74110RVFR2-LN,24937,24937,0
BQ24130RHLR-G2,11783,11783,0
PS53124RGER-JK,7138,0,7138
S51463RGER2-G2,19084,19084,0
PS54561DPRR1-C,10247,10247,0
