actual_tester_index,tester_index,tester_config,loadboard_type,setup_change,Package,apu_tester,package_type,package_size,device_name,Completion_Time
,15,ETS-S-64,TPS55330RTER-L,,10/10/2015 19:14:28,15,,,N,10/09/2015 02:06:09
,15,ETS-S-64,55340QRTERQ1-L,setup change,10/9/2015 10:0:28,15,,,N,10/09/2015 02:06:09
,15,ETS-S-64,TPS55330RTER-L,setup change,10/10/2015 5:19:53,15,,,N,10/09/2015 02:06:09
,15,ETS-S-64,TPS55340RTET-L,setup change,10/10/2015 22:19:10,15,,,N,10/09/2015 02:06:09
,15,ETS-S-64,N1401038RTER-L,setup change,10/9/2015 15:30:4,15,,,N,10/09/2015 02:06:09
,15,ETS-S-64,TPS55330RTER-L,setup change,10/10/2015 10:0:10,15,,,N,10/09/2015 02:06:09
,15,ETS-S-64,TPS55330RTER-L,,10/11/2015 1:31:2,15,,,N,10/11/2015 01:26:03
,17,ETS-0-64,S54620RGYR1-G2,,10/9/2015 6:34:50,17,,,N,10/09/2015 02:06:09
,17,ETS-0-64,S54620RGYR1-G2,,10/9/2015 22:26:45,17,,,N,10/09/2015 02:06:09
,17,ETS-0-64,S54620RGYR1-G2,,10/10/2015 9:51:34,17,,,N,10/09/2015 02:06:09
,17,ETS-0-64,S54620RGYR1-G2,,10/10/2015 20:44:51,17,,,N,10/09/2015 02:06:09
,17,ETS-0-64,S54620RGYR1-G2,,10/9/2015 11:45:58,17,,,N,10/09/2015 02:06:09
,17,ETS-0-64,S54620RGYR1-G2,,10/10/2015 1:3:9,17,,,N,10/09/2015 02:06:09
,17,ETS-0-64,S54620RGYR1-G2,,10/10/2015 12:27:50,17,,,N,10/09/2015 02:06:09
,17,ETS-0-64,S54620RGYR1-G2,,10/10/2015 23:21:21,17,,,N,10/09/2015 02:06:09
,17,ETS-0-64,S54620RGYR1-G2,,10/9/2015 16:57:25,17,,,N,10/09/2015 02:06:09
,17,ETS-0-64,S54620RGYR1-G2,,10/10/2015 3:39:1,17,,,N,10/09/2015 02:06:09
,17,ETS-0-64,S54620RGYR1-G2,,10/10/2015 15:3:57,17,,,N,10/09/2015 02:06:09
,17,ETS-0-64,N1107017RHLR-L,setup change,10/9/2015 2:11:7,17,,,N,10/09/2015 02:06:09
,17,ETS-0-64,S54620RGYR1-G2,setup change,10/9/2015 19:50:35,17,,,N,10/09/2015 02:06:09
,17,ETS-0-64,S54620RGYR1-G2,,10/10/2015 6:46:40,17,,,N,10/09/2015 02:06:09
,17,ETS-0-64,S54620RGYR1-G2,,10/10/2015 18:9:22,17,,,N,10/09/2015 02:06:09
,17,ETS-0-64,S54620RGYR1-G2,,10/11/2015 2:2:9,17,,,N,10/11/2015 01:57:11
,18,ETS-2-64,DRV401AIRGWR-Z,,10/9/2015 2:11:7,18,,,N,10/09/2015 02:06:09
,18,ETS-2-64,DRV401AIRGWR-Z,,10/10/2015 3:17:25,18,,,N,10/09/2015 02:06:09
,18,ETS-2-64,DRV401AIRGWR-Z,,10/9/2015 8:26:43,18,,,N,10/09/2015 02:06:09
,18,ETS-2-64,DRV401AIRGWR-Z,,10/10/2015 9:38:0,18,,,N,10/09/2015 02:06:09
,18,ETS-2-64,DRV401AIRGWR-Z,,10/9/2015 14:43:28,18,,,N,10/09/2015 02:06:09
,18,ETS-2-64,DRV401AIRGWR-Z,,10/10/2015 15:10:41,18,,,N,10/09/2015 02:06:09
,18,ETS-2-64,DRV401AIRGWR-Z,,10/9/2015 21:0:55,18,,,N,10/09/2015 02:06:09
,18,ETS-2-64,DRV401AIRGWR-Z,,10/10/2015 19:55:1,18,,,N,10/09/2015 02:06:09
,18,ETS-2-64,DRV401AIRGWR-Z,,10/11/2015 1:29:16,18,,,N,10/11/2015 01:24:17
,19,ETS-S-64,PS54326ARGTR-L,,10/9/2015 2:11:7,19,,,N,10/09/2015 02:06:09
,19,ETS-S-64,PS54326ARGTR-L,,10/9/2015 16:42:1,19,,,N,10/09/2015 02:06:09
,19,ETS-S-64,S53312RGTR-G2Y,setup change,10/10/2015 10:33:30,19,,,N,10/09/2015 02:06:09
,19,ETS-S-64,PS54326ARGTR-L,setup change,10/9/2015 5:30:25,19,,,N,10/09/2015 02:06:09
,19,ETS-S-64,S53312RGTR-G2Y,setup change,10/9/2015 20:45:25,19,,,N,10/09/2015 02:06:09
,19,ETS-S-64,S53312RGTR-G2Y,,10/10/2015 21:0:17,19,,,N,10/09/2015 02:06:09
,19,ETS-S-64,PS54326ARGTR-L,setup change,10/9/2015 9:33:34,19,,,N,10/09/2015 02:06:09
,19,ETS-S-64,S53312RGTR-G2Y,setup change,10/10/2015 2:16:13,19,,,N,10/09/2015 02:06:09
