"pkgtype","EDGE_LB","num_lots","pkg_size","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
NULL,"PS54320RHLR-G2","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"PS54326ARGTR-L","5",NULL,"22050","11025",NULL,"0","0","0","0","0","0","0"
NULL,"PS54561DPRR1-C","2",NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"PS54622ARHLR-L","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"PS54678RTER-G2","11",NULL,"48510","24255",NULL,"0","0","0","0","0","0","0"
NULL,"PS54821RHLT2-R","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"PS55010RTER1-L","2",NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"PS56121BDQPR-C","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"PS56121DQPR2-C","38",NULL,"167580","83790",NULL,"0","0","0","0","0","0","0"
NULL,"PS61088RHLR-G2","43",NULL,"189630","94815",NULL,"0","0","0","0","0","0","0"
NULL,"PS61093DSKR-CK","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"PS61161DRVR-LK","7",NULL,"30870","15435",NULL,"0","0","0","0","0","0","0"
NULL,"PS62134DRGTR-L","5",NULL,"22050","11025",NULL,"0","0","0","0","0","0","0"
NULL,"PS62140RGTR-LY","2",NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"PS62410DRCR-RY","9",NULL,"39690","19845",NULL,"0","0","0","0","0","0","0"
NULL,"PS62742DSSR-LK","5",NULL,"22050","11025",NULL,"0","0","0","0","0","0","0"
NULL,"PS63031DSKR-CK","16",NULL,"70560","35280",NULL,"0","0","0","0","0","0","0"
NULL,"PS65023RSBR1-R","16",NULL,"70560","35280",NULL,"0","0","0","0","0","0","0"
NULL,"PS65168RSBR1-R","24",NULL,"105840","52920",NULL,"0","0","0","0","0","0","0"
NULL,"PS65197BRUYR-G","16",NULL,"70560","35280",NULL,"0","0","0","0","0","0","0"
NULL,"PS74801DRCR1-B","4",NULL,"17640","8820",NULL,"0","0","0","0","0","0","0"
NULL,"Q24296MRGER-G2","56",NULL,"246960","123480",NULL,"0","0","0","0","0","0","0"
NULL,"Q24314ADSGR-G2","15",NULL,"66150","33075",NULL,"0","0","0","0","0","0","0"
NULL,"Q24707ARGRR-LK","3",NULL,"13230","6615",NULL,"0","0","0","0","0","0","0"
NULL,"Q24727RGRR-G2K","3",NULL,"13230","6615",NULL,"0","0","0","0","0","0","0"
NULL,"Q24780RUYR-G2K","26",NULL,"114660","57330",NULL,"0","0","0","0","0","0","0"
NULL,"Q25890HRTWR-G2","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"Q25895MRTWR-G2","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"RV401AIRGWR-ZK","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"S51200DRCR-G2Y","12",NULL,"52920","26460",NULL,"0","0","0","0","0","0","0"
NULL,"S51362RVER-LNY","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"S51363RVER-LNY","10",NULL,"44100","22050",NULL,"0","0","0","0","0","0","0"
NULL,"S51367RVER-LNY","8",NULL,"35280","17640",NULL,"0","0","0","0","0","0","0"
NULL,"S51463RGER2-G2","2",NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"S53312RGTR-G2Y","7",NULL,"30870","15435",NULL,"0","0","0","0","0","0","0"
NULL,"S54319RTER1-G2","13",NULL,"57330","28665",NULL,"0","0","0","0","0","0","0"
NULL,"S54335ADRCR-G2","29",NULL,"127890","63945",NULL,"0","0","0","0","0","0","0"
NULL,"S544B20RVFR-LN","14",NULL,"61740","30870",NULL,"0","0","0","0","0","0","0"
NULL,"S544B20RVFT-LN","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"S544C20RVFR-LN","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"S54620RGYR1-G2","47",NULL,"207270","103635",NULL,"0","0","0","0","0","0","0"
NULL,"S61093DSKR-G2K","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"S61170DRVR2-LK","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"S62067DSGR1-G2","2",NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"S62086RLTR-LN#","3",NULL,"13230","6615",NULL,"0","0","0","0","0","0","0"
NULL,"S62130DRGTR-LY","4",NULL,"17640","8820",NULL,"0","0","0","0","0","0","0"
NULL,"S62134ARGTR1-L","5",NULL,"22050","11025",NULL,"0","0","0","0","0","0","0"
NULL,"S62134CRGTR1-L","4",NULL,"17640","8820",NULL,"0","0","0","0","0","0","0"
NULL,"S62140ARGTR-LY","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"S62420DRCR-RR#","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"S62736RGYR-G2K","18",NULL,"79380","39690",NULL,"0","0","0","0","0","0","0"
NULL,"S62740DSSR1-LK","4",NULL,"17640","8820",NULL,"0","0","0","0","0","0","0"
NULL,"S627440DSSR-LK","4",NULL,"17640","8820",NULL,"0","0","0","0","0","0","0"
NULL,"SN2867RUYR-G2K","7",NULL,"30870","15435",NULL,"0","0","0","0","0","0","0"
NULL,"TPS2500DRCR-G2","12",NULL,"52920","26460",NULL,"0","0","0","0","0","0","0"
NULL,"TPS2556DRBR2-R","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"TPS2557DRBR2-L","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"TPS54519RTER-R","7",NULL,"30870","15435",NULL,"0","0","0","0","0","0","0"
NULL,"TPS54622RHLR-L","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"TPS55330RTER-L","7",NULL,"30870","15435",NULL,"0","0","0","0","0","0","0"
NULL,"TPS55340RTET-L","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"TPS73701DRBR-B","11",NULL,"48510","24255",NULL,"0","0","0","0","0","0","0"
NULL,"TPS74701DRCR-B","6",NULL,"26460","13230",NULL,"0","0","0","0","0","0","0"
NULL,"V62130ARGTR-LY","9",NULL,"39690","19845",NULL,"0","0","0","0","0","0","0"
NULL,"V62150ARGTR-LY","2",NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
