"device","logpoint","quantity","average_capacity","Queue"
"TPS43060RTET-C","4410","11532","50890.77","0.23"
"TPS53317RGBR-L","1400","4631","41130.2","0.11"
"TPS53317RGBR-L","1410","7199","41130.2","0.18"
"TPS53317RGBR-L","1420","3598","41130.2","0.09"
"TPS53317RGBR-L","1430","7197","41130.2","0.17"
"TPS53317RGBR-L","1450","7194","41130.2","0.17"
"TPS53317RGBR-L","1460","7175","41130.2","0.17"
"TPS53317RGBR-L","2100","21721","41130.2","0.53"
"TPS53317RGBR-L","3000","35833","41130.2","0.87"
"TPS53317RGBR-L","4410","7157","41130.2","0.17"
"TPS54320RHLR-L","2100","15109","65839.1","0.23"
"TPS54519RTER-R","1410","13795","55027.28","0.25"
"TPS54519RTER-R","1420","13821","55027.28","0.25"
"TPS54519RTER-R","2100","13822","55027.28","0.25"
"TPS54519RTER-R","4410","96341","55027.28","1.75"
"TPS54541DPRR-C","1400","4801","67699.64","0.07"
"TPS54622RHLR-L","4410","15002","55732.88","0.27"
"TPS55330RTER-L","1410","53214","53955.01","0.99"
"TPS55330RTER-L","1420","27630","53955.01","0.51"
"TPS55330RTER-L","3000","13776","53955.01","0.26"
"TPS55330RTER-L","4410","261357","53955.01","4.84"
"TPS55340RTET-L","2100","12939","53392.98","0.24"
"TPS55340RTET-L","4410","6893","53392.98","0.13"
"TPS61183RTJR-R","4410","16078","66753.62","0.24"
"TPS65178RSLR-R","1400","2563","53109.26","0.05"
"TPS65178RSLR-R","1410","5159","53109.26","0.1"
"TPS65178RSLR-R","1460","2940","53109.26","0.06"
"TPS65198RUYR-G","4410","42084","51618.22","0.82"
"TPS73701DRBR-B","1410","41399","68579.81","0.6"
"TPS73701DRBR-B","1430","27631","68579.81","0.4"
"TPS73701DRBR-B","1450","27617","68579.81","0.4"
"TPS73701DRBR-B","1460","27639","68579.81","0.4"
"TPS73701DRBR-B","2100","7680","68579.81","0.11"
"TPS73701DRBR-B","4410","240693","68579.81","3.51"
"TPS74701DRCR-B","1400","20699","202025.62","0.1"
"TPS74701DRCR-B","1420","27630","202025.62","0.14"
"TPS74701DRCR-B","2150","10686","202025.62","0.05"
"TPS74701DRCR-B","4410","13824","202025.62","0.07"
"UCC27526DSDR-R","4410","24882","94171.79","0.26"
"V62090RGTR1-G2","1410","13814","110473.34","0.13"
"V62090RGTR1-G2","1420","13806","110473.34","0.12"
"V62090RGTR1-G2","2100","7363","110473.34","0.07"
"V62090RGTR1-G2","4410","610347","110473.34","5.52"
"V62130ARGTR-LY","1450","10887","103427.46","0.11"
"V62130ARGTR-LY","4410","140527","103427.46","1.36"
"V62150ARGTR-LY","4410","20092","102084.92","0.2"
