"pkgtype","tester_req","EDGE_LB","pkg_size","Pin","Package","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
NULL,"ETS-2-64","S544B20RVFR-LN",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-4-64","S62130DRGTR-LY",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-0-64","S54620RGYR1-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","PS54218RTER3-C",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2Q-64","PS63031DSKR-CK",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","401032DSGR1-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","S54620RGYR1-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","24737RGRR1-G2K",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-1M-64","LV62150RGTR-LY",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","44C20RVFT2-LN#",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-5-128","202027LRSLR-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","S54319RTER1-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-S-64","TPS55330RTER-L",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-5-128","BQ25895RTWR-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","PS62410DRCR-RY",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-1M-64","S62130DRGTR-LY",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-S-64","S53312RGTR-G2Y",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","65633AKRTER-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-S-64","PS61161DRVR-LK",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","S54335ADRCR-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","546QRTERQ11-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-1M-64","PS65197BRUYR-G",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2M-64","1108026RHDR1-R",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-128","CSD59968Q5M-LN",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","PS74801DRCR1-B",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-0-64","TPS54519RTER-R",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","PS2560DRCR1-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","A8001DRBR2-G2K",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-128","S62134CRGTR1-L",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","Q24314ADSGR-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-128","51218DSCR3-CYK",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-1-64","A8001DRBR2-G2K",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2M-64","2543QRTERQ1-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","53219RGTR1-G2K",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-0-64","TPS73701DRBR-B",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-2-64","S62736RGYR-G2K",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","285ARUKR1-G2KY",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-4-64","V62130ARGTR-LY",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-128","PS65023RSBR1-R",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","V62130ARGTR-LY",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-128","7A8300RGWR-G2K",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","Q24707ARGRR-LK",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","SN2867RUYR-G2K",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","212005RHRR1-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-1-64","PS65168RSBR1-R",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","PS65168RSBR1-R",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-1M-64","S62140ARGTR-LY",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-4-64","S62736RGYR-G2K",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","PS55010RTER1-L",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","PS54678RTER-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","TPS74701DRCR-B",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","S62420DRCR-RR#",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","PS61093DSKR-CK",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","S61093DSKR-G2K",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-1M-64","V62130ARGTR-LY",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-4-64","DRV401AIRGWR-Z",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","TPS54622RHLR-L",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","S62067DSGR1-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","Q24727RGRR-G2K",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","3515RVER1-LQN#",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","RV401AIRGWR-ZK",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-0-64","N1107017RHLR-L",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","S544B20RVFT-LN",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","A8001DRBT2-G2K",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-1M-64","V62150ARGTR-LY",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","PS28225DRBR1-C",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","BQ24770RUYR-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","S627440DSSR-LK",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","S51363RVER-LNY",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-128","51211DSCR4-GYK",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-S-64","S61170DRVR2-LK",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-4-64","PS62140RGTR-LY",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-128","TPS2556DRBR2-R",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-5-128","BQ25890RTWR-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","24728HRGRR-G2K",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-S-64","TPS55340RTET-L",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","BQ24777RUYR-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","65633BKRTER-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","1275B1RUKR-G2K",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-5-128","BQ25892RTWR-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
