Lot Name,Device,Key Device,Key Package,Key Pin Package,Num of Device,Estimated Time Required
5908052,S65177RHAR1-G2,N,N,N,5104,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5908042,S65177RHAR1-G2,N,N,N,5162,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5908051,S65177RHAR1-G2,N,N,N,5183,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5908043,S65177RHAR1-G2,N,N,N,5178,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5908045,S65177RHAR1-G2,N,N,N,5179,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5908053,S65177RHAR1-G2,N,N,N,4599,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5908047,S65177RHAR1-G2,N,N,N,5176,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5908044,S65177RHAR1-G2,N,N,N,5162,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5908050,S65177RHAR1-G2,N,N,N,5150,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914344,S65177RHAR1-G2,N,N,N,5171,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914338,S65177RHAR1-G2,N,N,N,5176,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914345,S65177RHAR1-G2,N,N,N,5179,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914349,S65177RHAR1-G2,N,N,N,5168,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914346,S65177RHAR1-G2,N,N,N,5183,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914354,S65177RHAR1-G2,N,N,N,5177,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914347,S65177RHAR1-G2,N,N,N,5178,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914356,S65177RHAR1-G2,N,N,N,2591,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914348,S65177RHAR1-G2,N,N,N,5171,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914343,S65177RHAR1-G2,N,N,N,5125,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914334,S65177RHAR1-G2,N,N,N,5181,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914351,S65177RHAR1-G2,N,N,N,5162,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914341,S65177RHAR1-G2,N,N,N,5126,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914352,S65177RHAR1-G2,N,N,N,5176,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914353,S65177RHAR1-G2,N,N,N,5159,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914350,S65177RHAR1-G2,N,N,N,5173,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
