"Tester","TesterConfig","PackageSize","Initial_LoadBoard","Optimizer_LoadBoard","N_Lots","SUM_QTY","ChangeOver","SUM_PPH","Hours","PKGTYPE","PIN","CAP_PER_DAY","WIP_POST_WB","WIP_FT1","WIP_FT2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","TOTAL_WIP"
"CLFTEA10","ETS-1M-64","3X3","6514600A                                     ","6548821B","10","137773","1","6838","20.15","STRIP","RGTST        ","55510.69","0","202416","0","0","3.65","0","3.65"
"CLFTEA11","ETS-2-64","4X4","6525585A                                     ","6525585A","16","149489","0","27258","5.48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA12","ETS-2-64","3.5X3.5","6487925B                                     ","6487925B","14","174402","0","17308","10.08",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA13","ETS-1M-64","6X6","ASM4198                                      ","6479550B","23","95211","1","1329","71.64","STD  ","RHH          ","31898.79","0","216580","0","0","6.79","0","6.79"
"CLFTEA14","ETS-2-64","3.5X3.5","6512615D                                     ","6512615D","20","263092","0","16905","15.56","STD  ","RGR300       ","86550.68","0","133884","0","0","1.55","0","1.55"
"CLFTEA15","ETS-S-64","2.5X2.5","6510697B                                     ","6497193A","17","381993","1","25367","15.06","STRIP","DSKST        ","201193.16","0","136868","0","0","0.68","0","0.68"
"CLFTEA17","ETS-0-64","2.5X2.5","6544279B                                     ","6506370A","15","413559","1","18969","21.8","STD  ","DSKST300     ","436173.91","0","413559","0","0","0.95","0","0.95"
"CLFTEA17","ETS-0-64","3X3","6544279B                                     ","6505620C","5","67900","2","15314","4.43","STD  ","DRC          ","0","0","40147","0","0","0","0","0"
"CLFTEA18","ETS-2M-64","5X5","6513476C                                     ","6513476C","5","39546","0","2676","14.78","STD  ","RHB          ","32102.4","0","135100","0","0","4.21","0","4.21"
"CLFTEA18","ETS-2M-64","3.5X3.5","6513476C                                     ","6512615D","4","60391","1","16905","3.57","STD  ","RGR300       ","87959.22","0","336102","0","0","3.82","0","3.82"
"CLFTEA19","ETS-2-64","3X3","6526546B                                     ","6471907A","8","118550","1","16781","7.06","STD  ","DRCLLF       ","57436.99","0","80262","0","0","1.4","0","1.4"
"CLFTEA20","ETS-S-64","3X3","6528917C                                     ","6525239A","12","142363","1","6721","21.18","STD  ","RTE          ","53908.18","0","98449","0","0","1.83","0","1.83"
"CLFTEA22","ETS-0-64","3X3","6489159B                                     ","6548821B","12","159548","1","6838","23.33","STRIP","RGTST        ","55854.55","0","202416","0","0","3.62","0","3.62"
"CLFTEA23","ETS-2-64","6X5","6522167C                                     ","6522167C","25","159221","0","6860","23.21","CLIP ","DQPCLIP      ","59874.17","0","47949","0","0","0.8","0","0.8"
"CLFTEA24","ETM-2-64","2X2","6575258A                                     ","6514765A","11","235740","1","27528","8.56","STD  ","DRVST300     ","325960.24","0","186315","0","0","0.57","0","0.57"
"CLFTEA24","ETM-2-64","3X2","6575258A                                     ","6545098B","12","181562","2","24771","7.33","STRIP","DQCST        ","600628.97","0","181562","0","0","0.3","0","0.3"
"CLFTEA25","ETS-2-64","4X4","6525585A                                     ","6525585A","15","138440","0","27258","5.08",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA26","ETS-2-64","3X3","6515577B                                     ","6524040A","4","52424","1","9427","5.56","STD  ","RTE300       ","75426.11","0","11202","0","0","0.15","0","0.15"
"CLFTEA26","ETS-2-64","4.5X3.5","6515577B                                     ","6578688B","10","70687","2","4390","16.1","STD  ","DPC          ","67001.71","0","390510","0","0","5.83","0","5.83"
"CLFTEA26","ETS-2-64","3X3","6515577B                                     ","6516394A","3","50641","3","21623","2.34",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA27","ETS-2-64","3X3","6512302B                                     ","6512302B","9","105205","0","7386","14.24","STD  ","DRB300       ","30575.96","0","83033","0","0","2.72","0","2.72"
"CLFTEA29","ETS-2-64","3X3","","6505620C","25","260423","1","15314","17.01","STD  ","DRC          ","34182.98","0","40147","0","0","1.17","0","1.17"
"CLFTEA3","ETS-0-64","3X3","","6512302B","14","161411","1","7386","21.85",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA30","ETS-2-64","3X3","6575577B                                     ","6575577B","14","174925","0","10015","17.47","STD  ","RGT          ","94293.39","0","6546","0","0","0.07","0","0.07"
"CLFTEA31","ETS-2-64","3.5X3.5","6512615D                                     ","6512615D","18","256632","0","16905","15.18","STD  ","RGR300       ","86714.85","0","15018","0","0","0.17","0","0.17"
"CLFTEA32","ETS-2-128","3X3","6530035A                                     ","6530035A","13","178207","0","8683","20.52","STRIP","DSC300ST     ","208380.42","0","178207","0","0","0.86","0","0.86"
"CLFTEA32","ETS-2-128","5X5","6530035A                                     ","6555551A","11","85621","1","2190","39.1","STD  ","RGW300       ","51203.7","0","401011","0","0","7.83","0","7.83"
"CLFTEA33","ETS-2-64","5X5","6487839B                                     ","6487839B","9","71133","0","4080","17.43","STD  ","RTV          ","31951.69","0","23728","0","0","0.74","0","0.74"
"CLFTEA34","ETS-2-64","6X6","","6518648B","15","71193","1","2002","35.56","STD  ","RHA300       ","24185.8","0","95719","0","0","3.96","0","3.96"
"CLFTEA35","ETS-2M-64","3X3","6516394A                                     ","6516394A","15","216589","0","21623","10.02","STD  ","RGT300LLF    ","74460.49","0","28734","0","0","0.39","0","0.39"
"CLFTEA36","ETS-2-64","2X2","6570774A                                     ","6576907B","17","409589","1","24313","16.85","STRIP","DSGST        ","196010.75","0","46870","0","0","0.24","0","0.24"
"CLFTEA37","ETS-2-128","2X2","6506370A                                     ","6506370A","12","230381","0","43436","5.3","STRIP","DSGST        ","295040.44","0","190682","0","0","0.65","0","0.65"
"CLFTEA37","ETS-2-128","4X4","6506370A                                     ","6510697B","18","148682","1","5686","26.15","STD  ","RGELLF       ","68851.57","0","148682","0","0","2.16","0","2.16"
"CLFTEA38","ETS-2-64","4X4","6525585A                                     ","6525585A","2","19581","0","27258","0.72","STD  ","RGE300LLF    ","62875.18","0","143165","0","0","2.28","0","2.28"
"CLFTEA38","ETS-2-64","3X3","6525585A                                     ","6493741B","2","33853","1","1812","18.68","STD  ","DRC300LLF    ","43477.19","0","169877","0","0","3.91","0","3.91"
"CLFTEA38","ETS-2-64","3X3","6525585A                                     ","6546196A","8","110057","2","21808","5.05","STRIP","RTE300ST     ","0","0","655616","0","0","0","0","0"
"CLFTEA38","ETS-2-64","3X3","6525585A                                     ","6512302B","2","20730","3","7386","2.81","STD  ","DRB300       ","30575.96","0","83033","0","0","2.72","0","2.72"
"CLFTEA39","ETS-2-64","7X5","6522503A                                     ","6522503A","63","198541","0","7841","25.32","CLIP ","RVFCLIP      ","63826.12","0","179960","0","0","2.82","0","2.82"
"CLFTEA40","ETM-4-128","6X6","6570166B                                     ","6570166B","49","226198","0","14874","15.21","STD  ","RSL300       ","91369.37","0","23348","0","0","0.26","0","0.26"
"CLFTEA41","ETS-2-64","3X3","6493741B                                     ","6493741B","8","120596","0","1812","66.55","STD  ","DRC300LLF    ","43477.19","0","169877","0","0","3.91","0","3.91"
"CLFTEA43","ETS-2-64","6X6","6546054A                                     ","6518648B","11","54366","1","2002","27.16","STD  ","RHA300       ","24339.55","0","95719","0","0","3.93","0","3.93"
"CLFTEA44","ETS-2-64","7X5","6514558B                                     ","6514558B","35","117741","0","5296","22.23","STD  ","RGFMCM300    ","64531.41","0","28842","0","0","0.45","0","0.45"
"CLFTEA45","ETS-2-64","4X4","6525585A                                     ","6525585A","5","42525","0","27258","1.56",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA45","ETS-2-64","4.5X3.5","6525585A                                     ","6543758C","21","150961","1","11408","13.23","CLIP ","RVECLIP      ","68359.34","0","51503","0","0","0.75","0","0.75"
"CLFTEA46","ETM-4-64","4X4","6590151A                                     ","6546767B","67","560759","1","66054","8.49","STD  ","RGPST300     ","182100.29","0","734845","0","0","4.04","0","4.04"
"CLFTEA47","ETS-2-64","4X4","6575258A                                     ","6575258A","15","144185","0","6068","23.76","STD  ","RGE300LLF    ","51363.3","0","126405","0","0","2.46","0","2.46"
