Tester,TesterConfig,PackageSize,Initial_LoadBoard,Optimizer_LoadBoard,N_Lots,SUM_QTY,ChangeOver,ChangeType,SUM_PPH,Hours,PKGTYPE,PIN,CAP_PER_DAY,WIP_POST_WB,WIP_FT1,WIP_FT2,POST_WB_QUEUE,TEST_QUEUE_FT1,TEST_QUEUE_FT2,TOTAL_WIP
CLFTEA64,ETS-2-64,5X5,6579192B                                     ,6555551A,1,7913,2,,2190,3.61,STD  ,RGW300       ,51203.7,474176,167311,0,9.26,3.27,0,12.53
CLFTEA65,ETS-2-64,3X3,6518552B                                     ,6569306A,13,152024,1,,9570,15.89,STD  ,RTE300       ,80585.13,149507,96170,0,1.86,1.19,0,3.05
CLFTEA66,ETS-2-64,4.5X3.5,6575577B                                     ,6544140B,11,84598,1,,8326,10.16,STD  ,DPC          ,66367.22,0,33712,0,0,0.51,0,0.51
CLFTEA66,ETS-2-64,4.5X3.5,6575577B                                     ,6545456B,9,53485,2,,13426,3.98,CLIP ,RVECLIP      ,85161.76,3025,318677,0,0.04,3.74,0,3.78
CLFTEA67,ETS-2-64,3X3,6516230D                                     ,6516394A,10,146225,1,,6441,22.7,STD  ,RGT300LLF    ,75378.23,0,23634,0,0,0.31,0,0.31
CLFTEA68,ETS-2-64,4X4,6525585A                                     ,6525585A,17,130535,0,,19071,6.84,STD  ,RGELLF       ,61536.16,597601,1649987,0,9.71,26.81,0,36.52
CLFTEA69,ETS-2-64,4X4,6525585A                                     ,6541533C,13,106201,1,,11752,9.04,STD  ,RSM300       ,55347.68,0,10054,0,0,0.18,0,0.18
CLFTEA7,ETS-2-128,2X2,,6576907B,16,380398,1,,16473,23.09,STRIP,DSGST        ,195963.7,0,46870,0,0,0.24,0,0.24
CLFTEA7,ETS-2-128,3X3,,6530035A,1,6910,2,,8683,0.8,STRIP,DSC300ST     ,208380.42,111854,150486,0,0.54,0.72,0,1.26
CLFTEA70,ETS-2-64,4X4,6515499B                                     ,6525585A,15,130082,1,,19071,6.82,STD  ,RGELLF       ,62290.29,597601,1649987,0,9.59,26.49,0,36.08
CLFTEA71,ETS-1-64,3.5X3.5,6487925B                                     ,6487925B,15,135120,0,,17430,7.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CLFTEA72,ETS-2-64,3X3,6523514A                                     ,6547181A,10,112588,1,,14623,7.7,STD  ,DRC          ,56409.34,0,60824,0,0,1.08,0,1.08
CLFTEA72,ETS-2-64,3X3,6523514A                                     ,6569306A,1,5999,2,,9570,0.63,STD  ,RTE300       ,NULL,0,71942,0,0,0,0,0
CLFTEA73,ETS-2-64,3X3,6497193A                                     ,6575577B,12,156272,1,,10015,15.6,STD  ,RGT          ,88556.04,12606,487854,0,0.14,5.51,0,5.65
CLFTEA73,ETS-2-64,3X3,6497193A                                     ,6546196A,1,13808,2,,21808,0.63,STRIP,RTE300ST     ,0,426599,13817,0,0,0,0,0
CLFTEA74,ETS-2-64,6X5,6520958B                                     ,6522167C,19,105225,1,,9298,11.32,CLIP ,DQPCLIP      ,60329.37,122330,82174,0,2.03,1.36,0,3.39
CLFTEA75,ETS-2-64,4.5X3.5,,6544140B,19,127406,1,,8326,15.3,STD  ,DPC          ,66462.63,0,33712,0,0,0.51,0,0.51
CLFTEA75,ETS-2-64,3X3,,6569306A,1,6000,2,,9570,0.63,STD  ,RTE300       ,NULL,0,71942,0,0,0,0,0
CLFTEA76,ETS-2-64,3X3,6518552B                                     ,6526517A,9,103637,1,,2201,47.09,STD  ,RUK          ,56917.3,6904,158816,0,0.12,2.79,0,2.91
CLFTEA77,ETS-2-64,3.5X3.5,6553335B                                     ,6512615D,14,173935,1,,31344,5.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CLFTEA78,ETS-2-64,5X5,6525585A                                     ,6555551A,23,104021,1,,2190,47.5,STD  ,RGW300       ,51203.7,474176,167311,0,9.26,3.27,0,12.53
CLFTEA79,ETS-2M-64,2.5X2.5,6575703A                                     ,6497193A,12,306532,1,,16816,18.23,STRIP,DSKST        ,199509.52,56115,0,0,0.28,0,0,0.28
CLFTEA79,ETS-2M-64,5X5,6575703A                                     ,6555551A,3,23732,2,,2190,10.84,STD  ,RGW300       ,51203.7,474176,167311,0,9.26,3.27,0,12.53
CLFTEA80,ETS-2-64,5X5,6555551A                                     ,6513476C,9,60479,1,,2676,22.6,STD  ,RHB          ,32102.4,41080,133528,0,1.28,4.16,0,5.44
CLFTEA80,ETS-2-64,3X3,6555551A                                     ,6569306A,2,5990,2,,9570,0.63,STD  ,RTE300       ,NULL,0,71942,0,0,0,0,0
CLFTEA81,ETS-2-64,1.5X1.5,6489159B                                     ,6575703A,7,233829,1,,15059,15.53,STD  ,DSEST300     ,120456.71,0,176090,0,0,1.46,0,1.46
CLFTEA83,ETS-2-64,4X4,6525585A                                     ,6525585A,14,129900,0,,19071,6.81,STD  ,RGELLF       ,62808.25,597601,1649987,0,9.51,26.27,0,35.78
CLFTEA84,ETS-2-64,4X4,6525585A                                     ,6525585A,15,130620,0,,19071,6.85,STD  ,RGELLF       ,61668.51,597601,1649987,0,9.69,26.76,0,36.45
CLFTEA85,ETS-2M-64,4X4,6498316A                                     ,6578526A,16,148198,1,,3098,47.84,STD  ,RSN300VTT    ,74351.85,25135,309054,0,0.34,4.16,0,4.49
CLFTEA86,ETS-2-64,3X3,6527607B                                     ,6518552B,14,166941,1,,7118,23.45,STD  ,RGT300       ,85421.31,0,406351,0,0,4.76,0,4.76
CLFTEA87,ETM-4-64,3X3,6494476A                                     ,6494476A,13,200461,0,,4390,45.66,STD  ,DRCLLF       ,105349.06,14797,217384,0,0.14,2.06,0,2.2
CLFTEA87,ETM-4-64,4X4,6494476A                                     ,6546767B,2,17503,1,,40867,0.43,STD  ,RGPST300     ,182400,243514,766790,0,1.34,4.2,0,5.54
CLFTEA88,ETS-2-64,6X5,6487839B                                     ,6522167C,18,102177,1,,9298,10.99,CLIP ,DQPCLIP      ,60168.61,122330,82174,0,2.03,1.37,0,3.4
CLFTEA88,ETS-2-64,4X4,6487839B                                     ,6525585A,1,4694,2,,19071,0.25,STD  ,RGELLF       ,60916.13,597601,1649987,0,9.81,27.09,0,36.9
CLFTEA89,ETM-5-128,4X4,6546767B                                     ,6579768C,26,194192,1,,10871,17.86,STD  ,RTWST300     ,80629.34,104113,357394,0,1.29,4.43,0,5.72
CLFTEA9,ETS-0M-64,3X3,,6489159B,12,134736,1,,2857,47.16,STD  ,DRB          ,68579.81,52735,365793,0,0.77,5.33,0,6.1
CLFTEA92,ETM-5-128,6X6,6579768C                                     ,6570166B,32,144003,1,,14874,9.68,STD  ,RSL300       ,91917.91,0,2288,0,0,0.02,0,0.02
CLFTEA92,ETM-5-128,4X4,6579768C                                     ,6546767B,7,70492,2,,40867,1.72,STD  ,RGPST300     ,182400,243514,766790,0,1.34,4.2,0,5.54
CLFTEA98,ETM-2-64,3.5X3.5,,6566885A,9,115043,1,,2457,46.82,STD  ,RGY300       ,58485.72,0,190556,0,0,3.26,0,3.26
CLFTEA99,ETS-2-64,4X4,,6525585A,13,129867,1,,19071,6.81,STD  ,RGELLF       ,62142.98,597601,1649987,0,9.62,26.55,0,36.17
