ROUTENAME,LOGPOINT,OPERATION,LPT_DESC,OPN_DESC,DEVICE,PACKAGE,PIN,ALTERNATE,SETUP,PPH,MACHINE_FAMILY,TOOLING_FAMILY,TOOLQTY,CERTIFICATION
QFN8,4410,1,FT1,,1108026RHDR1-R,5X5,RHD,alt,ETS-2-128:6525600B,2126,ETS-2-128,6525600B,1,2
QFN8,4410,1,FT1,,1108026RHDR1-R,5X5,RHD,alt,ETS-4M-128:6525600B,2126,ETS-4M-128,6525600B,1,2
QFN8,4410,1,FT1,,1108026RHDR1-R,5X5,RHD,alt,ETS-S-64:6525600B,2126,ETS-S-64,6525600B,1,2
QFN8,4410,1,FT1,,1108026RHDR1-R,5X5,RHD,alt,ETS-2Q-64:6525600B,2126,ETS-2Q-64,6525600B,1,2
QFN7MNT,4410,1,FT1,,1211DSCR1-G2YK,3X3,DSC300ST,,ETS-2-128:6530035A,8683,ETS-2-128,6530035A,1,1
QFN7MNT,4410,1,FT1,,1218DSCR3-G2YK,3X3,DSC300ST,,ETS-2-128:6530035A,7064,ETS-2-128,6530035A,1,1
AQFN1STKC2,4410,1,FT1,,122QRHLRQ1-BS2,5.5X3.5,RHLMCM,alt,ETS-0-64:6553821A,1250,ETS-0-64,6553821A,1,1
AQFN1STKC2,4410,1,FT1,,122QRHLRQ1-BS2,5.5X3.5,RHLMCM,alt,ETS-1-64:6553821A,1250,ETS-1-64,6553821A,1,1
AQFN1STKC2,4410,1,FT1,,122QRHLRQ1-BS2,5.5X3.5,RHLMCM,alt,ETS-2-64:6553821A,1250,ETS-2-64,6553821A,1,1
AQFN1STKC2,4410,1,FT1,,122QRHLRQ1-BS2,5.5X3.5,RHLMCM,alt,ETS-1M-64:6553821A,1250,ETS-1M-64,6553821A,1,1
AQFN1STKC2,4410,1,FT1,,122QRHLRQ1-BS2,5.5X3.5,RHLMCM,alt,ETS-2M-64:6553821A,1250,ETS-2M-64,6553821A,1,1
AQFN1STKC2,4410,1,FT1,,122QRHLRQ1-BS2,5.5X3.5,RHLMCM,alt,ETS-2-128:6553821A,1250,ETS-2-128,6553821A,1,1
AQFN1STKC2,4410,1,FT1,,122QRHLRQ1-BS2,5.5X3.5,RHLMCM,alt,ETS-4M-128:6553821A,1250,ETS-4M-128,6553821A,1,1
AQFN1STKC2,4410,1,FT1,,122QRHLRQ1-BS2,5.5X3.5,RHLMCM,alt,ETS-S-64:6553821A,1250,ETS-S-64,6553821A,1,1
AQFN1STKC2,4410,1,FT1,,122QRHLRQ1-BS2,5.5X3.5,RHLMCM,alt,ETS-2Q-64:6553821A,1250,ETS-2Q-64,6553821A,1,1
QFN25MNT,4410,1,FT1,,1285ARUKR-G2KY,3X3,RUKST300,,ETS-2-64:6548406A,4204,ETS-2-64,6548406A,1,1
QFN25MNT,4410,1,FT1,,1285ARUKR-G2KY,3X3,RUKST300,alt,ETS-2M-64:6548406A,4204,ETS-2M-64,6548406A,1,1
QFN25MNT,4410,1,FT1,,1285ARUKR-G2KY,3X3,RUKST300,alt,ETS-2-128:6548406A,4204,ETS-2-128,6548406A,1,1
QFN25MNT,4410,1,FT1,,1285ARUKR-G2KY,3X3,RUKST300,alt,ETS-4M-128:6548406A,4204,ETS-4M-128,6548406A,1,1
QFN25DBAKE,4410,1,FT1,,1304025RHBR-G2,5X5,RHB300,,ETS-2-64:6572424A,2301,ETS-2-64,6572424A,1,1
QFN25DBAKE,4410,1,FT1,,1304025RHBR-G2,5X5,RHB300,alt,ETS-2M-64:6572424A,2301,ETS-2M-64,6572424A,1,1
QFN25DBAKE,4410,1,FT1,,1304025RHBR-G2,5X5,RHB300,alt,ETS-2-128:6572424A,2301,ETS-2-128,6572424A,1,1
QFN25DBAKE,4410,1,FT1,,1304025RHBR-G2,5X5,RHB300,alt,ETS-4M-128:6572424A,2301,ETS-4M-128,6572424A,1,1
QFN25,4410,1,FT1,,1305017RTER-G2,3X3,RTE300,,ETS-0-64:6492420C,2326,ETS-0-64,6492420C,1,1
QFN25,4410,1,FT1,,1305017RTER-G2,3X3,RTE300,alt,ETS-1-64:6492420C,2326,ETS-1-64,6492420C,1,1
QFN25,4410,1,FT1,,1305017RTER-G2,3X3,RTE300,alt,ETS-2-64:6492420C,2326,ETS-2-64,6492420C,1,1
QFN25,4410,1,FT1,,1305017RTER-G2,3X3,RTE300,alt,ETS-1M-64:6492420C,2326,ETS-1M-64,6492420C,1,1
QFN25,4410,1,FT1,,1305017RTER-G2,3X3,RTE300,alt,ETS-2M-64:6492420C,2326,ETS-2M-64,6492420C,1,1
QFN25,4410,1,FT1,,1305017RTER-G2,3X3,RTE300,alt,ETS-2-128:6492420C,2326,ETS-2-128,6492420C,1,1
QFN25,4410,1,FT1,,1305017RTER-G2,3X3,RTE300,alt,ETS-4M-128:6492420C,2326,ETS-4M-128,6492420C,1,1
QFN25,4410,1,FT1,,1305017RTER-G2,3X3,RTE300,alt,ETS-S-64:6492420C,2326,ETS-S-64,6492420C,1,1
QFN25,4410,1,FT1,,1305017RTER-G2,3X3,RTE300,alt,ETS-2Q-64:6492420C,2326,ETS-2Q-64,6492420C,1,1
QFN25,4410,1,FT1,,1306051RHRR-G2,5.5X3.5,RHR300,,ETS-2-64:6555639A,1630,ETS-2-64,6555639A,1,2
QFN25,4410,1,FT1,,1306051RHRR-G2,5.5X3.5,RHR300,alt,ETS-2M-64:6555639A,1630,ETS-2M-64,6555639A,1,2
QFN25,4410,1,FT1,,1306051RHRR-G2,5.5X3.5,RHR300,alt,ETS-2-128:6555639A,1630,ETS-2-128,6555639A,1,2
QFN25,4410,1,FT1,,1306051RHRR-G2,5.5X3.5,RHR300,alt,ETS-4M-128:6555639A,1630,ETS-4M-128,6555639A,1,2
QFN25DBAKE,4410,1,FT1,,1311031RHAR-G2,6X6,RHA300,,ETS-2-64:6542777B,1095,ETS-2-64,6542777B,1,1
QFN25DBAKE,4410,1,FT1,,1311031RHAR-G2,6X6,RHA300,alt,ETS-2M-64:6542777B,1095,ETS-2M-64,6542777B,1,1
QFN25DBAKE,4410,1,FT1,,1311031RHAR-G2,6X6,RHA300,alt,ETS-2-128:6542777B,1095,ETS-2-128,6542777B,1,1
QFN25DBAKE,4410,1,FT1,,1311031RHAR-G2,6X6,RHA300,alt,ETS-4M-128:6542777B,1095,ETS-4M-128,6542777B,1,1
QFN7MNT,4410,1,FT1,,1312DRCR1-G2KY,3X3,DRCST300,,ETS-2-64:6553054A,6949,ETS-2-64,6553054A,1,1
QFN7MNT,4410,1,FT1,,1312DRCR1-G2KY,3X3,DRCST300,alt,ETS-2M-64:6553054A,6949,ETS-2M-64,6553054A,1,1
QFN7MNT,4410,1,FT1,,1312DRCR1-G2KY,3X3,DRCST300,alt,ETS-2-128:6553054A,6949,ETS-2-128,6553054A,1,1
QFN7MNT,4410,1,FT1,,1312DRCR1-G2KY,3X3,DRCST300,alt,ETS-4M-128:6553054A,6949,ETS-4M-128,6553054A,1,1
QFN8NOQCLA,4410,1,FT1,,1409027RVER-LN,4.5X3.5,RVECLIP,,ETS-2-64:6545456B,3692,ETS-2-64,6545456B,1,1
QFN8NOQCLA,4410,1,FT1,,1409027RVER-LN,4.5X3.5,RVECLIP,alt,ETS-2M-64:6545456B,3692,ETS-2M-64,6545456B,1,1
QFN8NOQCLA,4410,1,FT1,,1409027RVER-LN,4.5X3.5,RVECLIP,alt,ETS-2-128:6545456B,3692,ETS-2-128,6545456B,1,1
QFN8NOQCLA,4410,1,FT1,,1409027RVER-LN,4.5X3.5,RVECLIP,alt,ETS-4M-128:6545456B,3692,ETS-4M-128,6545456B,1,1
QFN25DBAKE,4410,1,FT1,,202027CRSLR-G2,6X6,RSL300,alt,ETM-5-128:6570166B,3772,ETM-5-128,6570166B,1,1
QFN7DBAKE,4410,1,FT1,,202027DRSLR-G2,6X6,RSL300,alt,ETM-5-128:6570166B,3858,ETM-5-128,6570166B,1,1
QFN25DBAKE,4410,1,FT1,,202027ERSLR-G2,6X6,RSL300,alt,ETM-5-128:6570166B,3846,ETM-5-128,6570166B,1,1
QFN7DBAKE,4410,1,FT1,,204036RHAR1-G2,6X6,RHA300,,ETS-2-64:6518648B,1022,ETS-2-64,6518648B,1,1
QFN7DBAKE,4410,1,FT1,,204036RHAR1-G2,6X6,RHA300,alt,ETS-2M-64:6518648B,1022,ETS-2M-64,6518648B,1,1
QFN7DBAKE,4410,1,FT1,,204036RHAR1-G2,6X6,RHA300,alt,ETS-2-128:6518648B,1022,ETS-2-128,6518648B,1,1
QFN7DBAKE,4410,1,FT1,,204036RHAR1-G2,6X6,RHA300,alt,ETS-4M-128:6518648B,1022,ETS-4M-128,6518648B,1,1
QFN1AUTOST,4410,1,FT1,,2402QDRRRQ1-G2,3X3,DRR300ST,,ETM-2-64:6582184A,8755,ETM-2-64,6582184A,1,1
QFN1AUTOST,4410,1,FT1,,2402QDRRRQ1-G2,3X3,DRR300ST,alt,ETM-4-64:6582184A,8755,ETM-4-64,6582184A,1,1
QFN1AUTOST,4410,1,FT1,,2402QDRRRQ1-G2,3X3,DRR300ST,alt,ETM-5-128:6582184A,8755,ETM-5-128,6582184A,1,1
QFN1AUTOST,4410,1,FT1,,2402QDRRRQ1-G2,3X3,DRR300ST,alt,ETS-2-64:6582184A,8755,ETS-2-64,6582184A,1,1
QFN1AUTOST,4410,1,FT1,,2402QDRRRQ1-G2,3X3,DRR300ST,alt,ETS-2M-64:6582184A,8755,ETS-2M-64,6582184A,1,1
QFN1AUTOST,4410,1,FT1,,2402QDRRRQ1-G2,3X3,DRR300ST,alt,ETS-2-128:6582184A,8755,ETS-2-128,6582184A,1,1
QFN1AUTOST,4410,1,FT1,,2402QDRRRQ1-G2,3X3,DRR300ST,alt,ETS-2Q-64:6582184A,8755,ETS-2Q-64,6582184A,1,1
