Machine_Family,Machine_Instance,Machine_Family_Name,Initial_Tool_Family,Initial_Certification
ETS-1-64,TAEAGLE01-1,ETS-1-64,,
ETS-1-64,TAEAGLE02-1,ETS-1-64,6464875A,1
ETS-1-64,TAEAGLE03-1,ETS-1-64,,
ETS564,TAEAGLE04-1,ETS564,,
ETS564,TAEAGLE05-1,ETS564,,
ETS564,TAEAGLE06-1,ETS564,6459957B,1
ETS564,TAEAGLE07-1,ETS564,,
ETS-1-64,TAEAGLE08-1,ETS-1-64,,
ETS-1-64,TAEAGLE09-1,ETS-1-64,6492377B,1
ETS564,TAEAGLE10-1,ETS564,,
ETS-1-64,TAEAGLE11-1,ETS-1-64,,
ETS-1-128,TAEAGLE12-1,ETS-1-128,,
ETS564,TAEAGLE13-1,ETS564,6455407A,1
ETS-1-64,TAEAGLE14-1,ETS-1-64,,
ETS-1-64,TAEAGLE15-1,ETS-1-64,,
ETS-1-128,TAEAGLE16-1,ETS-1-128,,
ETS-1M-64,TAEAGLE17-1,ETS-1M-64,6473197B,1
ETS564,TAEAGLE18-1,ETS564,,
ETS-1-64,TAEAGLE19-1,ETS-1-64,,
ETS-1M-64,TAEAGLE20-1,ETS-1M-64,,
ETS-1M-64,TAEAGLE21-1,ETS-1M-64,,
ETS-1M-64,TAEAGLE22-1,ETS-1M-64,6492291A,1
ETS-1M-64,TAEAGLE23-1,ETS-1M-64,,
ETS-1M-64,TAEAGLE24-1,ETS-1M-64,,
ETS-1M-64,TAEAGLE25-1,ETS-1M-64,,
ETS-1M-64,TAEAGLE26-1,ETS-1M-64,,
ETS-1-64,TAEAGLE27-1,ETS-1-64,6473197B,1
ETS-1-64,TAEAGLE28-1,ETS-1-64,,
ETS-1-64,TAEAGLE29-1,ETS-1-64,,
ETS-0-64,TAEAGLE30-1,ETS-0-64,6504853A/6487463C,1
ETS-0-64,TAEAGLE31-1,ETS-0-64,6471816C,1
ETS-2-64,TAEAGLE32-1,ETS-2-64,6505161A,1
ETS-2-64,TAEAGLE33-1,ETS-2-64,,
ETS-2-64,TAEAGLE34-1,ETS-2-64,,
ETS-2-64,TAEAGLE35-1,ETS-2-64,,
ETS-2-64,TAEAGLE36-1,ETS-2-64,,
