"tester_index","tester_config","loadboard_type","setup_change","Package","apu_tester","package_type","pin","package_size","Lot_Name","quantity","Lot_Weight","device_name","Setup_Time","Completion_Time","capacity"
"11","ETS-2-64","6496545A","","RGFMCM","11",NULL,NULL,NULL,"5795542","3681","32.98","51315RGFR-LS2Y","09/21/2015 06:06:11","09/21/2015 09:03:52","43424.1837"
"11","ETS-2-64","6496545A","","RGFMCM","11",NULL,NULL,NULL,"5776970","3387","40.67","51315RGFR-LS2Y","09/21/2015 06:06:11","09/21/2015 11:47:26","43424.1837"
"11","ETS-2-64","6496545A","","RGFMCM","11",NULL,NULL,NULL,"5795538","3637","31.87","51315RGFR-LS2Y","09/21/2015 06:06:11","09/21/2015 14:43:00","43424.1837"
"11","ETS-2-64","6496545A","","RGFMCM","11",NULL,NULL,NULL,"5774705","3477","3638","51315RGFR-LS2Y","09/21/2015 06:06:11","09/21/2015 17:30:54","43424.1837"
"11","ETS-2-64","6496545A","","RGFMCM","11",NULL,NULL,NULL,"5774713","2555","3638","51315RGFR-LS2Y","09/21/2015 06:06:11","09/21/2015 19:34:32","43424.1837"
"11","ETS-2-64","6496545A","","RGFMCM","11",NULL,NULL,NULL,"5776968","3634","3572","51315RGFR-LS2Y","09/21/2015 06:06:11","09/21/2015 22:29:58","43424.1837"
"11","ETS-2-64","6496545A","","RGFMCM","11",NULL,NULL,NULL,"5776971","3653","3572","51315RGFR-LS2Y","09/21/2015 06:06:11","09/22/2015 01:26:18","43424.1837"
"11","ETS-2-64","6496545A","","RGFMCM","11",NULL,NULL,NULL,"5776958","3605","3572","51315RGFR-LS2Y","09/21/2015 06:06:11","09/22/2015 04:20:20","43424.1837"
"11","ETS-2-64","6496545A","","RGFMCM","11",NULL,NULL,NULL,"5795539","3411","2775","51315RGFR-LS2Y","09/21/2015 06:06:11","09/22/2015 07:05:04","43424.1837"
"11","ETS-2-64","6496545A","","RGFMCM","11",NULL,NULL,NULL,"5819558","3671","2015","51315RGFR-LS2Y","09/21/2015 06:06:11","09/22/2015 10:02:16","43424.1837"
"11","ETS-2-64","6496545A","","RGFMCM","11",NULL,NULL,NULL,"5789412","1455","3638","51315RGFT-LS2Y","09/21/2015 06:06:11","09/22/2015 11:13:06","43424.1837"
"11","ETS-2-64","6496545A","","RGFMCM","11",NULL,NULL,NULL,"5774723","3536","3638","51315RGFT-LS2Y","09/21/2015 06:06:11","09/22/2015 14:03:49","43424.1837"
