Machine,Time
CLFTEA60,29.8465
CLFTEA40,46.8855
CLFTEA68,47.9439
CLFTEA15,32.6669
CLFTEA88,45.981
CLFTEA72,47.3123
CLFTEA92,46.5689
CLFTEA26,47.9108
CLFTEA86,47.9348
CLFTEA23,47.997
CLFTEA44,47.6177
CLFTEA39,47.6766
CLFTEA50,46.9854
CLFTEA66,47.7106
CLFTEA85,46.3823
CLFTEA82,0
CLFTEA59,47.8403
CLFTEA37,47.4592
CLFTEA78,47.4191
CLFTEA56,46.7402
CLFTEA22,46.0725
CLFTEA17,45.9538
CLFTEA58,45.945
CLFTEA83,47.0926
CLFTEA49,47.0761
CLFTEA73,47.4925
CLFTEA41,47.1484
CLFTEA87,46.2359
CLFTEA36,47.5857
CLFTEA38,47.4107
CLFTEA32,47.1182
CLFTEA20,35.1479
CLFTEA25,46.3975
CLFTEA75,46.5397
CLFTEA93,0
CLFTEA84,46.0204
CLFTEA62,47.4819
CLFTEA94,0
CLFTEA12,46.3415
CLFTEA64,47.6252
CLFTEA13,47.8656
CLFTEA67,46.0059
CLFTEA79,47.9306
CLFTEA11,47.1788
CLFTEA71,47.6582
CLFTEA52,47.5534
CLFTEA42,47.5826
CLFTEA74,47.2491
CLFTEA70,47.8414
CLFTEA30,46.7661
CLFTEA63,47.4521
CLFTEA51,47.2261
CLFTEA28,0
CLFTEA14,46.6633
CLFTEA46,47.9332
CLFTEA54,47.6655
CLFTEA76,47.3302
CLFTEA45,47.5313
CLFTEA53,47.7727
CLFTEA65,28.6519
CLFTEA48,47.1308
CLFTEA19,47.1518
CLFTEA80,47.6398
CLFTEA33,46.4685
CLFTEA77,28.7325
CLFTEA61,47.5444
CLFTEA18,46.4049
CLFTEA35,46.1073
CLFTEA34,47.7179
CLFTEA16,0
CLFTEA55,0
CLFTEA10,0
CLFTEA47,47.0214
CLFTEA27,47.8086
CLFTEA69,46.3472
CLFTEA21,0
CLFTEA1,0
CLFTEA2,45.7845
CLFTEA24,47.961
CLFTEA29,46.0127
CLFTEA3,45.7784
CLFTEA31,47.7934
CLFTEA4,47.6228
CLFTEA43,46.8255
CLFTEA5,47.3121
CLFTEA57,47.623
CLFTEA6,47.6374
CLFTEA7,47.6279
CLFTEA8,0
CLFTEA81,46.9125
CLFTEA89,45.9232
CLFTEA9,45.766
CLFTEA90,46.7281
CLFTEA91,46.2787
CLFTEA95,47.2642
CLFTEA97,46.2437
CLFTEA98,47.8274
CLFTEA99,47.6878
