Machine_Instance,Machine_Family_Name,Lot_Name,Quantity,Lot_Weight,Initial_Lot_Flag,Device_Name,Tooling_Family_Name,Certification,Setup_Time,Completion_Time,Package
CLFTEA60,ETS-2-64,5584612,5071,9324,N,1306051RHRR-G2,6555639A,2,09/21/2015 06:06:11,09/21/2015 09:13:50,RHR300
CLFTEA40,ETM-4-64,5861553,7172,16.86,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/21/2015 11:51:26,DRBST300
CLFTEA40,ETM-4-64,5864731,7186,15.91,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/21/2015 17:37:21,DRBST300
CLFTEA40,ETM-4-64,5861552,13824,1386,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/21/2015 19:16:12,DRBST300
CLFTEA40,ETM-4-64,5864728,13824,1291,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/21/2015 20:55:03,DRBST300
CLFTEA40,ETM-4-64,5851217,13823,926,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/21/2015 22:33:54,DRBST300
CLFTEA40,ETM-4-64,5851206,13819,926,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/22/2015 00:12:43,DRBST300
CLFTEA40,ETM-4-64,5851218,13813,926,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/22/2015 01:51:30,DRBST300
CLFTEA40,ETM-4-64,5851212,11213,926,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/22/2015 03:11:52,DRBST300
CLFTEA40,ETM-4-64,5851214,13824,926,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/22/2015 04:50:43,DRBST300
CLFTEA40,ETM-4-64,5851221,6907,926,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/22/2015 05:40:37,DRBST300
CLFTEA40,ETM-4-64,5851220,11222,926,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/22/2015 07:01:03,DRBST300
CLFTEA40,ETM-4-64,5854129,13824,821,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/22/2015 08:39:54,DRBST300
CLFTEA40,ETM-4-64,5854139,13805,821,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/22/2015 10:18:37,DRBST300
CLFTEA40,ETM-4-64,5854136,13822,821,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/22/2015 11:57:27,DRBST300
CLFTEA40,ETM-4-64,5854130,13820,821,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/22/2015 13:36:17,DRBST300
CLFTEA40,ETM-4-64,5854140,11225,821,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/22/2015 14:56:44,DRBST300
CLFTEA40,ETM-4-64,5854128,13824,821,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/22/2015 16:35:36,DRBST300
CLFTEA40,ETM-4-64,5854131,11226,821,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/22/2015 17:56:03,DRBST300
CLFTEA40,ETM-4-64,5854138,13824,821,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/22/2015 19:34:54,DRBST300
CLFTEA40,ETM-4-64,5854126,13820,821,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/22/2015 21:13:44,DRBST300
CLFTEA40,ETM-4-64,5857048,13821,725,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/22/2015 22:52:34,DRBST300
CLFTEA40,ETM-4-64,5857049,13816,725,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/23/2015 00:31:22,DRBST300
CLFTEA40,ETM-4-64,5857050,9786,725,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/23/2015 01:41:38,DRBST300
CLFTEA40,ETM-4-64,5857047,13821,725,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/23/2015 03:20:28,DRBST300
CLFTEA40,ETM-4-64,5857052,13822,725,N,A8001DRBR1-G2K,6555613B,1,09/21/2015 06:06:11,09/23/2015 04:59:18,DRBST300
