"pkgtype","tester_req","EDGE_LB","pkg_size","Pin","Package","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
NULL,"ETS-S-64","6542852A",NULL,NULL,NULL,"24882","12441","94171.79","0","24882","0","0","0.26","0","0.2642192529206464"
NULL,"ETM-2-64","6521765A",NULL,NULL,NULL,"133651","66825.5","351412.84","0","133651","0","0","0.38","0","0.3803247485208565"
NULL,"ETS-2-64","6575703A",NULL,NULL,NULL,"20748","10374","137281.69","0","20748","0","0","0.15","0","0.15113450307903406"
NULL,"ETS-0-64","6506370A",NULL,NULL,NULL,"24837","12418.5","364126.32","0","24837","0","0","0.07","0","0.06820984541848005"
NULL,"ETS-2-64","6576907B",NULL,NULL,NULL,"23506","11753","200903.74","0","23506","0","0","0.12","0","0.11700130619768453"
NULL,"ETS-0-64","6506370A",NULL,NULL,NULL,"10009","5004.5","436173.91","0","10009","0","0","0.02","0","0.022947268900150402"
NULL,"ETS-2-64","6506370A",NULL,NULL,NULL,"68200","34100","436173.91","0","68200","0","0","0.16","0","0.1563596502138333"
NULL,"ETS-2-64","6516231C",NULL,NULL,NULL,"12418","6209","156307.8","145364","62024","0","0.93","0.4","0","1.326792392957997"
NULL,"ETS-2-64","6552808A",NULL,NULL,NULL,"646395","323197.5","166933.96","34042","566198","0","0.2","3.39","0","3.595673402823488"
NULL,"ETS-S-64","6556617A",NULL,NULL,NULL,"3624","1812","186174.37","0","3624","0","0","0.02","0","0.019465622469945782"
NULL,"ETS-2-64","6556617A",NULL,NULL,NULL,"161900","80950","188033.72","65038","96886","0","0.35","0.52","0","0.8611434161915213"
NULL,"ETS-2-128","6504342B",NULL,NULL,NULL,"5037","2518.5","48665.57","0","5037","0","0","0.1","0","0.10350233234707823"
NULL,"ETS-2-64","6560309A",NULL,NULL,NULL,"4456","2228","54660.07","6629","24605","0","0.12","0.45","0","0.5714226125213524"
NULL,"ETS-2-64","6517878B",NULL,NULL,NULL,"5009","2504.5","59152.08","8264","5009","0","0.14","0.08","0","0.22438771383863423"
NULL,"ETS-2-64","6525585A",NULL,NULL,NULL,"104043","52021.5","65408.85","237415","69588","0","3.63","1.06","0","4.69360033084208"
NULL,"ETM-5-128","6556725A",NULL,NULL,NULL,"60805","30402.5","32052.94","10011","55090","0","0.31","1.72","0","2.0310461380453715"
NULL,"ETS-2-128","6525585A",NULL,NULL,NULL,"120157","60078.5","60807.69","51939","9984","0","0.85","0.16","0","1.0183415946239693"
NULL,"ETS-2-64","6525585A",NULL,NULL,NULL,"350455","175227.5","60916.13","111367","73733","0","1.83","1.21","0","3.0386040610262013"
NULL,"ETS-2-64","6496545A",NULL,NULL,NULL,"39702","19851","43424.18","10705","24006","0","0.25","0.55","0","0.7993472761028533"
NULL,"ETS-2-64","6514558B",NULL,NULL,NULL,"75906","37953","64040.97","43870","32036","0","0.69","0.5","0","1.1852724904073126"
NULL,"ETM-4-64","6546767B",NULL,NULL,NULL,"114909","57454.5","181612.52","680262","59353","0","3.75","0.33","0","4.072489055269978"
NULL,"ETS-2-64","6512615D",NULL,NULL,NULL,"117111","58555.5","90560.3","0","117111","0","0","1.29","0","1.293182553503025"
