"pkgtype","EDGE_LB","num_lots","pkg_size","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
NULL,"6460534B","1",NULL,"12836","6418","79116.46","0","0","0","0","0","0","0"
NULL,"6461377C","2",NULL,"20073","10036.5","84242.8","30224","9478","0","0.36","0.11","0","0.47128063169790174"
NULL,"6462654A","1",NULL,"7825","3912.5","144879.67","0","0","0","0","0","0","0"
NULL,"6468723B","1",NULL,"11001","5500.5","115912.08","0","0","0","0","0","0","0"
NULL,"6471907A","1",NULL,"16915","8457.5","57584.54","109277","16841","0","1.9","0.29","0","2.1901364498179547"
NULL,"6473092B","9",NULL,"92559","46279.5","62785.43","0","0","0","0","0","0","0"
NULL,"6479677A","2",NULL,"13893","6946.5","27425.22","10045","23917","0","0.37","0.87","0","1.2383492274628973"
NULL,"6484140A","12",NULL,"175475","87737.5","85052.43","25341","9499","0","0.3","0.11","0","0.4096296837139163"
NULL,"6484527A","5",NULL,"34163","17081.5",NULL,"0","0","0","0","0","0","0"
NULL,"6487839B","10",NULL,"62793","31396.5","31636.13","0","0","0","0","0","0","0"
NULL,"6487925B","69",NULL,"876502","438251","63123.55","0","0","0","0","0","0","0"
NULL,"6489159B","5",NULL,"57733","28866.5","68579.81","13812","61517","0","0.2","0.9","0","1.0984136584805353"
NULL,"6496545A","12",NULL,"39702","19851","43424.18","12149","22561","0","0.28","0.52","0","0.7993242474584437"
NULL,"6498316A","2",NULL,"20068","10034","30679.08","35120","9954","0","1.14","0.32","0","1.4692096373163732"
NULL,"6500265B","1",NULL,"5118","2559","34291.2","19694","20376","0","0.57","0.59","0","1.1685213699141472"
NULL,"6503050A","18",NULL,"105875","52937.5","53887.55","0","108608","0","0","2.02","0","2.015456260305024"
NULL,"6504079A","6",NULL,"148981","74490.5","221384.83","74178","44423","0","0.34","0.2","0","0.5357232471619668"
NULL,"6504342B","1",NULL,"5037","2518.5","48665.57","7724","0","0","0.16","0","0","0.15871590531046897"
NULL,"6505620C","2",NULL,"13742","6871","61579.64","0","0","0","0","0","0","0"
NULL,"6505771B","15",NULL,"204372","102186","27444.49","0","0","0","0","0","0","0"
NULL,"6506370A","5",NULL,"103046","51523","421764.39","195612","544236","0","0.46","1.29","0","1.7541736987326026"
NULL,"6507169A","1",NULL,"6292","3146","52646.91","0","0","0","0","0","0","0"
NULL,"6507988A","2",NULL,"29906","14953","142700.64","0","0","0","0","0","0","0"
NULL,"6508600B","6",NULL,"60440","30220","66753.62","0","0","0","0","0","0","0"
NULL,"6509808B","6",NULL,"97231","48615.5","129861.82","0","64804","0","0","0.5","0","0.4990227304684317"
NULL,"6510147A","6",NULL,"92550","46275","70232.71","0","29792","0","0","0.42","0","0.4241898112716994"
NULL,"6510609E","3",NULL,"30627","15313.5","94171.79","7494","57762","0","0.08","0.61","0","0.6929463696081385"
NULL,"6511094C","12",NULL,"129722","64861","93149.41","13785","41431","0","0.15","0.44","0","0.5927681130776888"
NULL,"6512615D","9",NULL,"117111","58555.5","90560.3","0","0","0","0","0","0","0"
NULL,"6513992A","13",NULL,"140962","70481","86053.71","50136","0","0","0.58","0","0","0.5826128821174589"
NULL,"6513992B","1",NULL,"9260","4630","0","0","39226","0","0","0","0","0"
NULL,"6514558B","21",NULL,"75906","37953","64040.97","0","0","0","0","0","0","0"
NULL,"6514765A","1",NULL,"24731","12365.5","337221.82","81476","62488","0","0.24","0.19","0","0.4269118765802284"
NULL,"6515575A","2",NULL,"11783","5891.5","48086.81","13837","31092","0","0.29","0.65","0","0.9343310566868545"
NULL,"6515577B","15",NULL,"89682","44841","48941.91","0","0","0","0","0","0","0"
NULL,"6515889A","2",NULL,"17472","8736","103199.08","0","0","0","0","0","0","0"
NULL,"6516230D","13",NULL,"212148","106074","99263.5","100743","910277","0","1.01","9.17","0","10.1852141018602"
NULL,"6516231C","1",NULL,"12418","6209","156307.8","0","0","0","0","0","0","0"
NULL,"6516394A","9",NULL,"133406","66703","77011.93","0","95692","0","0","1.24","0","1.242560730525777"
NULL,"6516809C","6",NULL,"37397","18698.5","71232.89","0","7415","0","0","0.1","0","0.1040951728899389"
NULL,"6517878B","1",NULL,"5009","2504.5","59152.08","0","0","0","0","0","0","0"
NULL,"6518233A","8",NULL,"40905","20452.5","51947.93","4312","0","0","0.08","0","0","0.08300619485704243"
NULL,"6518552B","7",NULL,"90144","45072","85421.31","0","0","0","0","0","0","0"
NULL,"6518677A","4",NULL,"23936","11968","54869.27","0","7704","0","0","0.14","0","0.1404064606655055"
NULL,"6519267C","6",NULL,"17367","8683.5","51826.08","0","0","0","0","0","0","0"
NULL,"6520265B","1",NULL,"5002","2501","60401.73","0","0","0","0","0","0","0"
NULL,"6521765A","4",NULL,"133651","66825.5","351412.84","0","133651","0","0","0.38","0","0.3803247485208565"
NULL,"6522167C","1",NULL,"1523","761.5","59923.87","61904","229049","0","1.03","3.82","0","4.8553773312704935"
NULL,"6522212C","24",NULL,"311197","155598.5","100848.07","0","27445","0","0","0.27","0","0.27214204495931354"
NULL,"6522803A","11",NULL,"128272","64136","55027.28","0","20128","0","0","0.37","0","0.3657822083882758"
NULL,"6523177B","9",NULL,"56910","28455","52894.74","61131","42334","0","1.16","0.8","0","1.9560546095887796"
NULL,"6524040A","16",NULL,"183849","91924.5","6086.83","10548","48577","0","1.73","7.98","0","9.713594761148249"
NULL,"6525230A","2",NULL,"49535","24767.5","786867.52","0","0","0","0","0","0","0"
NULL,"6525585A","64",NULL,"574655","287327.5","61878.58","0","0","0","0","0","0","0"
NULL,"6525600B","7",NULL,"41077","20538.5","51023.3","0","15763","0","0","0.31","0","0.3089372894344348"
NULL,"6528917C","1",NULL,"1459","729.5","20621.08","0","0","0","0","0","0","0"
NULL,"6528944B","8",NULL,"195979","97989.5","195234.44","0","0","0","0","0","0","0"
NULL,"6528989B","2",NULL,"11397","5698.5","57012.16","0","19021","0","0","0.33","0","0.33363057986226097"
NULL,"6530035A","12",NULL,"154624","77312","198668.09","52506","66313","0","0.26","0.33","0","0.5980779298779185"
NULL,"6541231B","1",NULL,"15069","7534.5","75720.65","15097","15050","0","0.2","0.2","0","0.3981344586978585"
NULL,"6541602C","10",NULL,"70561","35280.5","79938.78","0","0","0","0","0","0","0"
NULL,"6541669B","7",NULL,"79767","39883.5","50890.77","0","0","0","0","0","0","0"
NULL,"6542741A","7",NULL,"94651","47325.5","107404.51","0","82856","0","0","0.77","0","0.7714387412595617"
NULL,"6542777B","10",NULL,"48234","24117","25121.08","0","0","0","0","0","0","0"
NULL,"6542852A","2",NULL,"24882","12441","94171.79","0","24912","0","0","0.26","0","0.26453781965915696"
NULL,"6543758C","31",NULL,"214134","107067","70103.8","43259","314738","0","0.62","4.49","0","5.1066703944721965"
NULL,"6544140B","8",NULL,"15197","7598.5","0","0","3657","0","0","0","0","0"
NULL,"6544455A","6",NULL,"67364","33682","93324.66","0","0","0","0","0","0","0"
NULL,"6545193C","1",NULL,"2404","1202","35270.19","0","0","0","0","0","0","0"
NULL,"6545456B","39",NULL,"260485","130242.5","86700.84","7086","0","0","0.08","0","0","0.08172931196514359"
NULL,"6546196A","1",NULL,"13765","6882.5","0","0","0","0","0","0","0","0"
NULL,"6546767B","17",NULL,"114909","57454.5","181612.52","280201","126924","0","1.54","0.7","0","2.241723202783597"
NULL,"6547181A","9",NULL,"109052","54526","54652.29","13824","0","0","0.25","0","0","0.2529445701177389"
NULL,"6548880A","26",NULL,"410508","205254","133435.7","0","0","0","0","0","0","0"
NULL,"6552808A","40",NULL,"646395","323197.5","166933.96","45492","17225","0","0.27","0.1","0","0.37569946822084616"
NULL,"6553054A","3",NULL,"32452","16226","0","39339","71490","0","0","0","0","0"
NULL,"6553444B","10",NULL,"114275","57137.5","98700.64","0","0","0","0","0","0","0"
NULL,"6553821A","1",NULL,"3227","1613.5","0","0","0","0","0","0","0","0"
NULL,"6554905A","26",NULL,"324808","162404","145364.15","18862","0","0","0.13","0","0","0.1297568898521403"
NULL,"6555466B","1",NULL,"2292","1146","34473.6","0","2292","0","0","0.07","0","0.06648565859092175"
NULL,"6555613B","25",NULL,"310883","155441.5","203416.22","41452","522593","0","0.2","2.57","0","2.772861475844945"
NULL,"6555639A","1",NULL,"5071","2535.5","42013.53","0","0","0","0","0","0","0"
NULL,"6556617A","14",NULL,"165524","82762","187900.91","0","309450","0","0","1.65","0","1.6468786659947523"
NULL,"6556725A","7",NULL,"60805","30402.5","32052.94","0","0","0","0","0","0","0"
NULL,"6560309A","1",NULL,"4456","2228","54660.07","0","0","0","0","0","0","0"
NULL,"6566339A","2",NULL,"49639","24819.5","300388.38","0","0","0","0","0","0","0"
NULL,"6566885A","4",NULL,"16676","8338","58485.72","7431","72229","0","0.13","1.23","0","1.3620418796246332"
NULL,"6568520B","6",NULL,"45242","22621","62487.54","21314","23685","0","0.34","0.38","0","0.7201275646312849"
NULL,"6568521A","17",NULL,"129155","64577.5","84486.72","0","0","0","0","0","0","0"
NULL,"6568858D","6",NULL,"58384","29192","29751.92","0","69588","0","0","2.34","0","2.338941486801524"
NULL,"6569306A","70",NULL,"892832","446416","80665.91","27628","13757","0","0.34","0.17","0","0.5130420025014284"
NULL,"6570242A","4",NULL,"12493","6246.5","69380.83","10052","4693","0","0.14","0.07","0","0.2125226809768635"
NULL,"6570729C","7",NULL,"13260","6630","2726.33","103475","13204","0","37.95","4.84","0","42.797093528663076"
NULL,"6570845A","11",NULL,"143182","71591","88918.36","0","49892","0","0","0.56","0","0.5610989676372798"
NULL,"6571495A","20",NULL,"190643","95321.5","57311.11","4676","166900","0","0.08","2.91","0","2.993765083244767"
NULL,"6571778A","14",NULL,"165438","82719","83689.41","285953","89682","0","3.42","1.07","0","4.488441249615692"
NULL,"6574499A","1",NULL,"12370","6185","359513.04","0","68489","0","0","0.19","0","0.1905049118663401"
NULL,"6575577B","13",NULL,"161477","80738.5","91375.62","0","121016","0","0","1.32","0","1.324379522677931"
NULL,"6575703A","1",NULL,"20748","10374","137281.69","103864","0","0","0.76","0","0","0.7565757676788507"
NULL,"6576907B","1",NULL,"23506","11753","200903.74","0","23506","0","0","0.12","0","0.11700130619768453"
NULL,"6578526A","1",NULL,"9841","4920.5","74351.85","0","0","0","0","0","0","0"
NULL,"6578688B","17",NULL,"124276","62138","67001.71","57455","73692","0","0.86","1.1","0","1.95736795374327"
NULL,"6579768C","57",NULL,"513065","256532.5","70604.84","8395","48486","0","0.12","0.69","0","0.8056246568932102"
NULL,"6580945B","1",NULL,"7918","3959","183063.27","0","7918","0","0","0.04","0","0.043252805437158426"
NULL,"6584432B","4",NULL,"99343","49671.5",NULL,"0","0","0","0","0","0","0"
NULL,"6588064A","1",NULL,"5034","2517","0","0","5034","0","0","0","0","0"
NULL,"6590151A","6",NULL,"48727","24363.5","0","0","7660","0","0","0","0","0"
NULL,"No_Tooling","1",NULL,"2969","1484.5","0","10060","0","0","0","0","0","0"
