Device,Target amount,Finished amount,Shortage
PS53513RVER-LN,172987,158066,14921
603V1RUNR-G2N#,755175,146318,608857
PS54821RHLR2-R,621796,624792,-2996
S51200DRCR-G2Y,306635,212148,94487
BQ24170RGYR-G2,71141,77202,-6061
PS54218RTER3-C,242982,262021,-19039
TPS2557DRBR3-R,160052,163284,-3232
BQ24196RGER-RY,114040,122868,-8828
D97374Q4M-LNKE,115707,124276,-8569
7A8300RGRR-G2K,293095,165438,127657
Q24736RGRR-G2K,150211,15069,135142
V62090RGTR1-G2,248021,0,248021
65633BKRTER-G2,389162,401673,-12511
PS65148CRHBR-U,102007,105875,-3868
Q24166RGER-G2Y,16531,0,16531
Q24166RGET-G2Y,8176,0,8176
S61087DRCR-G2Y,194202,0,194202
V425RTJT1-UCR&,6232,0,6232
AC7760IRHAR-CK,4454,0,4454
S51220ARSNR-LK,25439,20068,5371
