LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE
5928860,PS25200DRVR-G2,2X2           ,DRVST300     ,     12409,     11.23,5928860.2150,2150,1,        15.71,       9.06,      5.12,                   ,10/09/2015 02:06:09,
5917615,61235RWLR-G2N#,2.5X2.5       ,RWLFCST300   ,     30066,      7.86,5917615.2150,2150,1,            0,          0,      8.41,                   ,10/09/2015 02:06:09,
5923711,61236RWLR-G2N#,2.5X2.5       ,RWLFCST300   ,     30096,      6.05,5923711.2150,2150,1,            0,          0,       6.6,                   ,10/09/2015 02:06:09,
5931467,94604DRVT1-G2K,2X2           ,DRVST300     ,     24826,         1,5931467.2150,2150,1,            0,       9.02,      4.42,                   ,10/09/2015 02:06:09,
5855831,TPS73701DRBR-B,3X3           ,DRB          ,      7680,     45.12,5855831.2100,2100,1,        12.79,       7.93,     40.81,                   ,10/09/2015 02:06:09,
5828399,D95379Q3M-LQR#,3.3X3.3       ,DNSCLIP      ,      5274,     34.18,5828399.2100,2100,1,         8.33,       8.74,     35.14,                   ,10/09/2015 02:06:09,
5860194,CD74120RVFR-LN,7X5           ,RVFCLIP      ,      3108,     29.86,5860194.2100,2100,1,        16.63,      11.36,     25.13,                   ,10/09/2015 02:06:09,
5894148,090QRGTRQ12-G2,3X3           ,RGT300       ,     11487,      25.2,5894148.2100,2100,1,        19.01,        8.4,     15.14,                   ,10/09/2015 02:06:09,
5877231,BQ24196RGER-RY,4X4           ,RGELLF       ,      5772,     18.37,5877231.2100,2100,1,         7.05,       8.18,     20.04,                   ,10/09/2015 02:06:09,
5899512,TPS54320RHLR-L,3.5X3.5       ,RHL          ,     15109,     18.05,5899512.2100,2100,1,        13.04,       7.93,     13.49,                   ,10/09/2015 02:06:09,
5904463,546QRTERQ11-G2,3X3           ,RTE300       ,     13806,     17.51,5904463.2100,2100,1,        14.34,        8.4,     12.11,                   ,10/09/2015 02:06:09,
5902227,PS65023RSBR1-R,5X5           ,RSB          ,      5902,     17.38,5902227.2100,2100,1,        13.42,        8.3,     12.81,                   ,10/09/2015 02:06:09,
5904198,CSD59968Q5M-LN,6X5           ,DQPCLIP      ,      3325,      16.9,5904198.2100,2100,1,        16.66,      11.36,     12.15,                   ,10/09/2015 02:06:09,
5904196,CSD59968Q5M-LN,6X5           ,DQPCLIP      ,      3364,      16.9,5904196.2100,2100,1,        16.66,      11.36,     12.15,                   ,10/09/2015 02:06:09,
5904194,CSD59968Q5M-LN,6X5           ,DQPCLIP      ,      3406,      16.9,5904194.2100,2100,1,        16.66,      11.36,     12.15,                   ,10/09/2015 02:06:09,
5915375,CSD59968Q5M-LN,6X5           ,DQPCLIP      ,      3094,      16.9,5915375.2100,2100,1,        16.66,      11.36,     12.15,                   ,10/09/2015 02:06:09,
5904206,CSD59968Q5M-LN,6X5           ,DQPCLIP      ,      3461,      16.9,5904206.2100,2100,1,        16.66,      11.36,     12.15,                   ,10/09/2015 02:06:09,
5904201,CSD59968Q5M-LN,6X5           ,DQPCLIP      ,      3359,      16.9,5904201.2100,2100,1,        16.66,      11.36,     12.15,                   ,10/09/2015 02:06:09,
5904197,CSD59968Q5M-LN,6X5           ,DQPCLIP      ,      3337,      16.9,5904197.2100,2100,1,        16.66,      11.36,     12.15,                   ,10/09/2015 02:06:09,
5906518,LV62130RGTR-LY,3X3           ,RGTLLF       ,     12819,     16.37,5906518.2100,2100,1,        13.83,       8.39,     11.48,                   ,10/09/2015 02:06:09,
5906514,LV62130RGTR-LY,3X3           ,RGTLLF       ,     16933,     16.37,5906514.2100,2100,1,        13.83,       8.39,     11.48,                   ,10/09/2015 02:06:09,
5906642,PS56121DQPR2-C,6X5           ,DQPCLIP      ,      1590,     16.23,5906642.2100,2100,1,        16.66,      11.36,     11.47,                   ,10/09/2015 02:06:09,
5906647,PS56121DQPR2-C,6X5           ,DQPCLIP      ,      6782,     16.23,5906647.2100,2100,1,        16.66,      11.36,     11.47,                   ,10/09/2015 02:06:09,
5906643,PS56121DQPR2-C,6X5           ,DQPCLIP      ,      6079,     16.23,5906643.2100,2100,1,        16.66,      11.36,     11.47,                   ,10/09/2015 02:06:09,
5907953,N1006030RTER-C,3X3           ,RTE          ,      6922,     15.66,5907953.2100,2100,1,        13.42,        8.3,     11.08,                   ,10/09/2015 02:06:09,
5910261,PS56121DQPR2-C,6X5           ,DQPCLIP      ,      6943,     15.47,5910261.2100,2100,1,        16.91,      11.36,     10.46,                   ,10/09/2015 02:06:09,
5931957,PS56121DQPR2-C,6X5           ,DQPCLIP      ,      6922,     15.47,5931957.2100,2100,1,        16.91,      11.36,     10.46,                   ,10/09/2015 02:06:09,
5909191,7A8300RGWR-G2K,5X5           ,RGW300       ,      3959,     15.28,5909191.2100,2100,1,        13.32,       8.25,     10.75,                   ,10/09/2015 02:06:09,
5909181,7A8300RGWR-G2K,5X5           ,RGW300       ,      7917,     15.28,5909181.2100,2100,1,        13.32,       8.25,     10.75,                   ,10/09/2015 02:06:09,
5909996,PS65168RSBR1-R,5X5           ,RSB          ,      7720,        15,5909996.2100,2100,1,        13.38,        8.3,     10.47,                   ,10/09/2015 02:06:09,
5910329,24735RGRR1-G2K,3.5X3.5       ,RGR300       ,      8587,     14.99,5910329.2100,2100,1,        13.35,       8.27,     10.45,                   ,10/09/2015 02:06:09,
5911189,BQ24770RUYR-G2,4X4           ,RUY300       ,     10059,     14.67,5911189.2100,2100,1,        13.32,       8.25,     10.15,                   ,10/09/2015 02:06:09,
5911148,V62090RGTR1-G2,3X3           ,RGT300       ,      7363,     14.67,5911148.2100,2100,1,        13.32,       8.25,     10.15,                   ,10/09/2015 02:06:09,
5911598,7A8300RGWR-G2K,5X5           ,RGW300       ,      4599,     14.59,5911598.2100,2100,1,        13.32,       8.25,     10.07,                   ,10/09/2015 02:06:09,
5911611,7A8300RGWR-G2K,5X5           ,RGW300       ,      3955,     14.59,5911611.2100,2100,1,        13.32,       8.25,     10.07,                   ,10/09/2015 02:06:09,
5911584,212005RHRR1-G2,5.5X3.5       ,RHR300       ,      6473,     14.59,5911584.2100,2100,1,        13.32,       8.25,     10.07,                   ,10/09/2015 02:06:09,
5911609,7A8300RGWR-G2K,5X5           ,RGW300       ,      7914,     14.59,5911609.2100,2100,1,        13.32,       8.25,     10.07,                   ,10/09/2015 02:06:09,
5911608,7A8300RGWR-G2K,5X5           ,RGW300       ,      7865,     14.59,5911608.2100,2100,1,        13.32,       8.25,     10.07,                   ,10/09/2015 02:06:09,
5911605,7A8300RGWR-G2K,5X5           ,RGW300       ,      7909,     14.59,5911605.2100,2100,1,        13.32,       8.25,     10.07,                   ,10/09/2015 02:06:09,
5911610,7A8300RGWR-G2K,5X5           ,RGW300       ,      6543,     14.59,5911610.2100,2100,1,        13.32,       8.25,     10.07,                   ,10/09/2015 02:06:09,
5911604,7A8300RGWR-G2K,5X5           ,RGW300       ,      7900,     14.59,5911604.2100,2100,1,        13.32,       8.25,     10.07,                   ,10/09/2015 02:06:09,
5911599,7A8300RGWR-G2K,5X5           ,RGW300       ,      3957,     14.59,5911599.2100,2100,1,        13.32,       8.25,     10.07,                   ,10/09/2015 02:06:09,
5915248,50842A0RSKR-G2,8X8           ,RSK300       ,      3356,     14.46,5915248.2100,2100,1,        13.79,        7.8,      9.01,                   ,10/09/2015 02:06:09,
5912987,S53211ARGTR-LK,3X3           ,RGT          ,      6899,     14.23,5912987.2100,2100,1,        13.38,        8.3,       9.7,                   ,10/09/2015 02:06:09,
5913773,PS62410DRCR-RY,3X3           ,DRCLLF       ,     16405,     14.16,5913773.2100,2100,1,        13.21,       7.97,      9.47,                   ,10/09/2015 02:06:09,
5913796,TPS53317RGBR-L,4.0X3.5       ,RGB          ,      6370,        14,5913796.2100,2100,1,        13.38,        8.3,      9.47,                   ,10/09/2015 02:06:09,
5914155,PS7A4700RGWR-R,5X5           ,RGW          ,      3917,     13.92,5914155.2100,2100,1,        13.38,        8.3,      9.39,                   ,10/09/2015 02:06:09,
5915007,S53312RGTR-G2Y,3X3           ,RGT300LLF    ,     16855,     13.85,5915007.2100,2100,1,        13.72,       8.43,       9.1,                   ,10/09/2015 02:06:09,
5915001,S51200DRCR-G2Y,3X3           ,DRC300LLF    ,      8593,     13.83,5915001.2100,2100,1,        13.66,       8.39,       9.1,                   ,10/09/2015 02:06:09,
5915832,PS53318DQPR-LN,6X5           ,DQPCLIP      ,      6774,     13.81,5915832.2100,2100,1,        16.91,      11.36,      8.81,                   ,10/09/2015 02:06:09,
5915283,PS62410DRCR-RY,3X3           ,DRCLLF       ,     10501,      13.7,5915283.2100,2100,1,        13.21,       7.97,      9.01,                   ,10/09/2015 02:06:09,
5914818,24735RGRR1-G2K,3.5X3.5       ,RGR300       ,     15098,     13.68,5914818.2100,2100,1,        13.35,       8.27,      9.14,                   ,10/09/2015 02:06:09,
5914819,24735RGRR1-G2K,3.5X3.5       ,RGR300       ,     14955,     13.68,5914819.2100,2100,1,        13.35,       8.27,      9.14,                   ,10/09/2015 02:06:09,
5916000,PS54218RTER3-C,3X3           ,RTE          ,     13741,     13.67,5916000.2100,2100,1,        13.38,       7.96,       8.8,                   ,10/09/2015 02:06:09,
5914827,S62736RGYR-G2K,3.5X3.5       ,RGY300       ,     15095,     13.67,5914827.2100,2100,1,        13.32,       8.25,      9.14,                   ,10/09/2015 02:06:09,
5914829,S62736RGYR-G2K,3.5X3.5       ,RGY300       ,     12282,     13.67,5914829.2100,2100,1,        13.32,       8.25,      9.14,                   ,10/09/2015 02:06:09,
5918342,S65177RHAR1-G2,6X6           ,RHA300       ,      2587,     13.59,5918342.2100,2100,1,        13.79,        7.8,      8.15,                   ,10/09/2015 02:06:09,
5915409,PS65261RHBR-G2,5X5           ,RHB300       ,      7914,     13.48,5915409.2100,2100,1,        13.32,       8.25,      8.96,                   ,10/09/2015 02:06:09,
