tester_index, tester_config,loadboard_type, setup_change,Package,apu_tester,package_type,package_size,device_name,Completion_Time
"11","ETS-2-64","6545456B","","4.5X3.5","11","CLIP ","4.5X3.5       ","S51367RVER-LNY","09/22/2015 08:15:30"
"11","ETS-2-64","6545456B","","4.5X3.5","11","CLIP ","4.5X3.5       ","S51367RVER-LNY","09/22/2015 13:57:33"
"11","ETS-2-64","6545456B","","4.5X3.5","11","CLIP ","4.5X3.5       ","S51367RVER-LNY","09/22/2015 15:14:29"
"11","ETS-2-64","6545456B","","4.5X3.5","11","CLIP ","4.5X3.5       ","S51367RVER-LNY","09/22/2015 16:19:12"
"11","ETS-2-64","6545456B","","4.5X3.5","11","CLIP ","4.5X3.5       ","S51367RVER-LNY","09/22/2015 18:27:10"
"11","ETS-2-64","6545456B","","4.5X3.5","11","CLIP ","4.5X3.5       ","S51367RVER-LNY","09/22/2015 19:31:25"
"11","ETS-2-64","6545456B","","4.5X3.5","11","CLIP ","4.5X3.5       ","S51367RVER-LNY","09/22/2015 21:35:49"
"11","ETS-2-64","6545456B","","4.5X3.5","11","CLIP ","4.5X3.5       ","S51367RVER-LNY","09/22/2015 23:44:27"
"11","ETS-2-64","6545456B","","4.5X3.5","11","CLIP ","4.5X3.5       ","S51367RVER-LNY","09/23/2015 01:33:07"
"11","ETS-2-64","6545456B","","4.5X3.5","11","CLIP ","4.5X3.5       ","S51367RVER-LNY","09/23/2015 03:42:17"
"11","ETS-2-64","6545456B","","4.5X3.5","11","CLIP ","4.5X3.5       ","S51367RVER-LNY","09/23/2015 05:50:54"
"11","ETS-2-64","6545456B","","4.5X3.5","11","CLIP ","4.5X3.5       ","S51367RVER-LNY","09/23/2015 08:00:37"
"11","ETS-2-64","6545456B","","4.5X3.5","11","CLIP ","4.5X3.5       ","S51367RVER-LNY","09/23/2015 10:09:22"
"11","ETS-2-64","6545456B","","4.5X3.5","11","CLIP ","4.5X3.5       ","S51367RVER-LNY","09/23/2015 12:16:41"
"11","ETS-2-64","6545456B","","4.5X3.5","11","CLIP ","4.5X3.5       ","S51367RVER-LNY","09/23/2015 14:26:08"
"11","ETS-2-64","6545456B","","4.5X3.5","11","CLIP ","4.5X3.5       ","S51367RVER-LNY","09/23/2015 16:34:17"
"11","ETS-2-64","6545456B","","4.5X3.5","11","CLIP ","4.5X3.5       ","S51367RVER-LNY","09/23/2015 18:43:35"
"11","ETS-2-64","6545456B","","4.5X3.5","11","CLIP ","4.5X3.5       ","S51367RVER-LNY","09/23/2015 20:52:15"
"11","ETS-2-64","6545456B","","4.5X3.5","11","CLIP ","4.5X3.5       ","S51367RVER-LNY","09/23/2015 23:01:10"
"11","ETS-2-64","6545456B","","4.5X3.5","11","CLIP ","4.5X3.5       ","S51367RVER-LNY","09/24/2015 01:12:37"
"12","ETS-S-64","6516394A","","3X3","12","STD  ","3X3           ","PS54326RGTR-LY","09/22/2015 07:32:20"
"12","ETS-S-64","6516394A","","3X3","12","STD  ","3X3           ","PS54326RGTR-LY","09/22/2015 12:58:30"
"12","ETS-S-64","6516394A","","3X3","12","STD  ","3X3           ","PS54326RGTR-LY","09/22/2015 18:23:50"
"12","ETS-S-64","6516394A","","3X3","12","STD  ","3X3           ","S53312RGTR-G2Y","09/22/2015 23:53:46"
"12","ETS-S-64","6516394A","","3X3","12","STD  ","3X3           ","S53312RGTR-G2Y","09/23/2015 05:25:27"
"12","ETS-S-64","6516394A","","3X3","12","STD  ","3X3           ","S53312RGTR-G2Y","09/23/2015 10:57:24"
"12","ETS-S-64","6516394A","","3X3","12","STD  ","3X3           ","S53312RGTR-G2Y","09/23/2015 16:28:51"
"12","ETS-S-64","6516394A","","3X3","12","STD  ","3X3           ","S53312RGTR-G2Y","09/23/2015 22:00:31"
"12","ETS-S-64","6484140A","setup change","3X3","12","STD  ","3X3           ","Q24072TRGTR-G2","09/24/2015 01:55:13"
"13","ETS-1-64","6489159B","","3X3","13","STD  ","3X3           ","TPS73701DRBR-B","09/22/2015 07:38:30"
"13","ETS-1-64","6489159B","","3X3","13","STD  ","3X3           ","TPS73701DRBR-B","09/22/2015 10:46:15"
"13","ETS-1-64","6489159B","","3X3","13","STD  ","3X3           ","TPS73701DRBR-B","09/22/2015 13:29:30"
"13","ETS-1-64","6489159B","","3X3","13","STD  ","3X3           ","TPS73701DRBR-B","09/22/2015 17:31:32"
"13","ETS-1-64","6489159B","","3X3","13","STD  ","3X3           ","TPS73701DRBR-B","09/22/2015 22:22:03"
"13","ETS-1-64","6489159B","","3X3","13","STD  ","3X3           ","TPS73701DRBR-B","09/23/2015 02:51:45"
"13","ETS-1-64","6489159B","","3X3","13","STD  ","3X3           ","TPS73701DRBR-B","09/23/2015 06:43:08"
"13","ETS-1-64","6489159B","","3X3","13","STD  ","3X3           ","TPS73701DRBR-B","09/23/2015 11:33:54"
"13","ETS-1-64","6489159B","","3X3","13","STD  ","3X3           ","TPS73701DRBR-B","09/23/2015 16:23:48"
"13","ETS-1-64","6489159B","","3X3","13","STD  ","3X3           ","TPS73701DRBR-B","09/23/2015 21:14:55"
"13","ETS-1-64","6489159B","","3X3","13","STD  ","3X3           ","TPS73701DRBR-B","09/24/2015 02:05:53"
"14","ETS-2-64","6487925B","","3.5X3.5","14","STD  ","3.5X3.5       ","PS54622ARHLR-L","09/22/2015 05:31:30"
"14","ETS-2-64","6487925B","","3.5X3.5","14","STD  ","3.5X3.5       ","PS54821RHLR2-R","09/22/2015 11:25:58"
"14","ETS-2-64","6487925B","","3.5X3.5","14","STD  ","3.5X3.5       ","PS54821RHLR2-R","09/22/2015 17:20:08"
"14","ETS-2-64","6487925B","","3.5X3.5","14","STD  ","3.5X3.5       ","PS54821RHLR2-R","09/22/2015 23:14:12"
"14","ETS-2-64","6487925B","","3.5X3.5","14","STD  ","3.5X3.5       ","PS54821RHLR2-R","09/23/2015 05:08:52"
"14","ETS-2-64","6487925B","","3.5X3.5","14","STD  ","3.5X3.5       ","S54620RGYR1-G2","09/23/2015 07:54:31"
"14","ETS-2-64","6487925B","","3.5X3.5","14","STD  ","3.5X3.5       ","TPS54622RHLR-L","09/23/2015 14:25:31"
"14","ETS-2-64","6487925B","","3.5X3.5","14","STD  ","3.5X3.5       ","PS54821RHLR2-R","09/23/2015 20:19:59"
"14","ETS-2-64","6487925B","","3.5X3.5","14","STD  ","3.5X3.5       ","PS54821RHLR2-R","09/24/2015 01:25:34"
"15","ETS-S-64","6518233A","","5X5","15","STD  ","5X5           ","PS65023RSBR1-R","09/22/2015 03:55:37"
"15","ETS-S-64","6518233A","","5X5","15","STD  ","5X5           ","PS65023RSBR1-R","09/22/2015 05:43:45"
"15","ETS-S-64","6518233A","","5X5","15","STD  ","5X5           ","PS65023RSBR1-R","09/22/2015 08:35:21"
"15","ETS-S-64","6518233A","","5X5","15","STD  ","5X5           ","PS65023RSBR1-R","09/22/2015 10:25:30"
"15","ETS-S-64","6518233A","","5X5","15","STD  ","5X5           ","PS65023RSBR1-R","09/22/2015 12:58:10"
"15","ETS-S-64","6518233A","","5X5","15","STD  ","5X5           ","PS65023RSBR1-R","09/22/2015 14:36:32"
"15","ETS-S-64","6518233A","","5X5","15","STD  ","5X5           ","PS65023RSBR1-R","09/22/2015 18:16:41"
"15","ETS-S-64","6518233A","","5X5","15","STD  ","5X5           ","PS65023RSBR1-R","09/22/2015 21:08:17"
"15","ETS-S-64","6525600B","setup change","5X5","15","STD  ","5X5           ","1108026RHDR1-R","09/22/2015 23:05:39"
"15","ETS-S-64","6525600B","","5X5","15","STD  ","5X5           ","1108026RHDR1-R","09/23/2015 00:58:09"
"15","ETS-S-64","6525600B","","5X5","15","STD  ","5X5           ","1108026RHDR1-R","09/23/2015 03:05:01"
"15","ETS-S-64","6525600B","","5X5","15","STD  ","5X5           ","1108026RHDR1-R","09/23/2015 05:26:26"
"15","ETS-S-64","6525600B","","5X5","15","STD  ","5X5           ","1108026RHDR1-R","09/23/2015 09:10:29"
"15","ETS-S-64","6525600B","","5X5","15","STD  ","5X5           ","1108026RHDR1-R","09/23/2015 12:54:41"
"15","ETS-S-64","6525600B","","5X5","15","STD  ","5X5           ","1108026RHDR1-R","09/23/2015 16:05:37"
"15","ETS-S-64","6525600B","","5X5","15","STD  ","5X5           ","1108026RHDR1-R","09/23/2015 20:25:08"
"15","ETS-S-64","6508600B","setup change","4X4","15","STD  ","4X4           ","TPS61183RTJR-R","09/24/2015 01:21:13"
"17","ETS-0-64","6505620C","","3X3","17","STD  ","3X3           ","PS2560ADRCR-G2","09/22/2015 03:26:34"
"17","ETS-0-64","6505620C","","3X3","17","STD  ","3X3           ","PS2561DRCR1-G2","09/22/2015 14:29:14"
"17","ETS-0-64","6505620C","","3X3","17","STD  ","3X3           ","PS2561DRCR1-G2","09/22/2015 22:47:31"
"17","ETS-0-64","6505620C","","3X3","17","STD  ","3X3           ","PS2561DRCR1-G2","09/23/2015 09:50:17"
"17","ETS-0-64","6505620C","","3X3","17","STRIP","3X3           ","PS2561DRCR1-LY","09/23/2015 15:24:53"
"17","ETS-0-64","6505620C","","3X3","17","STD  ","3X3           ","PS2561DRCR1-G2","09/23/2015 20:57:02"
"17","ETS-0-64","6514765A","setup change","2X2","17","STD  ","2X2           ","S60151DRVR-G2K","09/23/2015 22:48:37"
"18","ETS-2-64","6571495A","","4X4","18","STD  ","4X4           ","24780SRUYR-G2K","09/22/2015 05:59:32"
"18","ETS-2-64","6571495A","","4X4","18","STD  ","4X4           ","24780SRUYR-G2K","09/22/2015 09:54:59"
"18","ETS-2-64","6571495A","","4X4","18","STD  ","4X4           ","24780SRUYR-G2K","09/22/2015 13:45:14"
"18","ETS-2-64","6571495A","","4X4","18","STD  ","4X4           ","24780SRUYR-G2K","09/22/2015 17:41:52"
"18","ETS-2-64","6571495A","","4X4","18","STD  ","4X4           ","24780SRUYR-G2K","09/22/2015 21:38:21"
"18","ETS-2-64","6571495A","","4X4","18","STD  ","4X4           ","24780SRUYR-G2K","09/23/2015 01:34:58"
"18","ETS-2-64","6571495A","","4X4","18","STD  ","4X4           ","BQ24777RUYR-G2","09/23/2015 05:24:17"
"18","ETS-2-64","6571495A","","4X4","18","STD  ","4X4           ","BQ24777RUYR-G2","09/23/2015 08:53:09"
"18","ETS-2-64","6571495A","","4X4","18","STD  ","4X4           ","BQ24777RUYR-G2","09/23/2015 12:52:58"
"18","ETS-2-64","6571495A","","4X4","18","STD  ","4X4           ","BQ24777RUYR-G2","09/23/2015 16:55:07"
"18","ETS-2-64","6571495A","","4X4","18","STD  ","4X4           ","Q24780RUYR-G2K","09/23/2015 20:37:43"
"18","ETS-2-64","6571495A","","4X4","18","STD  ","4X4           ","Q24780RUYR-G2K","09/24/2015 00:23:13"
"19","ETS-S-64","6518677A","","5X5","19","STD  ","5X5           ","PS65168RSBR1-R","09/22/2015 08:25:41"
"19","ETS-S-64","6518677A","","5X5","19","STD  ","5X5           ","PS65168RSBR1-R","09/22/2015 14:45:33"
"19","ETS-S-64","6518677A","","5X5","19","STD  ","5X5           ","PS65168RSBR1-R","09/22/2015 18:08:45"
"19","ETS-S-64","6518677A","","5X5","19","STD  ","5X5           ","PS65168RSBR1-R","09/22/2015 20:08:51"
"19","ETS-S-64","6518677A","","5X5","19","STD  ","5X5           ","PS65168RSBR1-R","09/22/2015 23:16:51"
"19","ETS-S-64","6518677A","","5X5","19","STD  ","5X5           ","PS65168RSBR1-R","09/23/2015 00:59:24"
"19","ETS-S-64","No_Tooling","setup change","3X3","19","STD  ","3X3           ","A2314AIDRBR-CK","09/23/2015 06:31:18"
"19","ETS-S-64","No_Tooling","","3X3","19","STD  ","3X3           ","A2314AIDRBR-CK","09/23/2015 12:56:24"
"19","ETS-S-64","No_Tooling","","3X3","19","STD  ","3X3           ","A2314AIDRBR-CK","09/23/2015 23:59:01"
