"pkgtype","tester_req","EDGE_LB","pkg_size","Device_Name","Package","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_queue_1_tester"
"STRIP","ETM-2-64","6521765A","1.5X1.5       ","TPS71745DSER-L","DSEST        ","133651","66825.5","351412.84","0","133651","0","0","0.38","0","0.3803247485208565"
"STD  ","ETS-2-64","6575703A","1.5X1.5       ","BQ29700DSER-G2","DSEST300     ","20748","10374","137281.69","0","20748","0","0","0.15","0","0.15113450307903406"
"STRIP","ETS-1-64","6506370A","2.5X2.5       ","PS61093DSKR-CK","DSKST        ","10009","5004.5","436173.91","0","10009","0","0","0.02","0","0.022947268900150402"
"STRIP","ETS-0-64","6504079A","2X2           ","PS61161DRVR-LK","DRVST        ","317473","158736.5","219277.24","228896","317473","0","1.04","1.45","0","2.491681307189018"
"STRIP","ETS-0-64","6504079A","2X2           ","S61170DRVR2-LK","DRVST        ","74454","37227","225600","120214","74454","0","0.53","0.33","0","0.8628900709219858"
"STRIP","ETS-0-64","6506370A","2X2           ","S62067DSGR1-G2","DSGST        ","24837","12418.5","364126.32","0","24837","0","0","0.07","0","0.06820984541848005"
"STD  ","ETS-0-64","6514765A","2X2           ","S60151DRVR-G2K","DRVST300     ","24731","12365.5","337221.82","131033","24731","0","0.39","0.07","0","0.4619036810844565"
"STRIP","ETS-2-64","6516231C","2X2           ","PS51206DSQR-RK","DSQST        ","145706","72853","156307.8","49356","182850","0","0.32","1.17","0","1.4855688583679127"
"STRIP","ETS-2-64","6516231C","2X2           ","PS51206DSQT-RK","DSQST        ","44627","22313.5","156307.8","0","44627","0","0","0.29","0","0.2855071851820575"
"STRIP","ETS-2M-64","6516231C","2X2           ","PS51206DSQR-RK","DSQST        ","12418","6209","156307.8","49356","182850","0","0.32","1.17","0","1.4855688583679127"
"STRIP","ETS-2-64","6525230A","2X2           ","TPS2552DRVR1-L","DRVST        ","111728","55864","817590.86","420642","99333","0","0.51","0.12","0","0.6359843601969817"
"STRIP","ETS-2-64","6525230A","2X2           ","TPS2553DRVR-L","DRVST        ","52502","26251","756144.19","50537","39138","0","0.07","0.05","0","0.11859510551816844"
"STD  ","ETS-2-64","6528944B","2X2           ","603V1RUNR-G2N#","RUNST300     ","308005","154002.5","197858.21","374899","308005","0","1.89","1.56","0","3.4514817454378064"
"STD  ","ETS-2-64","6528944B","2X2           ","DRV2603RUNR-G2","RUNST300     ","49662","24831","187363.12","49994","74497","0","0.27","0.4","0","0.6644370567697635"
"STRIP","ETS-2-64","6566339A","2X2           ","PS70630DRVR-RK","DRVST        ","18531","9265.5","308723.33","12402","18531","0","0.04","0.06","0","0.10019650928227548"
"STRIP","ETS-2-64","6566339A","2X2           ","PS70933DRVR-RK","DRVST        ","12417","6208.5","294802.12","99078","0","0","0.34","0","0","0.3360830648029261"
"STRIP","ETS-2-64","6566339A","2X2           ","PS70950DRVR-RK","DRVST        ","124080","62040","300388.38","12405","111675","0","0.04","0.37","0","0.41306524573287423"
"STRIP","ETS-2-64","6566339A","2X2           ","TPS72015DRVR-R","DRVST        ","37780","18890","496360.76","37774","24818","0","0.08","0.05","0","0.1261018296450348"
"STD  ","ETS-2M-64","6574499A","2X2           ","S61291DRVR-G2K","DRVST300     ","12370","6185","359513.04","0","12370","0","0","0.03","0","0.034407653196668476"
"STRIP","ETS-2-64","6576907B","2X2           ","BQ24311DSGR-G2","DSGST        ","23506","11753","200903.74","0","23506","0","0","0.12","0","0.11700130619768453"
"STD  ","ETS-2-64","6577168A","2X2           ","PS25200DRVR-G2","DRVST300     ","74184","37092","744601.12","285499","74184","0","0.38","0.1","0","0.48305460512871645"
"STD  ","ETS-2-64","6570242A","3.3X3.3       ","D95379Q3M-LNKY","DNSCLPVTT    ","75757","37878.5","69380.83","301492","28496","0","4.35","0.41","0","4.756184092925957"
"STRIP","ETS-1-64","6487925B","3.5X3.5       ","4622RHLR1-LQR#","RHLST        ","15108","7554","55732.88","0","15108","0","0","0.27","0","0.2710787599707749"
"STD  ","ETS-1-64","6487925B","3.5X3.5       ","PS54622ARHLR-L","RHL          ","15099","7549.5","55732.88","40153","43817","0","0.72","0.79","0","1.506651011036932"
"STD  ","ETS-1-64","6487925B","3.5X3.5       ","S54620RGYR1-G2","RGY300       ","30191","15095.5","69929.46","0","46320","0","0","0.66","0","0.6623817772938615"
"STD  ","ETS-1-64","6487925B","3.5X3.5       ","TPS54320RHLR-L","RHL          ","15067","7533.5","65839.1","54788","90482","0","0.83","1.37","0","2.206439638451923"
"STD  ","ETS-1-64","6487925B","3.5X3.5       ","TPS54622RHLR-L","RHL          ","41904","20952","55732.88","30154","301816","0","0.54","5.42","0","5.956447971107899"
