Machine_Instance,Machine_Family_Name,Lot_Name,Quantity,Lot_Weight,Initial_Lot_Flag,Device_Name,Tooling_Family_Name,Certification,Setup_Time,Completion_Time,Package
CLFTEA81,ETS-2-64,5864699,13660,707,N,N1006030RTER-C,6522212C,1,09/22/2015 02:06:10,09/22/2015 05:24:27,3X3
CLFTEA81,ETS-2-64,5864696,13809,707,N,N1006030RTER-C,6522212C,1,09/22/2015 02:06:10,09/22/2015 08:44:55,3X3
CLFTEA81,ETS-2-64,5864697,13790,707,N,N1006030RTER-C,6522212C,1,09/22/2015 02:06:10,09/22/2015 12:05:05,3X3
CLFTEA81,ETS-2-64,5864695,13780,707,N,N1006030RTER-C,6522212C,1,09/22/2015 02:06:10,09/22/2015 15:25:07,3X3
CLFTEA81,ETS-2-64,5841083,13816,19.25,N,PS54218RTER3-C,6522212C,1,09/22/2015 02:06:10,09/23/2015 02:29:17,3X3
CLFTEA81,ETS-2-64,5852991,13752,1059,N,PS54218RTER3-C,6522212C,1,09/22/2015 02:06:10,09/23/2015 05:41:14,3X3
CLFTEA81,ETS-2-64,5859116,10972,855,N,PS54218RTER3-C,6522212C,1,09/22/2015 02:06:10,09/23/2015 08:14:35,3X3
CLFTEA81,ETS-2-64,5860741,13813,806,N,PS54218RTER3-C,6522212C,1,09/22/2015 02:06:10,09/23/2015 11:27:23,3X3
CLFTEA81,ETS-2-64,5860738,13811,806,N,PS54218RTER3-C,6522212C,1,09/22/2015 02:06:10,09/23/2015 14:40:09,3X3
CLFTEA81,ETS-2-64,5860743,13808,806,N,PS54218RTER3-C,6522212C,1,09/22/2015 02:06:10,09/23/2015 17:52:53,3X3
CLFTEA81,ETS-2-64,5863730,13754,732,N,PS54218RTER3-C,6522212C,1,09/22/2015 02:06:10,09/23/2015 21:04:52,3X3
CLFTEA81,ETS-2-64,5852393,9885,1089,N,PS54218RTER3-C,6522212C,1,09/22/2015 02:06:10,09/23/2015 23:23:07,3X3
CLFTEA68,ETS-2-64,5822167,7548,2157,N,7A8300RGRR-G2K,6571778A,1,09/22/2015 02:06:10,09/22/2015 04:17:02,3.5X3.5
CLFTEA68,ETS-2-64,5825210,7548,2062,N,7A8300RGRR-G2K,6571778A,1,09/22/2015 02:06:10,09/22/2015 06:27:54,3.5X3.5
CLFTEA68,ETS-2-64,5825219,15097,2062,N,7A8300RGRR-G2K,6571778A,1,09/22/2015 02:06:10,09/22/2015 10:48:40,3.5X3.5
CLFTEA68,ETS-2-64,5825211,15107,2062,N,7A8300RGRR-G2K,6571778A,1,09/22/2015 02:06:10,09/22/2015 15:09:37,3.5X3.5
CLFTEA68,ETS-2-64,5825218,15047,2062,N,7A8300RGRR-G2K,6571778A,1,09/22/2015 02:06:10,09/22/2015 19:29:31,3.5X3.5
CLFTEA68,ETS-2-64,5825215,15117,2062,N,7A8300RGRR-G2K,6571778A,1,09/22/2015 02:06:10,09/22/2015 23:50:38,3.5X3.5
CLFTEA68,ETS-2-64,5825213,7553,2062,N,7A8300RGRR-G2K,6571778A,1,09/22/2015 02:06:10,09/23/2015 02:01:35,3.5X3.5
CLFTEA68,ETS-2-64,5825208,8901,2062,N,7A8300RGRR-G2K,6571778A,1,09/22/2015 02:06:10,09/23/2015 04:35:44,3.5X3.5
CLFTEA68,ETS-2-64,5825220,8188,2062,N,7A8300RGRR-G2K,6571778A,1,09/22/2015 02:06:10,09/23/2015 06:57:37,3.5X3.5
CLFTEA68,ETS-2-64,5825217,15116,2062,N,7A8300RGRR-G2K,6571778A,1,09/22/2015 02:06:10,09/23/2015 11:18:43,3.5X3.5
CLFTEA68,ETS-2-64,5825214,15049,2062,N,7A8300RGRR-G2K,6571778A,1,09/22/2015 02:06:10,09/23/2015 15:38:39,3.5X3.5
CLFTEA68,ETS-2-64,5825216,15102,2062,N,7A8300RGRR-G2K,6571778A,1,09/22/2015 02:06:10,09/23/2015 19:59:31,3.5X3.5
CLFTEA15,ETS-S-64,5817496,3912,2139,N,PS65023RSBR1-R,6518233A,2,09/22/2015 02:06:10,09/22/2015 03:55:37,5X5
CLFTEA15,ETS-S-64,5817493,3864,2139,N,PS65023RSBR1-R,6518233A,2,09/22/2015 02:06:10,09/22/2015 05:43:45,5X5
CLFTEA15,ETS-S-64,5817492,6153,2139,N,PS65023RSBR1-R,6518233A,2,09/22/2015 02:06:10,09/22/2015 08:35:21,5X5
CLFTEA15,ETS-S-64,5820844,3937,2039,N,PS65023RSBR1-R,6518233A,2,09/22/2015 02:06:10,09/22/2015 10:25:30,5X5
CLFTEA15,ETS-S-64,5820843,5470,2039,N,PS65023RSBR1-R,6518233A,2,09/22/2015 02:06:10,09/22/2015 12:58:10,5X5
CLFTEA15,ETS-S-64,5820852,3512,2039,N,PS65023RSBR1-R,6518233A,2,09/22/2015 02:06:10,09/22/2015 14:36:32,5X5
CLFTEA15,ETS-S-64,5820842,7904,2039,N,PS65023RSBR1-R,6518233A,2,09/22/2015 02:06:10,09/22/2015 18:16:41,5X5
CLFTEA15,ETS-S-64,5820851,6153,2039,N,PS65023RSBR1-R,6518233A,2,09/22/2015 02:06:10,09/22/2015 21:08:17,5X5
CLFTEA31,ETS-2-64,5852397,9679,1089,N,24780SRUYR-G2K,6571495A,1,09/22/2015 02:06:10,09/22/2015 05:53:39,4X4
CLFTEA31,ETS-2-64,5852999,10039,1059,N,24780SRUYR-G2K,6571495A,1,09/22/2015 02:06:10,09/22/2015 09:49:34,4X4
CLFTEA31,ETS-2-64,5853002,6948,1059,N,24780SRUYR-G2K,6571495A,1,09/22/2015 02:06:10,09/22/2015 12:33:09,4X4
CLFTEA31,ETS-2-64,5853001,10061,1059,N,24780SRUYR-G2K,6571495A,1,09/22/2015 02:06:10,09/22/2015 16:29:35,4X4
CLFTEA31,ETS-2-64,5852299,10011,1086,N,BQ24770RUYR-G2,6571495A,1,09/22/2015 02:06:10,09/22/2015 20:24:02,4X4
CLFTEA31,ETS-2-64,5852298,10063,1086,N,BQ24770RUYR-G2,6571495A,1,09/22/2015 02:06:10,09/23/2015 00:19:41,4X4
CLFTEA31,ETS-2-64,5852304,5652,1086,N,BQ24770RUYR-G2,6571495A,1,09/22/2015 02:06:10,09/23/2015 02:32:29,4X4
CLFTEA31,ETS-2-64,5852302,10077,1086,N,BQ24770RUYR-G2,6571495A,1,09/22/2015 02:06:10,09/23/2015 06:28:28,4X4
CLFTEA31,ETS-2-64,5845733,5026,17.51,N,Q24780RUYR-G2K,6571495A,1,09/22/2015 02:06:10,09/23/2015 10:30:43,4X4
CLFTEA31,ETS-2-64,5856076,10013,953,N,BQ24777RUYR-G2,6571495A,1,09/22/2015 02:06:10,09/23/2015 14:33:34,4X4
CLFTEA31,ETS-2-64,5849288,5014,16.41,N,SN2867RUYR-G2K,6571495A,1,09/22/2015 02:06:10,09/23/2015 18:35:14,4X4
CLFTEA31,ETS-2-64,5855109,10024,989,N,24780SRUYR-G2K,6571495A,1,09/22/2015 02:06:10,09/23/2015 22:30:48,4X4
CLFTEA72,ETS-2-64,5867395,7893,620,N,N1006030RTER-C,6522212C,1,09/22/2015 02:06:10,09/22/2015 04:01:10,3X3
CLFTEA72,ETS-2-64,5852390,13799,1089,N,PS54218RTER3-C,6522212C,1,09/22/2015 02:06:10,09/22/2015 07:13:46,3X3
CLFTEA72,ETS-2-64,5856022,7144,957,N,PS54218RTER3-C,6522212C,1,09/22/2015 02:06:10,09/22/2015 08:53:58,3X3
CLFTEA72,ETS-2-64,5859112,13729,855,N,PS54218RTER3-C,6522212C,1,09/22/2015 02:06:10,09/22/2015 12:05:36,3X3
CLFTEA72,ETS-2-64,5860744,13699,806,N,PS54218RTER3-C,6522212C,1,09/22/2015 02:06:10,09/22/2015 15:16:48,3X3
CLFTEA72,ETS-2-64,5860735,13806,806,N,PS54218RTER3-C,6522212C,1,09/22/2015 02:06:10,09/22/2015 18:29:31,3X3
CLFTEA72,ETS-2-64,5860737,13727,806,N,PS54218RTER3-C,6522212C,1,09/22/2015 02:06:10,09/22/2015 21:41:07,3X3
CLFTEA72,ETS-2-64,5860746,9720,806,N,PS54218RTER3-C,6522212C,1,09/22/2015 02:06:10,09/22/2015 23:57:05,3X3
CLFTEA72,ETS-2-64,5860734,13803,806,N,PS54218RTER3-C,6522212C,1,09/22/2015 02:06:10,09/23/2015 03:09:44,3X3
CLFTEA72,ETS-2-64,5860742,13781,806,N,PS54218RTER3-C,6522212C,1,09/22/2015 02:06:10,09/23/2015 06:22:06,3X3
