"pkgtype","EDGE_LB","num_lots","pkg_size","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
"STD  ","6460534B","1","3X3           ","12836","6418","79116.46","0","0","0","0","0","0","0"
"STD  ","6461377C","4","4X4           ","35176","17588","84242.8","30224","9478","0","0.36","0.11","0","0.47128063169790174"
"STD  ","6462654A","1","3X3           ","7825","3912.5","144879.67","0","0","0","0","0","0","0"
"STD  ","6468723B","7","3X3           ","103295","51647.5","115912.08","0","0","0","0","0","0","0"
"STD  ","6471907A","1","3X3           ","16908","8454","57584.54","109277","16841","0","1.9","0.29","0","2.1901364498179547"
"STD  ","6473092B","9","3X3           ","92528","46264","62785.43","0","0","0","0","0","0","0"
"STD  ","6474275A","1","3X3           ","13783","6891.5","84672","0","0","0","0","0","0","0"
"STD  ","6479465A","6","4X4           ","50938","25469","8436.3","119984","10073","0","14.22","1.19","0","15.41635551130235"
"STD  ","6484140A","1","3X3           ","15903","7951.5","81721.57","25341","9499","0","0.31","0.12","0","0.42632563226575304"
"STD  ","6484527A","1","5X5           ","7899","3949.5",NULL,"0","0","0","0","0","0","0"
"STD  ","6487839B","18","5X5           ","119892","59946","31703.75","0","0","0","0","0","0","0"
"STD  ","6487925B","67","3.5X3.5       ","822944","411472","60030.53","0","0","0","0","0","0","0"
"STD  ","6489159B","11","3X3           ","127727","63863.5","68579.81","13812","61517","0","0.2","0.9","0","1.0984136584805353"
"STD  ","6494476A","7","3X3           ","107798","53899","105349.06","0","0","0","0","0","0","0"
"STD  ","6494708A","6","4X4           ","46183","23091.5","47933.34","9664","8315","0","0.2","0.17","0","0.37508339706767774"
"STD  ","6496545A","17","7X5           ","57663","28831.5","43424.18","12149","22561","0","0.28","0.52","0","0.7993242474584437"
"STD  ","6498316A","7","4X4           ","59365","29682.5","30679.08","35120","9954","0","1.14","0.32","0","1.4692096373163732"
"STD  ","6500265B","1","6X6           ","5118","2559","34291.2","19694","20376","0","0.57","0.59","0","1.1685213699141472"
"STD  ","6503050A","7","5X5           ","36955","18477.5","53887.55","0","108608","0","0","2.02","0","2.015456260305024"
"STRIP","6504079A","17","2X2           ","391927","195963.5","220393.02","74178","44423","0","0.34","0.2","0","0.5381341024321007"
"STD  ","6504342B","6","4X4           ","58303","29151.5","50510.77","16888","25124","0","0.33","0.5","0","0.8317434083859739"
"STD  ","6505620C","6","3X3           ","58573","29286.5","20526.55","0","0","0","0","0","0","0"
"STD  ","6505771B","8","3X3           ","87281","43640.5","51458.41","0","0","0","0","0","0","0"
"STRIP","6506370A","2","2.5X2.5       ","34846","17423","400150.11","0","0","0","0","0","0","0"
"STD  ","6508600B","1","4X4           ","6044","3022","66753.62","0","0","0","0","0","0","0"
"STRIP","6509808B","6","3X2           ","97231","48615.5","129861.82","0","64804","0","0","0.5","0","0.4990227304684317"
"STD  ","6510147A","1","3X3           ","8961","4480.5","70232.71","0","29792","0","0","0.42","0","0.4241898112716994"
"STD  ","6510609E","4","3X3           ","37074","18537","94171.79","7494","57762","0","0.08","0.61","0","0.6929463696081385"
"STD  ","6511094C","1","3X3           ","6870","3435","93149.41","13785","41431","0","0.15","0.44","0","0.5927681130776888"
"STD  ","6512615D","12","3.5X3.5       ","170308","85154","89476.52","0","0","0","0","0","0","0"
"STD  ","6513992A","4","3X3           ","60766","30383","103559.33","0","0","0","0","0","0","0"
"STD  ","6513992B","2","3X3           ","18526","9263","0","0","39226","0","0","0","0","0"
"STD  ","6514558B","27","7X5           ","96767","48383.5","64040.97","0","0","0","0","0","0","0"
"STD  ","6514765A","1","2X2           ","24731","12365.5","337221.82","81476","62488","0","0.24","0.19","0","0.4269118765802284"
"STD  ","6515575A","2","4.5X3.5       ","11783","5891.5","48086.81","13837","31092","0","0.29","0.65","0","0.9343310566868545"
"STD  ","6515577B","13","5.5X3.5       ","73275","36637.5","49064.61","0","0","0","0","0","0","0"
"STD  ","6515889A","2","3X3           ","17472","8736","103199.08","0","0","0","0","0","0","0"
"STRIP","6516231C","10","2X2           ","202751","101375.5","156307.8","0","0","0","0","0","0","0"
"STD  ","6516394A","18","3X3           ","272079","136039.5","75680.74","0","95692","0","0","1.26","0","1.2644168119920602"
