Machine,Time
CLFTEA81,47.6359
CLFTEA68,47.5427
CLFTEA15,47.2511
CLFTEA31,46.5424
CLFTEA72,47.5165
CLFTEA12,47.8175
CLFTEA92,47.8828
CLFTEA54,47.7325
CLFTEA26,47.6088
CLFTEA86,47.9466
CLFTEA11,47.1077
CLFTEA21,0
CLFTEA23,47.7349
CLFTEA39,47.1551
CLFTEA85,47.3325
CLFTEA56,46.0265
CLFTEA59,47.2517
CLFTEA46,46.883
CLFTEA50,47.8829
CLFTEA49,47.3452
CLFTEA70,47.3341
CLFTEA62,46.6588
CLFTEA78,47.3396
CLFTEA94,0
CLFTEA33,46.7134
CLFTEA36,46.8499
CLFTEA22,45.7813
CLFTEA60,47.47
CLFTEA38,46.199
CLFTEA58,46.5523
CLFTEA30,47.1201
CLFTEA41,47.9911
CLFTEA67,47.1732
CLFTEA13,47.9955
CLFTEA71,46.6104
CLFTEA77,47.4946
CLFTEA88,47.981
CLFTEA76,47.607
CLFTEA52,47.489
CLFTEA83,46.4521
CLFTEA84,45.9245
CLFTEA75,47.7278
CLFTEA42,46.941
CLFTEA44,47.554
CLFTEA66,46.5158
CLFTEA14,47.3234
CLFTEA17,44.7075
CLFTEA57,47.9659
CLFTEA64,47.9164
CLFTEA73,46.547
CLFTEA80,47.8272
CLFTEA37,47.7436
CLFTEA45,47.7465
CLFTEA34,47.6757
CLFTEA74,47.8844
CLFTEA25,46.8781
CLFTEA28,0
CLFTEA82,0
CLFTEA51,47.6719
CLFTEA19,45.8811
CLFTEA48,46.2839
CLFTEA65,47.1282
CLFTEA63,45.8979
CLFTEA35,46.5828
CLFTEA16,0
CLFTEA93,0
CLFTEA20,47.2984
CLFTEA18,46.2844
CLFTEA61,46.8087
CLFTEA87,47.3693
CLFTEA47,47.1229
CLFTEA55,0
CLFTEA40,47.7797
CLFTEA53,47.7715
CLFTEA27,46.3931
CLFTEA79,46.198
CLFTEA32,46.359
CLFTEA10,0
CLFTEA69,46.671
CLFTEA1,0
CLFTEA2,47.0395
CLFTEA24,47.3142
CLFTEA29,46.5677
CLFTEA3,46.9541
CLFTEA4,47.0419
CLFTEA43,47.1564
CLFTEA5,47.1462
CLFTEA6,47.3559
CLFTEA7,46.4126
CLFTEA8,0
CLFTEA89,47.1928
CLFTEA9,45.6374
CLFTEA90,47.5327
CLFTEA91,46.7902
CLFTEA95,47.5848
CLFTEA97,47.1855
CLFTEA98,44.8828
CLFTEA99,47.3779
