"pkgtype","tester_req","EDGE_LB","pkg_size","Pin","Package","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
"STRIP","ETM-2-64","6521765A","1.5X1.5       ","DSEST        ","DSEST        ","133651","66825.5","351412.84","0","133651","0","0","0.38","0","0.3803247485208565"
"STD  ","ETS-2-64","6575703A","1.5X1.5       ","DSEST300     ","DSEST300     ","20748","10374","137281.69","0","20748","0","0","0.15","0","0.15113450307903406"
"STRIP","ETS-1-64","6506370A","2.5X2.5       ","DSKST        ","DSKST        ","10009","5004.5","436173.91","0","10009","0","0","0.02","0","0.022947268900150402"
"STRIP","ETS-0-64","6504079A","2X2           ","DRVST        ","DRVST        ","391927","195963.5","220393.02","228896","317473","0","1.04","1.44","0","2.479066714544771"
"STRIP","ETS-0-64","6506370A","2X2           ","DSGST        ","DSGST        ","24837","12418.5","364126.32","0","24837","0","0","0.07","0","0.06820984541848005"
"STD  ","ETS-0-64","6514765A","2X2           ","DRVST300     ","DRVST300     ","24731","12365.5","337221.82","131033","24731","0","0.39","0.07","0","0.4619036810844565"
"STRIP","ETS-2-64","6516231C","2X2           ","DSQST        ","DSQST        ","190333","95166.5","156307.8","49356","182850","0","0.32","1.17","0","1.4855688583679127"
"STRIP","ETS-2M-64","6516231C","2X2           ","DSQST        ","DSQST        ","12418","6209","156307.8","49356","182850","0","0.32","1.17","0","1.4855688583679127"
"STRIP","ETS-2-64","6525230A","2X2           ","DRVST        ","DRVST        ","164230","82115","794548.36","420642","99333","0","0.53","0.13","0","0.6544283849506656"
"STD  ","ETS-2-64","6528944B","2X2           ","RUNST300     ","RUNST300     ","357667","178833.5","196458.87","49994","74497","0","0.25","0.38","0","0.6336746210542695"
"STRIP","ETS-2-64","6566339A","2X2           ","DRVST        ","DRVST        ","192808","96404","339857.72","12402","18531","0","0.04","0.05","0","0.09101749991143353"
"STD  ","ETS-2M-64","6574499A","2X2           ","DRVST300     ","DRVST300     ","12370","6185","359513.04","0","12370","0","0","0.03","0","0.034407653196668476"
"STRIP","ETS-2-64","6576907B","2X2           ","DSGST        ","DSGST        ","23506","11753","200903.74","0","23506","0","0","0.12","0","0.11700130619768453"
"STD  ","ETS-2-64","6577168A","2X2           ","DRVST300     ","DRVST300     ","74184","37092","744601.12","285499","74184","0","0.38","0.1","0","0.48305460512871645"
