"Tester","TesterConfig","PackageSize","Initial_LoadBoard","Optimizer_LoadBoard","N_Lots","SUM_QTY","ChangeOver","SUM_PPH","Hours","PKGTYPE","PIN","CAP_PER_DAY","WIP_POST_WB","WIP_FT1","WIP_FT2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","TOTAL_WIP"
"CLFTEA10","ETS-1M-64","3X3","6514600A                                     ","6523514A","8","96024","1","3669","26.17","STD  ","DRC          ","88046.09","0","273625","0","0","3.11","0","3.11"
"CLFTEA10","ETS-1M-64","3X3","6514600A                                     ","6511094C","6","79920","2","3881","20.59","STD  ","DRB          ","93149.41","0","225762","0","0","2.42","0","2.42"
"CLFTEA11","ETS-2-64","4X4","6525585A                                     ","6525585A","15","128470","0","24568","5.23","STD  ","RGELLF       ","60916.13","0","135440","0","0","2.22","0","2.22"
"CLFTEA12","ETS-2-64","3.5X3.5","6487925B                                     ","6487925B","12","120331","0","19209","6.26","STD  ","RGY          ","62461.8","0","306199","0","0","4.9","0","4.9"
"CLFTEA13","ETS-1M-64","3X3","","6505771B","13","164499","1","16860","9.76","STD  ","DRB          ","31666.72","0","7887","0","0","0.25","0","0.25"
"CLFTEA13","ETS-1M-64","2X2","","6506370A","10","198583","2","11114","17.87","STRIP","DSGST        ","266738.25","0","198583","0","0","0.74","0","0.74"
"CLFTEA14","ETS-2-64","3.5X3.5","6541231B                                     ","6541231B","10","147058","0","3155","46.61","STD  ","RGR300       ","75720.65","0","207426","0","0","2.74","0","2.74"
"CLFTEA15","ETS-S-64","3X3","6510697B                                     ","6529253A","11","97956","1","2163","45.29","STD  ","RTE300       ","51911.9","0","499548","0","0","9.62","0","9.62"
"CLFTEA15","ETS-S-64","7X7","6510697B                                     ","6519267C","2","4190","2","6317","0.66","STD  ","RGZ          ","51826.08","0","101074","0","0","1.95","0","1.95"
"CLFTEA17","ETS-0-64","3X3","6525239A                                     ","6505620C","20","246007","1","9089","27.07","STD  ","DRC          ","6157.96","0","13219","0","0","2.15","0","2.15"
"CLFTEA18","ETS-2-64","5X5","6487839B                                     ","6487839B","10","61233","0","5415","11.31","STD  ","RHB300       ","33102.09","0","111213","0","0","3.36","0","3.36"
"CLFTEA18","ETS-2-64","3X3","6487839B                                     ","6575577B","1","6901","1","6626","1.04","STD  ","RGT          ","98755.88","0","103492","0","0","1.05","0","1.05"
