Machine_Family,Machine_Instance,Machine_Family_Name,Initial_Tool_Family,Initial_Certification
ETS-2-64,CLFTEA50,ETS-2-64,6545456B,1
ETS-2-64,CLFTEA63,ETS-2-64,6555639A,2
ETS-2M-64,CLFTEA85,ETS-2M-64,6529675B,1
ETS-2-64,CLFTEA72,ETS-2-64,6523514A,1
ETS-2-64,CLFTEA88,ETS-2-64,6487839B,1
ETS-2-64,CLFTEA78,ETS-2-64,6578526A,1
ETS-2-64,CLFTEA30,ETS-2-64,6514558B,1
ETS-2-64,CLFTEA31,ETS-2-64,6512615D,1
ETS-2-64,CLFTEA69,ETS-2-64,6525585A,1
ETS-2-64,CLFTEA33,ETS-2-64,6518677A,1
ETS-2-64,CLFTEA19,ETS-2-64,6526546B,2
ETS-2Q-64,CLFTEA56,ETS-2Q-64,6570774A,1
ETM-5-128,CLFTEA54,ETM-5-128,6579768C,1
ETS-2-64,CLFTEA42,ETS-2-64,6512615D,2
ETS-0-64,CLFTEA17,ETS-0-64,6525239A,1
ETM-5-128,CLFTEA53,ETM-5-128,6579768C,1
ETS-2-128,CLFTEA32,ETS-2-128,6566339A,1
ETS-2-64,CLFTEA34,ETS-2-64,6569094B,1
ETM-5-128,CLFTEA52,ETM-5-128,6579768C,1
ETS-2-64,CLFTEA68,ETS-2-64,6525585A,1
ETS-2-64,CLFTEA25,ETS-2-64,6525585A,1
ETS-2-64,CLFTEA38,ETS-2-64,6525585A,1
ETS-2-64,CLFTEA75,ETS-2-64,6543758C,1
ETS-2-64,CLFTEA66,ETS-2-64,6569306A,1
ETS-2-64,CLFTEA76,ETS-2-64,6547181A,1
ETS-1-64,CLFTEA71,ETS-1-64,6487925B,1
ETS-2-64,CLFTEA64,ETS-2-64,6514494A,1
ETS-2-64,CLFTEA36,ETS-2-64,6570774A,1
ETS-2-64,CLFTEA12,ETS-2-64,6487925B,1
ETS-2-64,CLFTEA41,ETS-2-64,6516230D,1
ETS-S-64,CLFTEA15,ETS-S-64,6510697B,1
ETS-2-64,CLFTEA29,ETS-2-64,6541533C,1
ETM-5-128,CLFTEA89,ETM-5-128,6547137A,1
ETS-0-64,CLFTEA22,ETS-0-64,6469014A,1
ETS-2-64,CLFTEA49,ETS-2-64,6570774A,1
ETS-2-64,CLFTEA43,ETS-2-64,6471369E,1
ETS-2-64,CLFTEA47,ETS-2-64,6571495A,1
ETS-2-64,CLFTEA48,ETS-2-64,6569544C,1
ETS-2-64,CLFTEA84,ETS-2-64,6525585A,1
ETS-2-64,CLFTEA27,ETS-2-64,6512302B,1
ETS-2-64,CLFTEA65,ETS-2-64,6522212C,1
ETS-S-64,CLFTEA20,ETS-S-64,6479550B,1
ETS-2-64,CLFTEA74,ETS-2-64,6479550B,1
ETS-2-64,CLFTEA60,ETS-2-64,6554905A,1
ETS-2-64,CLFTEA83,ETS-2-64,6525585A,1
ETS-2-64,CLFTEA61,ETS-2-64,6543758C,1
ETS-2-64,CLFTEA67,ETS-2-64,6516230D,1
ETS-2-64,CLFTEA73,ETS-2-64,6576907B,1
ETS-2-64,CLFTEA23,ETS-2-64,6570740A,1
ETS-2-64,CLFTEA81,ETS-2-64,6547181A,1
ETM-4-64,CLFTEA46,ETM-4-64,6546767B,1
ETS-1M-64,CLFTEA10,ETS-1M-64,6514600A,1
ETS-2-64,CLFTEA11,ETS-2-64,6525585A,1
ETS-1M-64,CLFTEA13,ETS-1M-64,,
ETS-2-64,CLFTEA14,ETS-2-64,6541231B,1
