LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE
5963860,PS53319DQPR-LN,6X5           ,DQPCLIP      ,       674,      4051,5963860     ,4410,1,        16.86,      13.08,     37.31,                   ,11/16/2015 02:06:10,
5954564,PS62745DSSR-LK,3X2           ,DSSST        ,     14584,      4000,5954564     ,4410,1,        15.64,      10.83,     35.78,                   ,11/16/2015 02:06:10,
5945432,PS53624RHAT-BK,6X6           ,RHA          ,      3755,      4000,5945432     ,4410,1,        13.67,      11.54,     38.46,                   ,11/16/2015 02:06:10,
5963741,S51362RVER-LNY,4.5X3.5       ,RVECLIP      ,      7525,      3651,5963741     ,4410,1,        17.03,      13.08,     33.15,                   ,11/16/2015 02:06:10,
8012632,BQ25892RTWR-G2,4X4           ,RTWST300     ,      5031,      3522,8012632     ,4410,1,        26.55,       9.87,     19.12,                   ,11/16/2015 02:06:10,
5970325,S53353DQPR2-CN,6X5           ,DQPCLIP      ,      6028,      3450,5970325     ,4410,1,        17.03,      13.08,     31.14,                   ,11/16/2015 02:06:10,
8056651,D97374Q4M-LNKE,4.5X3.5       ,DPC          ,        77,      3450,8056651     ,4410,1,        14.13,      10.49,     31.45,                   ,11/16/2015 02:06:10,
8016719,BQ25892RTWR-G2,4X4           ,RTWST300     ,      7784,      3412,8016719     ,4410,1,        26.55,       9.87,     18.02,                   ,11/16/2015 02:06:10,
8016733,BQ25892RTWR-G2,4X4           ,RTWST300     ,      5015,      3412,8016733     ,4410,1,        26.55,       9.87,     18.02,                   ,11/16/2015 02:06:10,
5974937,S51367RVER-LNY,4.5X3.5       ,RVECLIP      ,      7836,      3317,5974937     ,4410,1,        17.03,      13.08,     29.81,                   ,11/16/2015 02:06:10,
5924486,PS25810RVCR-G2,4X3           ,RVC300ST     ,     15545,      3308,5924486     ,4410,1,            0,      10.79,     44.45,                   ,11/16/2015 02:06:10,
5924478,PS25810RVCR-G2,4X3           ,RVC300ST     ,     15523,      3308,5924478     ,4410,1,            0,      10.79,     44.45,                   ,11/16/2015 02:06:10,
5924480,PS25810RVCR-G2,4X3           ,RVC300ST     ,     15524,      3308,5924480     ,4410,1,            0,      10.79,     44.45,                   ,11/16/2015 02:06:10,
5924481,PS25810RVCR-G2,4X3           ,RVC300ST     ,     15530,      3308,5924481     ,4410,1,            0,      10.79,     44.45,                   ,11/16/2015 02:06:10,
5924484,PS25810RVCR-G2,4X3           ,RVC300ST     ,     15528,      3308,5924484     ,4410,1,            0,      10.79,     44.45,                   ,11/16/2015 02:06:10,
5977212,Q24314ADSGR-G2,2X2           ,DSGST        ,     23227,      3305,5977212     ,4410,1,        15.32,      10.83,     29.15,                   ,11/16/2015 02:06:10,
5988419,BQ24196RGER-RY,4X4           ,RGELLF       ,      7621,      3290,5988419     ,4410,1,        12.98,       5.54,     26.05,                   ,11/16/2015 02:06:10,
5925375,PS25810RVCR-G2,4X3           ,RVC300ST     ,     15302,      3274,5925375     ,4410,1,            0,      10.79,     44.12,                   ,11/16/2015 02:06:10,
5925382,PS25810RVCR-G2,4X3           ,RVC300ST     ,     11211,      3274,5925382     ,4410,1,            0,      10.79,     44.12,                   ,11/16/2015 02:06:10,
5925376,PS25810RVCR-G2,4X3           ,RVC300ST     ,     15548,      3274,5925376     ,4410,1,            0,      10.79,     44.12,                   ,11/16/2015 02:06:10,
5925378,PS25810RVCR-G2,4X3           ,RVC300ST     ,     15552,      3274,5925378     ,4410,1,            0,      10.79,     44.12,                   ,11/16/2015 02:06:10,
8023099,BQ25892RTWR-G2,4X4           ,RTWST300     ,     10058,      3221,8023099     ,4410,1,        26.55,       9.87,     16.12,                   ,11/16/2015 02:06:10,
8023097,BQ25892RTWR-G2,4X4           ,RTWST300     ,      8866,      3221,8023097     ,4410,1,        26.55,       9.87,     16.12,                   ,11/16/2015 02:06:10,
5969816,PS53124RGER-JK,4X4           ,RGE          ,      6323,      3185,5969816     ,4410,1,        12.86,      11.82,      31.4,                   ,11/16/2015 02:06:10,
5928827,PS25810RVCR-G2,4X3           ,RVC300ST     ,     15528,      3174,5928827     ,4410,1,            0,      10.79,     43.12,                   ,11/16/2015 02:06:10,
5928823,PS25810RVCR-G2,4X3           ,RVC300ST     ,     15547,      3174,5928823     ,4410,1,            0,      10.79,     43.12,                   ,11/16/2015 02:06:10,
5928824,PS25810RVCR-G2,4X3           ,RVC300ST     ,     15513,      3174,5928824     ,4410,1,            0,      10.79,     43.12,                   ,11/16/2015 02:06:10,
5928822,PS25810RVCR-G2,4X3           ,RVC300ST     ,     15546,      3174,5928822     ,4410,1,            0,      10.79,     43.12,                   ,11/16/2015 02:06:10,
5928825,PS25810RVCR-G2,4X3           ,RVC300ST     ,     15539,      3174,5928825     ,4410,1,            0,      10.79,     43.12,                   ,11/16/2015 02:06:10,
5928820,PS25810RVCR-G2,4X3           ,RVC300ST     ,     15542,      3174,5928820     ,4410,1,            0,      10.79,     43.12,                   ,11/16/2015 02:06:10,
5928821,PS25810RVCR-G2,4X3           ,RVC300ST     ,     15541,      3174,5928821     ,4410,1,            0,      10.79,     43.12,                   ,11/16/2015 02:06:10,
5928828,PS25810RVCR-G2,4X3           ,RVC300ST     ,     11149,      3174,5928828     ,4410,1,            0,      10.79,     43.12,                   ,11/16/2015 02:06:10,
5928818,PS25810RVCR-G2,4X3           ,RVC300ST     ,     15546,      3174,5928818     ,4410,1,            0,      10.79,     43.12,                   ,11/16/2015 02:06:10,
5928826,PS25810RVCR-G2,4X3           ,RVC300ST     ,     15548,      3174,5928826     ,4410,1,            0,      10.79,     43.12,                   ,11/16/2015 02:06:10,
8001206,090BRVNR1-G2N#,9X9           ,RVN300       ,      1460,      3128,8001206     ,4410,1,        21.14,      11.73,     22.46,                   ,11/16/2015 02:06:10,
8001207,090BRVNR1-G2N#,9X9           ,RVN300       ,      1452,      3128,8001207     ,4410,1,        21.14,      11.73,     22.46,                   ,11/16/2015 02:06:10,
8001204,090BRVNR1-G2N#,9X9           ,RVN300       ,      1460,      3128,8001204     ,4410,1,        21.14,      11.73,     22.46,                   ,11/16/2015 02:06:10,
8001202,090BRVNR1-G2N#,9X9           ,RVN300       ,      1348,      3128,8001202     ,4410,1,        21.14,      11.73,     22.46,                   ,11/16/2015 02:06:10,
8025312,BQ25892RTWR-G2,4X4           ,RTWST300     ,     10052,      3125,8025312     ,4410,1,        26.55,       9.87,     15.16,                   ,11/16/2015 02:06:10,
8025314,BQ25892RTWR-G2,4X4           ,RTWST300     ,      5034,      3125,8025314     ,4410,1,        26.55,       9.87,     15.16,                   ,11/16/2015 02:06:10,
