Machine_Family,Machine_Instance,Machine_Family_Name,Initial_Tool_Family,Initial_Certification
ETS-2-64,CLFTEA61,ETS-2-64,6512615D,1
ETS-2-64,CLFTEA63,ETS-2-64,6555639A,2
ETS-2-64,CLFTEA64,ETS-2-64,6479550B,1
ETS-2-64,CLFTEA65,ETS-2-64,6569306A,1
ETS-2-64,CLFTEA66,ETS-2-64,6544140B,1
ETS-2-64,CLFTEA67,ETS-2-64,6516394A,1
ETS-2-64,CLFTEA68,ETS-2-64,6525585A,1
ETS-2-64,CLFTEA69,ETS-2-64,6541533C,1
ETS-2-64,CLFTEA70,ETS-2-64,6547349B,1
ETS-2-64,CLFTEA72,ETS-2-64,6547181A,1
ETS-2-64,CLFTEA73,ETS-2-64,6554905A,1
ETS-2-64,CLFTEA74,ETS-2-64,6520958B,1
ETS-2-64,CLFTEA75,ETS-2-64,6544140B,1
ETS-2-64,CLFTEA76,ETS-2-64,6525239A,1
ETS-2-64,CLFTEA77,ETS-2-64,6512615D,1
ETS-2-64,CLFTEA78,ETS-2-64,6560309A,1
ETS-2-64,CLFTEA79,ETS-2-64,6497193A,1
ETS-2-64,CLFTEA81,ETS-2-64,6505771B,1
ETS-2-64,CLFTEA83,ETS-2-64,6525585A,1
ETS-2-64,CLFTEA84,ETS-2-64,6525585A,1
ETS-2-64,CLFTEA86,ETS-2-64,6518552B,1
ETS-2-64,CLFTEA88,ETS-2-64,6518677A,1
ETS-200FT,CLFTEA55,ETS-200FT,,1
ETS-200FT,CLFTEA93,ETS-200FT,,1
ETS-200FT,CLFTEA94,ETS-200FT,,1
ETS-2M-128,CLFTEA62,ETS-2M-128,6570729C,1
ETS-2M-64,CLFTEA14,ETS-2M-64,6566885A,1
ETS-2M-64,CLFTEA18,ETS-2M-64,6517701E,1
ETS-2M-64,CLFTEA35,ETS-2M-64,6529571A,1
ETS-2M-64,CLFTEA45,ETS-2M-64,6529675B,1
ETS-2M-64,CLFTEA80,ETS-2M-64,6513476C,1
ETS-2M-64,CLFTEA85,ETS-2M-64,6568858D,1
ETS-2Q-64,CLFTEA56,ETS-2Q-64,6543758C,1
ETS-INA-64,CLFTEA01,ETS-INA-64,6471907A,2
ETS-INA-64,CLFTEA08,ETS-INA-64,,1
ETS-INA-64,CLFTEA21,ETS-INA-64,6487839B,1
ETS-INA-64,CLFTEA28,ETS-INA-64,6487925B,1
ETS-INA-64,CLFTEA82,ETS-INA-64,6487925B,1
ETS-INAM-64,CLFTEA10,ETS-INAM-64,6517950B,3
ETS-INAM-64,CLFTEA16,ETS-INAM-64,6529253A,1
ETS-S-64,CLFTEA15,ETS-S-64,6556725A,1
ETS-S-64,CLFTEA20,ETS-S-64,6568858D,1
ETS364-NONSTD,CLFTEA37,ETS364-NONSTD,6506370A,1
