Machine_Instance,Machine_Family_Name,Lot_Name,Quantity,Lot_Weight,Device_Name,Tooling_Family_Name,Certification
CLFTEA17,ETS-0-64,5976125,8405,1073,PS63000DRCR-LY,6469014A,1
CLFTEA17,ETS-0-64,5976122,16913,1073,PS63000DRCR-LY,6469014A,1
CLFTEA17,ETS-0-64,5976128,8461,1073,PS63000DRCR-LY,6469014A,1
CLFTEA17,ETS-0-64,5976123,16817,1073,PS63000DRCR-LY,6469014A,1
CLFTEA17,ETS-0-64,5976127,16577,1073,PS63000DRCR-LY,6469014A,1
CLFTEA17,ETS-0-64,5976124,10962,1073,PS63000DRCR-LY,6469014A,1
CLFTEA17,ETS-0-64,5976121,16917,1073,PS63000DRCR-LY,6469014A,1
CLFTEA17,ETS-0-64,5976126,16652,1073,PS63000DRCR-LY,6469014A,1
CLFTEA17,ETS-0-64,5983801,16801,861,PS63000DRCR-LY,6469014A,1
CLFTEA17,ETS-0-64,5983803,16836,861,PS63000DRCR-LY,6469014A,1
CLFTEA18,ETS-2-64,5981589,6853,1155,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5983466,11495,1062,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5984531,13816,1029,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5984529,13815,1029,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5984527,13809,1029,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5984533,13807,1029,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5984530,13817,1029,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5984528,13820,1029,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5984535,6911,1029,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5984532,13817,1029,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5989687,13818,896,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5989683,13814,896,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5989685,13819,896,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5989689,7190,896,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5989682,13816,896,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5989688,13749,896,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5989686,13815,896,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5989684,13812,896,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5990384,13805,868,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5990389,7138,868,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5990388,13741,868,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5990383,13814,868,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5997526,6888,667,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5997525,9365,667,53819ARGTR1-LK,6542741A,1
CLFTEA18,ETS-2-64,5957068,11382,1906,PS53819RGTR-RK,6542741A,1
CLFTEA19,ETS-2-64,5925308,13461,2563,53219ARGTR-G2K,6518552B,1
CLFTEA19,ETS-2-64,5960389,13661,1540,53219ARGTR-G2K,6518552B,1
CLFTEA19,ETS-2-64,5960398,13799,1540,53219ARGTR-G2K,6518552B,1
CLFTEA19,ETS-2-64,5960399,7734,1540,53219ARGTR-G2K,6518552B,1
CLFTEA19,ETS-2-64,5960388,13739,1540,53219ARGTR-G2K,6518552B,1
CLFTEA19,ETS-2-64,5960397,13797,1540,53219ARGTR-G2K,6518552B,1
CLFTEA19,ETS-2-64,5960390,13821,1540,53219ARGTR-G2K,6518552B,1
CLFTEA19,ETS-2-64,5960392,13807,1540,53219ARGTR-G2K,6518552B,1
CLFTEA19,ETS-2-64,5960393,13800,1540,53219ARGTR-G2K,6518552B,1
CLFTEA19,ETS-2-64,5960395,13798,1540,53219ARGTR-G2K,6518552B,1
CLFTEA19,ETS-2-64,5960394,13775,1540,53219ARGTR-G2K,6518552B,1
CLFTEA19,ETS-2-64,5960391,13790,1540,53219ARGTR-G2K,6518552B,1
CLFTEA19,ETS-2-64,5960396,13730,1540,53219ARGTR-G2K,6518552B,1
CLFTEA19,ETS-2-64,5988127,13791,1140,53219ARGTR-G2K,6518552B,1
CLFTEA19,ETS-2-64,5984773,13813,830,53219ARGTR-G2K,6518552B,1
CLFTEA19,ETS-2-64,5984771,13784,830,53219ARGTR-G2K,6518552B,1
CLFTEA19,ETS-2-64,5984775,12583,830,53219ARGTR-G2K,6518552B,1
CLFTEA19,ETS-2-64,5984772,13765,830,53219ARGTR-G2K,6518552B,1
CLFTEA2,ETS-1-64,5964975,13817,1402,TPS73701DRBR-B,6489159B,1
CLFTEA2,ETS-1-64,5964976,13796,1402,TPS73701DRBR-B,6489159B,1
CLFTEA2,ETS-1-64,5964978,13815,1402,TPS73701DRBR-B,6489159B,1
CLFTEA2,ETS-1-64,5964979,13610,1402,TPS73701DRBR-B,6489159B,1
CLFTEA2,ETS-1-64,5964977,13764,1402,TPS73701DRBR-B,6489159B,1
CLFTEA2,ETS-1-64,5964974,13819,1402,TPS73701DRBR-B,6489159B,1
CLFTEA2,ETS-1-64,5983454,13441,869,TPS73701DRBR-B,6489159B,1
CLFTEA2,ETS-1-64,5983451,13762,869,TPS73701DRBR-B,6489159B,1
CLFTEA2,ETS-1-64,5983452,13802,869,TPS73701DRBR-B,6489159B,1
CLFTEA2,ETS-1-64,5983450,13772,869,TPS73701DRBR-B,6489159B,1
CLFTEA2,ETS-1-64,5983455,13814,869,TPS73701DRBR-B,6489159B,1
CLFTEA2,ETS-1-64,5983456,13440,869,TPS73701DRBR-B,6489159B,1
CLFTEA2,ETS-1-64,5983457,6906,869,TPS73701DRBR-B,6489159B,1
CLFTEA2,ETS-1-64,5983453,13784,869,TPS73701DRBR-B,6489159B,1
CLFTEA2,ETS-1-64,5985647,9177,808,TPS73701DRBR-B,6489159B,1
CLFTEA22,ETS-0-64,5930223,4985,2420,A2012D2RTJR-RK,6461377C,1
CLFTEA22,ETS-0-64,5930222,5350,2420,A2012D2RTJR-RK,6461377C,1
CLFTEA22,ETS-0-64,5966465,10072,1366,A2012D2RTJR-RK,6461377C,1
CLFTEA22,ETS-0-64,5966467,10050,1366,A2012D2RTJR-RK,6461377C,1
CLFTEA22,ETS-0-64,5966468,5594,1366,A2012D2RTJR-RK,6461377C,1
CLFTEA23,ETS-2-64,5970710,13752,1238,A8001DRBR2-G2K,6512302B,1
CLFTEA23,ETS-2-64,5973995,13813,1146,A8001DRBR2-G2K,6512302B,1
CLFTEA23,ETS-2-64,5973998,12481,1146,A8001DRBR2-G2K,6512302B,1
CLFTEA23,ETS-2-64,5973999,13802,1146,A8001DRBR2-G2K,6512302B,1
CLFTEA23,ETS-2-64,5981557,13807,921,A8001DRBR2-G2K,6512302B,1
CLFTEA23,ETS-2-64,5981554,13770,921,A8001DRBR2-G2K,6512302B,1
CLFTEA23,ETS-2-64,5981555,13801,921,A8001DRBR2-G2K,6512302B,1
CLFTEA23,ETS-2-64,5981559,13613,921,A8001DRBR2-G2K,6512302B,1
CLFTEA23,ETS-2-64,5984784,12648,830,A8001DRBR2-G2K,6512302B,1
CLFTEA23,ETS-2-64,5984781,13810,830,A8001DRBR2-G2K,6512302B,1
CLFTEA23,ETS-2-64,5984777,13803,830,A8001DRBR2-G2K,6512302B,1
CLFTEA23,ETS-2-64,5972954,9748,1178,S7A8101DRBR-G2,6512302B,1
CLFTEA24,ETS-2-64,5977501,6902,1040,259230DRCR-G2K,6547181A,1
CLFTEA24,ETS-2-64,5977504,6903,1040,259231DRCR-G2K,6547181A,1
CLFTEA24,ETS-2-64,5977508,6877,1040,259240DRCR-G2K,6547181A,1
CLFTEA24,ETS-2-64,5977507,11764,1040,259240DRCR-G2K,6547181A,1
CLFTEA24,ETS-2-64,5977538,11774,1040,259251DRCR-G2K,6547181A,1
CLFTEA24,ETS-2-64,5977545,6887,1040,259260DRCR-G2K,6547181A,1
CLFTEA24,ETS-2-64,5977548,6902,1040,259261DRCR-G2K,6547181A,1
CLFTEA24,ETS-2-64,5960381,13452,1540,2592BLDRCR-G2K,6547181A,1
CLFTEA24,ETS-2-64,5988755,77,6289,2592ZADRCR-G2K,6547181A,1
