"pkgtype","EDGE_LB","num_lots","pkg_size","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
"STRIP","6525230A","5","2X2","96758","48379","756144.19","182654","99156","0","0.24","0.13","0","0.37269346736632336"
"STD","6525239A","5","3X3","48890","24445","21582.01","0","0","0","0","0","0","0"
"STD","6525585A","41","4X4","357872","178936","62157.68","55790","31894","0","0.9","0.51","0","1.4106704111221655"
"STD","6526489A","1","4X4","9409","4704.5","54680.03","0","0","0","0","0","0","0"
"STD","6526570D","1","6X6","4454","2227","30863.65","0","4454","0","0","0.14","0","0.14431216009772013"
"STD","6526878A","3","4X4","22299","11149.5","82989.03","0","0","0","0","0","0","0"
"CLIP","6528917B","2","7X5","7154","3577","16624.76","7154","0","0","0.43","0","0","0.430322001640926"
"CLIP","6528917C","1","7X5","1459","729.5","20621.08","0","0","0","0","0","0","0"
"STD","6528944B","31","2X2","693278","346639","197858.21","62980","477360","0","0.32","2.41","0","2.73094555944886"
"STD","6528989B","2","5X5","11397","5698.5","57012.16","0","19021","0","0","0.33","0","0.33363057986226097"
"STRIP","6530035A","5","3X3","69067","34533.5","208380.42","52506","66313","0","0.25","0.32","0","0.5702023251512786"
"STD","6541231B","10","3.5X3.5","150267","75133.5","75720.65","15097","15050","0","0.2","0.2","0","0.3981344586978585"
"STD","6541533C","29","4X4","236241","118120.5","50321.91","20125","0","0","0.4","0","0","0.3999252015672696"
"STD","6541602C","1","4X4","10072","5036","79938.78","0","0","0","0","0","0","0"
"STD","6541669B","5","3X3","52157","26078.5","50890.77","0","0","0","0","0","0","0"
"STRIP","6542741A","1","3X3","13767","6883.5","107404.51","0","82856","0","0","0.77","0","0.7714387412595617"
"STD","6542777B","2","6X6","5159","2579.5","25121.08","0","0","0","0","0","0","0"
"STD","6542852A","2","3X3","24882","12441","94171.79","0","24912","0","0","0.26","0","0.26453781965915696"
"CLIP","6543758C","36","4.5X3.5","272362","136181","69843.66","43259","314738","0","0.62","4.51","0","5.125690721247999"
"STD","6544140B","8","4.5X3.5","15197","7598.5","0","0","3657","0","0","0","0","0"
"STD","6544455A","6","3X3","67364","33682","93324.66","0","0","0","0","0","0","0"
"STRIP","6545098B","3","3X2","34399","17199.5","600628.97","0","0","0","0","0","0","0"
"STD","6545193C","7","7X7","25619","12809.5","35270.19","0","4439","0","0","0.13","0","0.12585699141399578"
"STD","6545253A","6","3.5X3.5","76748","38374","59869.35","0","0","0","0","0","0","0"
"CLIP","6545456B","15","4.5X3.5","91231","45615.5","86305.08","7086","0","0","0.08","0","0","0.08210408935372054"
"STRIP","6546767B","23","4X4","193359","96679.5","182400","280201","126924","0","1.54","0.7","0","2.232044956140351"
"STD","6547181A","9","3X3","101436","50718","54159.7","13824","0","0","0.26","0","0","0.255245136143664"
"STD","6548880A","6","3X4","91777","45888.5","134288.33","0","16127","0","0","0.12","0","0.12009234160555873"
"STRIP","6552808A","35","3X2","564307","282153.5","166192.45","45492","17225","0","0.27","0.1","0","0.37737574721354666"
"STD","6553054A","3","3X3","32452","16226","0","39339","71490","0","0","0","0","0"
"STD","6553444B","9","3X3","104199","52099.5","100387.24","0","0","0","0","0","0","0"
"STD","6553821A","1","5.5X3.5","3228","1614","0","0","0","0","0","0","0","0"
"STD","6554905A","12","3X3","142227","71113.5","198431.53","18862","0","0","0.1","0","0","0.09505545817239831"
"STD","6555466B","1","6X6","2292","1146","34473.6","0","2292","0","0","0.07","0","0.06648565859092175"
"STD","6555613B","5","3X3","58112","29056","203416.22","41452","522593","0","0.2","2.57","0","2.772861475844945"
"STD","6555639A","1","5.5X3.5","5071","2535.5","42013.53","0","0","0","0","0","0","0"
"STRIP","6556617A","15","3X2.5","183070","91535","187909.76","0","309450","0","0","1.65","0","1.6468011028272294"
"STD","6556725A","5","4X4","45520","22760","32052.94","0","0","0","0","0","0","0"
