"tester_index","tester_config","loadboard_type","setup_change","Package","apu_tester","package_type","pin","package_size","Lot_Name","quantity","Lot_Weight","device_name","Setup_Time","Completion_Time","capacity"
"11","ETS-2-64","6487839B","","5X5","11","STD","RTV","5X5","5854150","3955","12.17","51980ARTVR-G2K","09/18/2015 02:30:41","09/18/2015 05:41:31","31636.1325"
"11","ETS-2-64","6487839B","","5X5","11","STD","RTV","5X5","5845768","3955","977","51980ARTVR-G2K","09/18/2015 02:30:41","09/18/2015 08:42:33","31636.1325"
"11","ETS-2-64","6487839B","","5X5","11","STD","RTV","5X5","5845767","6943","977","51980ARTVR-G2K","09/18/2015 02:30:41","09/18/2015 13:59:37","31636.1325"
"11","ETS-2-64","6487839B","","5X5","11","STD","RTV","5X5","5845764","7905","977","51980ARTVR-G2K","09/18/2015 02:30:41","09/18/2015 20:00:29","31636.1325"
"11","ETS-2-64","6487839B","","5X5","11","STD","RTV","5X5","5849317","7888","873","51980ARTVR-G2K","09/18/2015 02:30:41","09/19/2015 02:00:34","31636.1325"
"11","ETS-2-64","6487839B","","5X5","11","STD","RTV","5X5","5849321","7904","873","51980ARTVR-G2K","09/18/2015 02:30:41","09/19/2015 08:01:23","31636.1325"
"11","ETS-2-64","6487839B","","5X5","11","STD","RTV","5X5","5851346","7867","814","51980ARTVR-G2K","09/18/2015 02:30:41","09/19/2015 14:00:30","31636.1325"
"11","ETS-2-64","6487839B","","5X5","11","STD","RTV","5X5","5851351","7907","814","51980ARTVR-G2K","09/18/2015 02:30:41","09/19/2015 20:01:27","31636.1325"
"11","ETS-2-64","6487839B","","5X5","11","STD","RTV","5X5","5843414","6539","955","S51220ARTVR-LK","09/18/2015 02:30:41","09/20/2015 00:59:54","31647.8951"
"12","ETS-S-64","6504342B","","4X4","12","STD","RGE300","4X4","5842029","10051","992","Q24610RGER-G2K","09/18/2015 02:30:41","09/18/2015 07:04:55","52963.5556"
"12","ETS-S-64","6504342B","","4X4","12","STD","RGE300","4X4","5842031","5017","992","Q24610RGER-G2K","09/18/2015 02:30:41","09/18/2015 09:22:19","52963.5556"
"12","ETS-S-64","6504342B","","4X4","12","STD","RGE300","4X4","5842027","10025","992","Q24610RGER-G2K","09/18/2015 02:30:41","09/18/2015 13:55:51","52963.5556"
"12","ETS-S-64","6504342B","","4X4","12","STD","RGE300","4X4","5842028","10026","992","Q24610RGER-G2K","09/18/2015 02:30:41","09/18/2015 18:29:25","52963.5556"
"12","ETS-S-64","6504342B","","4X4","12","STD","RGE300","4X4","5842030","8230","992","Q24610RGER-G2K","09/18/2015 02:30:41","09/18/2015 22:14:09","52963.5556"
"12","ETS-S-64","6504342B","","4X4","12","STD","RGE300","4X4","5849257","5032","12.28","Q24617RGER-G2K","09/18/2015 02:30:41","09/19/2015 02:16:41","50510.7692"
"12","ETS-S-64","6504342B","","4X4","12","STD","RGE300","4X4","5821236","5039","1628","Q24617RGER-G2K","09/18/2015 02:30:41","09/19/2015 04:41:18","50510.7692"
"12","ETS-S-64","6504342B","","4X4","12","STD","RGE300","4X4","5829770","10075","1378","Q24617RGER-G2K","09/18/2015 02:30:41","09/19/2015 09:29:29","50510.7692"
"12","ETS-S-64","6504342B","","4X4","12","STD","RGE300","4X4","5829772","5023","1378","Q24617RGER-G2K","09/18/2015 02:30:41","09/19/2015 11:53:39","50510.7692"
"12","ETS-S-64","6504342B","","4X4","12","STD","RGE300","4X4","5849255","10073","785","Q24617RGER-G2K","09/18/2015 02:30:41","09/19/2015 16:41:46","50510.7692"
"12","ETS-S-64","6504342B","","4X4","12","STD","RGE300","4X4","5849252","10042","785","Q24617RGER-G2K","09/18/2015 02:30:41","09/19/2015 21:28:59","50510.7692"
"12","ETS-S-64","6526489A","setup change","4X4","12","STD","DPR","4X4","5849737","9409","1172","CC27201ADPRR-J","09/19/2015 21:28:59","09/20/2015 01:42:47","54680.0292"
"13","ETS-1-64","6553821A","setup change","5.5X3.5","13","STD","RHLMCM","5.5X3.5","5796294","3228","30.86","122QRHLRQ1-BS2","09/19/2015 23:06:41","09/20/2015 01:47:36",""
"13","ETS-1-64","6571778A","","3.5X3.5","13","STRIP","RGR300ST","3.5X3.5","5803064","7540","2350","7A8300RGRR-G2K","09/18/2015 02:30:41","09/18/2015 04:41:25","83689.4118"
"13","ETS-1-64","6571778A","","3.5X3.5","13","STRIP","RGR300ST","3.5X3.5","5812745","15101","2061","7A8300RGRR-G2K","09/18/2015 02:30:41","09/18/2015 09:02:15","83689.4118"
"13","ETS-1-64","6571778A","","3.5X3.5","13","STRIP","RGR300ST","3.5X3.5","5818224","15106","1892","7A8300RGRR-G2K","09/18/2015 02:30:41","09/18/2015 13:23:10","83689.4118"
"13","ETS-1-64","6571778A","","3.5X3.5","13","STRIP","RGR300ST","3.5X3.5","5818227","15058","1892","7A8300RGRR-G2K","09/18/2015 02:30:41","09/18/2015 17:43:16","83689.4118"
"13","ETS-1-64","6571778A","","3.5X3.5","13","STRIP","RGR300ST","3.5X3.5","5818228","15099","1892","7A8300RGRR-G2K","09/18/2015 02:30:41","09/18/2015 22:04:04","83689.4118"
"13","ETS-1-64","6571778A","","3.5X3.5","13","STRIP","RGR300ST","3.5X3.5","5818229","15098","1892","7A8300RGRR-G2K","09/18/2015 02:30:41","09/19/2015 02:24:51","83689.4118"
"13","ETS-1-64","6571778A","","3.5X3.5","13","STRIP","RGR300ST","3.5X3.5","5818230","14699","1892","7A8300RGRR-G2K","09/18/2015 02:30:41","09/19/2015 06:38:46","83689.4118"
"13","ETS-1-64","6571778A","","3.5X3.5","13","STRIP","RGR300ST","3.5X3.5","5818231","8155","1892","7A8300RGRR-G2K","09/18/2015 02:30:41","09/19/2015 09:00:05","83689.4118"
"13","ETS-1-64","6571778A","","3.5X3.5","13","STRIP","RGR300ST","3.5X3.5","5822166","14329","1781","7A8300RGRR-G2K","09/18/2015 02:30:41","09/19/2015 13:07:38","83689.4118"
"13","ETS-1-64","6571778A","","3.5X3.5","13","STRIP","RGR300ST","3.5X3.5","5822170","15110","1781","7A8300RGRR-G2K","09/18/2015 02:30:41","09/19/2015 17:28:37","83689.4118"
