"pkgtype","tester_req","EDGE_LB","pkg_size","Device_Name","Package","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_queue_1_tester"
"STRIP","ETM-5-128","6521765A","1.5X1.5","TPS71745DSER-L","DSEST","133651","66825.5","351412.84","0","133651","0","0","0.38","0","0.3803247485208565"
"STD","ETS-2-64","6575703A","1.5X1.5","BQ29700DSER-G2","DSEST300","20748","10374","137281.69","0","20748","0","0","0.15","0","0.15113450307903406"
"STRIP","ETS-0-64","6506370A","2.5X2.5","PS61093DSKR-CK","DSKST","10009","5004.5","436173.91","0","10009","0","0","0.02","0","0.022947268900150402"
"STD","ETS-0-64","6506370A","2.5X2.5","S61093DSKR-G2K","DSKST300","30092","15046","436173.91","537125","30092","0","1.23","0.07","0","1.3004377084360685"
"STD","ETS-0-64","6506370A","2.5X2.5","S61093DSKT-G2K","DSKST300","24325","12162.5","436173.91","34353","0","0","0.08","0","0","0.07875986897061313"
"STRIP","ETS-0-64","6504079A","2X2","PS61161DRVR-LK","DRVST","49388","24694","219277.24","491695","49388","0","2.24","0.23","0","2.4675748381364158"
"STRIP","ETS-2-64","6506370A","2X2","S62067DSGR1-G2","DSGST","24837","12418.5","364126.32","0","24837","0","0","0.07","0","0.06820984541848005"
"STD","ETS-2-64","6514765A","2X2","S60151DRVR-G2K","DRVST300","24731","12365.5","337221.82","0","24731","0","0","0.07","0","0.07333748450797163"
"STD","ETM-4-64","6524788B","2X2","94522DRVR1-G2K","DRVST300","88373","44186.5","185472","13960","74413","0","0.08","0.4","0","0.4764762336093858"
"STRIP","ETM-2-64","6525230A","2X2","TPS2553DRVR-L","DRVST","96758","48379","756144.19","30216","66542","0","0.04","0.09","0","0.12796236654281506"
"STD","ETS-2-128","6528944B","2X2","603V1RUNR-G2N#","RUNST300","310823","155411.5","197858.21","472642","680208","0","2.39","3.44","0","5.82664727432842"
"STD","ETS-2-64","6528944B","2X2","603V1RUNR-G2N#","RUNST300","382455","191227.5","197858.21","472642","680208","0","2.39","3.44","0","5.82664727432842"
"STRIP","ETS-4M-128","6570316D","2X2","NA300AIDSQR-CK","DSQST","36921","18460.5","112889.4","0","36921","0","0","0.33","0","0.3270546216030912"
"STD","ETS-2-64","6574499A","2X2","S61291DRVR-G2K","DRVST300","12370","6185","359513.04","0","12370","0","0","0.03","0","0.034407653196668476"
"STRIP","ETS-2-64","6576907B","2X2","BQ24311DSGR-G2","DSGST","23506","11753","200903.74","0","23506","0","0","0.12","0","0.11700130619768453"
"STD","ETS-2-64","6570242A","3.3X3.3","D95379Q3M-LNKY","DNSCLPVTT","37992","18996","69380.83","298951","4693","0","4.31","0.07","0","4.3764826681952345"
"STD","ETS-2-64","6487925B","3.5X3.5","PS54821RHLR2-R","RHL","576570","288285","61549.98","412540","606762","0","6.7","9.86","0","16.560557777597978"
"STD","ETS-2M-64","6487925B","3.5X3.5","PS54622ARHLR-L","RHL","23007","11503.5","55732.88","14227","38060","0","0.26","0.68","0","0.9381715066581882"
"STD","ETS-2M-64","6487925B","3.5X3.5","PS54821RHLR2-R","RHL","45301","22650.5","61549.98","412540","606762","0","6.7","9.86","0","16.560557777597978"
"STD","ETS-2M-64","6487925B","3.5X3.5","S54620RGYR1-G2","RGY300","30687","15343.5","69929.46","185414","30687","0","2.65","0.44","0","3.0902712533458714"
"STRIP","ETS-S-64","6487925B","3.5X3.5","4622RHLR1-LQR#","RHLST","15108","7554","55732.88","0","15108","0","0","0.27","0","0.2710787599707749"
"STD","ETS-S-64","6487925B","3.5X3.5","N1109048RHLR-L","RHL","30146","15073","70186.31","36196","30146","0","0.52","0.43","0","0.9452270677857263"
"STD","ETS-S-64","6487925B","3.5X3.5","PS54622ARHLR-L","RHL","22606","11303","55732.88","14227","38060","0","0.26","0.68","0","0.9381715066581882"
"STD","ETS-S-64","6487925B","3.5X3.5","S54620RGYR1-G2","RGY300","7483","3741.5","69929.46","185414","30687","0","2.65","0.44","0","3.0902712533458714"
"STD","ETS-S-64","6487925B","3.5X3.5","TPS54622RHLR-L","RHL","26823","13411.5","55732.88","7553","26823","0","0.14","0.48","0","0.6167992754008047"
"STD","ETS-2-64","6507169A","3.5X3.5","BQ24640RVAT-LK","RVA","6292","3146","52646.91","0","6292","0","0","0.12","0","0.11951318700375767"
"STD","ETS-2-64","6512615D","3.5X3.5","24725ARGRR-G2K","RGR300","7345","3672.5","90560.3","7345","0","0","0.08","0","0","0.08110618008111722"
"STD","ETS-2-64","6512615D","3.5X3.5","24735RGRR1-G2K","RGR300","10884","5442","87959.22","0","10884","0","0","0.12","0","0.12373916003347915"
"STD","ETS-2-64","6512615D","3.5X3.5","Q24725ARGRR-LK","RGR","30198","15099","90560.3","109461","30198","0","1.21","0.33","0","1.5421658276308714"
"STD","ETS-2M-64","6541231B","3.5X3.5","Q24736RGRR-G2K","RGR300","150267","75133.5","75720.65","100536","150267","0","1.33","1.98","0","3.3122140393670687"
"STD","ETS-2-64","6545253A","3.5X3.5","SN2833RGRR-G2K","RGR300","76748","38374","59869.35","0","76748","0","0","1.28","0","1.2819247244207597"
"STD","ETM-4-64","6566885A","3.5X3.5","S62736RGYR-G2K","RGY300","24226","12113","58485.72","16691","7535","0","0.29","0.13","0","0.4142207704718348"
"STRIP","ETS-1-64","6571778A","3.5X3.5","7A8300RGRR-G2K","RGR300ST","154826","77413","83689.41","8123","278043","0","0.1","3.32","0","3.41938125743747"
"STRIP","ETS-2-128","6571778A","3.5X3.5","7A8300RGRR-G2K","RGR300ST","131340","65670","83689.41","8123","278043","0","0.1","3.32","0","3.41938125743747"
"STRIP","ETS-2-64","6509808B","3X2","BQ25040DQCR-G2","DQCST","97231","48615.5","129861.82","0","97231","0","0","0.75","0","0.7487266080207408"
