Machine,Time
CLFTEA21,0
CLFTEA29,46.6907
CLFTEA79,47.9088
CLFTEA33,46.6354
CLFTEA48,45.8618
CLFTEA37,20.6319
CLFTEA54,47.0249
CLFTEA68,46.7807
CLFTEA15,21.9759
CLFTEA31,46.0528
CLFTEA45,47.4251
CLFTEA26,46.1509
CLFTEA88,47.3077
CLFTEA61,47.273
CLFTEA39,47.7942
CLFTEA72,46.9088
CLFTEA41,47.2426
CLFTEA92,47.9655
CLFTEA36,38.4054
CLFTEA85,47.705
CLFTEA73,47.4131
CLFTEA86,47.243
CLFTEA23,46.9391
CLFTEA59,45.8548
CLFTEA50,46.1467
CLFTEA56,46.537
CLFTEA66,46.9801
CLFTEA47,47.1448
CLFTEA78,46.5803
CLFTEA67,45.6288
CLFTEA94,0
CLFTEA82,0
CLFTEA22,47.9828
CLFTEA34,47.1534
CLFTEA46,46.8773
CLFTEA58,46.7893
CLFTEA17,45.8493
CLFTEA13,47.2821
CLFTEA40,46.7109
CLFTEA87,47.5341
CLFTEA83,46.1445
CLFTEA75,47.033
CLFTEA18,46.4376
CLFTEA53,47.7203
CLFTEA35,45.9474
CLFTEA84,47.4405
CLFTEA42,46.702
CLFTEA74,45.2452
CLFTEA49,47.9049
CLFTEA93,0
CLFTEA64,45.5663
CLFTEA71,46.2288
CLFTEA14,47.5995
CLFTEA28,0
CLFTEA38,45.4387
CLFTEA63,47.6138
CLFTEA60,47.4489
CLFTEA30,47.3604
CLFTEA25,46.3993
CLFTEA11,46.4872
CLFTEA12,47.2019
CLFTEA65,42.7088
CLFTEA52,47.6634
CLFTEA51,47.414
CLFTEA16,0
CLFTEA80,47.2459
CLFTEA19,47.0124
CLFTEA27,47.8425
CLFTEA76,45.1979
CLFTEA55,0
CLFTEA10,0
CLFTEA69,47.5283
CLFTEA44,46.0323
CLFTEA20,30.2444
CLFTEA1,0
CLFTEA2,47.5384
CLFTEA24,47.2551
CLFTEA3,47.5782
CLFTEA32,46.9227
CLFTEA4,47.996
CLFTEA43,47.842
CLFTEA5,44.9373
CLFTEA57,47.3875
CLFTEA6,47.9818
CLFTEA62,47.6251
CLFTEA7,47.6396
CLFTEA70,47.8446
CLFTEA77,47.3848
CLFTEA8,0
CLFTEA81,47.0134
CLFTEA89,47.44
CLFTEA9,46.4878
CLFTEA90,46.0834
CLFTEA91,46.4699
CLFTEA95,47.0842
CLFTEA97,45.9048
CLFTEA98,45.6111
CLFTEA99,45.9766
