tester_index, tester_config,loadboard_type, setup_change,Package,apu_tester,package_type,package_size,device_name,Completion_Time
"11","ETS-2-64","6487839B","","5X5","11","STD","5X5","51980ARTVR-G2K","09/18/2015 05:41:31"
"11","ETS-2-64","6487839B","","5X5","11","STD","5X5","51980ARTVR-G2K","09/18/2015 08:42:33"
"11","ETS-2-64","6487839B","","5X5","11","STD","5X5","51980ARTVR-G2K","09/18/2015 13:59:37"
"11","ETS-2-64","6487839B","","5X5","11","STD","5X5","51980ARTVR-G2K","09/18/2015 20:00:29"
"11","ETS-2-64","6487839B","","5X5","11","STD","5X5","51980ARTVR-G2K","09/19/2015 02:00:34"
"11","ETS-2-64","6487839B","","5X5","11","STD","5X5","51980ARTVR-G2K","09/19/2015 08:01:23"
"11","ETS-2-64","6487839B","","5X5","11","STD","5X5","51980ARTVR-G2K","09/19/2015 14:00:30"
"11","ETS-2-64","6487839B","","5X5","11","STD","5X5","51980ARTVR-G2K","09/19/2015 20:01:27"
"11","ETS-2-64","6487839B","","5X5","11","STD","5X5","S51220ARTVR-LK","09/20/2015 00:59:54"
"12","ETS-S-64","6504342B","","4X4","12","STD","4X4","Q24610RGER-G2K","09/18/2015 07:04:55"
"12","ETS-S-64","6504342B","","4X4","12","STD","4X4","Q24610RGER-G2K","09/18/2015 09:22:19"
"12","ETS-S-64","6504342B","","4X4","12","STD","4X4","Q24610RGER-G2K","09/18/2015 13:55:51"
"12","ETS-S-64","6504342B","","4X4","12","STD","4X4","Q24610RGER-G2K","09/18/2015 18:29:25"
"12","ETS-S-64","6504342B","","4X4","12","STD","4X4","Q24610RGER-G2K","09/18/2015 22:14:09"
"12","ETS-S-64","6504342B","","4X4","12","STD","4X4","Q24617RGER-G2K","09/19/2015 02:16:41"
"12","ETS-S-64","6504342B","","4X4","12","STD","4X4","Q24617RGER-G2K","09/19/2015 04:41:18"
"12","ETS-S-64","6504342B","","4X4","12","STD","4X4","Q24617RGER-G2K","09/19/2015 09:29:29"
"12","ETS-S-64","6504342B","","4X4","12","STD","4X4","Q24617RGER-G2K","09/19/2015 11:53:39"
"12","ETS-S-64","6504342B","","4X4","12","STD","4X4","Q24617RGER-G2K","09/19/2015 16:41:46"
"12","ETS-S-64","6504342B","","4X4","12","STD","4X4","Q24617RGER-G2K","09/19/2015 21:28:59"
"12","ETS-S-64","6526489A","setup change","4X4","12","STD","4X4","CC27201ADPRR-J","09/20/2015 01:42:47"
"13","ETS-1-64","6571778A","","3.5X3.5","13","STRIP","3.5X3.5","7A8300RGRR-G2K","09/18/2015 04:41:25"
"13","ETS-1-64","6571778A","","3.5X3.5","13","STRIP","3.5X3.5","7A8300RGRR-G2K","09/18/2015 09:02:15"
"13","ETS-1-64","6571778A","","3.5X3.5","13","STRIP","3.5X3.5","7A8300RGRR-G2K","09/18/2015 13:23:10"
"13","ETS-1-64","6571778A","","3.5X3.5","13","STRIP","3.5X3.5","7A8300RGRR-G2K","09/18/2015 17:43:16"
