"pkgtype","tester_req","EDGE_LB","pkg_size","Pin","Package","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
"STRIP","ETM-5-128","6521765A","1.5X1.5","DSEST","DSEST","133651","66825.5","351412.84","0","133651","0","0","0.38","0","0.3803247485208565"
"STD","ETS-2-64","6575703A","1.5X1.5","DSEST300","DSEST300","20748","10374","137281.69","0","20748","0","0","0.15","0","0.15113450307903406"
"STD","ETS-0-64","6506370A","2.5X2.5","DSKST300","DSKST300","64426","32213","436173.91","537125","30092","0","1.23","0.07","0","1.3004377084360685"
"STRIP","ETS-0-64","6504079A","2X2","DRVST","DRVST","49388","24694","219277.24","491695","49388","0","2.24","0.23","0","2.4675748381364158"
"STRIP","ETS-2-64","6506370A","2X2","DSGST","DSGST","24837","12418.5","364126.32","0","24837","0","0","0.07","0","0.06820984541848005"
"STD","ETS-2-64","6514765A","2X2","DRVST300","DRVST300","24731","12365.5","337221.82","0","24731","0","0","0.07","0","0.07333748450797163"
"STD","ETM-4-64","6524788B","2X2","DRVST300","DRVST300","88373","44186.5","185472","13960","74413","0","0.08","0.4","0","0.4764762336093858"
"STRIP","ETM-2-64","6525230A","2X2","DRVST","DRVST","96758","48379","756144.19","30216","66542","0","0.04","0.09","0","0.12796236654281506"
"STD","ETS-2-128","6528944B","2X2","RUNST300","RUNST300","310823","155411.5","197858.21","472642","680208","0","2.39","3.44","0","5.82664727432842"
"STD","ETS-2-64","6528944B","2X2","RUNST300","RUNST300","382455","191227.5","197858.21","472642","680208","0","2.39","3.44","0","5.82664727432842"
"STRIP","ETS-4M-128","6570316D","2X2","DSQST","DSQST","36921","18460.5","112889.4","0","36921","0","0","0.33","0","0.3270546216030912"
"STD","ETS-2-64","6574499A","2X2","DRVST300","DRVST300","12370","6185","359513.04","0","12370","0","0","0.03","0","0.034407653196668476"
"STRIP","ETS-2-64","6576907B","2X2","DSGST","DSGST","23506","11753","200903.74","0","23506","0","0","0.12","0","0.11700130619768453"
"STD","ETS-2-64","6570242A","3.3X3.3","DNSCLPVTT","DNSCLPVTT","37992","18996","69380.83","298951","4693","0","4.31","0.07","0","4.3764826681952345"
"STD","ETS-2-64","6487925B","3.5X3.5","RHL","RHL","576570","288285","61549.98","412540","606762","0","6.7","9.86","0","16.560557777597978"
"STD","ETS-2M-64","6487925B","3.5X3.5","RGY300","RGY300","98995","49497.5","63050.45","185414","30687","0","2.94","0.49","0","3.4274299390408793"
"STD","ETS-S-64","6487925B","3.5X3.5","RHL","RHL","102166","51083","61120.81","36196","30146","0","0.59","0.49","0","1.0854240969646836"
"STD","ETS-2-64","6507169A","3.5X3.5","RVA","RVA","6292","3146","52646.91","0","6292","0","0","0.12","0","0.11951318700375767"
"STD","ETS-2-64","6512615D","3.5X3.5","RGR300","RGR300","48427","24213.5","89910.03","7345","0","0","0.08","0","0","0.08169277665684241"
"STD","ETS-2M-64","6541231B","3.5X3.5","RGR300","RGR300","150267","75133.5","75720.65","100536","150267","0","1.33","1.98","0","3.3122140393670687"
"STD","ETS-2-64","6545253A","3.5X3.5","RGR300","RGR300","76748","38374","59869.35","0","76748","0","0","1.28","0","1.2819247244207597"
"STD","ETM-4-64","6566885A","3.5X3.5","RGY300","RGY300","24226","12113","58485.72","16691","7535","0","0.29","0.13","0","0.4142207704718348"
"STRIP","ETS-1-64","6571778A","3.5X3.5","RGR300ST","RGR300ST","154826","77413","83689.41","8123","278043","0","0.1","3.32","0","3.41938125743747"
"STRIP","ETS-2-128","6571778A","3.5X3.5","RGR300ST","RGR300ST","131340","65670","83689.41","8123","278043","0","0.1","3.32","0","3.41938125743747"
"STRIP","ETS-2-64","6509808B","3X2","DQCST","DQCST","97231","48615.5","129861.82","0","97231","0","0","0.75","0","0.7487266080207408"
"STRIP","ETS-2-64","6545098B","3X2","DQCST","DQCST","34399","17199.5","600628.97","166582","25295","0","0.28","0.04","0","0.3194601152854815"
"STRIP","ETS-2-64","6552808A","3X2","DSSST","DSSST","564307","282153.5","166192.45","128975","505714","0","0.78","3.04","0","3.8190002012726807"
"STRIP","ETS-2-64","6556617A","3X2.5","MPCMCMST","MPCMCMST","179446","89723","188033.72","265009","118806","0","1.41","0.63","0","2.041203035285373"
"STD","ETM-2-64","6460534B","3X3","DRB","DRB","51577","25788.5","79116.46","0","51577","0","0","0.65","0","0.6519123833396995"
"STD","ETM-2-64","6468723B","3X3","DRCLLF","DRCLLF","11001","5500.5","115912.08","25466","11001","0","0.22","0.09","0","0.31460914168738924"
"STD","ETM-2-64","6473092B","3X3","DRB","DRB","7097","3548.5","62568.18","10480","7097","0","0.17","0.11","0","0.28092554394262387"
"STD","ETS-2-64","6484140A","3X3","RGT300LLF","RGT300LLF","142221","71110.5","85958.47","16932","22857","0","0.2","0.27","0","0.4628863217318782"
"STD","ETS-0-64","6489159B","3X3","DRB","DRB","35318","17659","68579.81","13806","21512","0","0.2","0.31","0","0.5149912197190398"
"STD","ETS-2-64","6493388A","3X3","DRC300LLF","DRC300LLF","194202","97101","121991.89","0","194202","0","0","1.59","0","1.5919254960309246"
"STD","ETS-2-64","6505620C","3X3","DRC","DRC","61971","30985.5","20526.55","0","6792","0","0","0.33","0","0.33088853216931247"
"STD","ETS-1M-64","6505771B","3X3","DRB300","DRB300","66637","33318.5","27444.49","0","38976","0","0","1.42","0","1.4201757802750206"
"STD","ETS-2-64","6505771B","3X3","DRB300","DRB300","13777","6888.5","137222.44","0","38976","0","0","0.28","0","0.2840351767538895"
"STD","ETS-2M-64","6505771B","3X3","DRB","DRB","55747","27873.5","0","224248","200512","0","0","0","0","0"
"STD","ETS-2Q-64","6505771B","3X3","DRB300","DRB300","68803","34401.5","27444.49","0","38976","0","0","1.42","0","1.4201757802750206"
"STD","ETS-2-64","6510147A","3X3","DRBLLF","DRBLLF","8976","4488","70232.71","68773","53784","0","0.98","0.77","0","1.745013114259723"
"STD","ETS-2-64","6510609E","3X3","RGT300","RGT300","16831","8415.5","94171.79","0","16831","0","0","0.18","0","0.1787265591956997"
"STD","ETS-2-64","6511094C","3X3","DRB","DRB","144502","72251","93149.41","42348","20988","0","0.45","0.23","0","0.679939894412643"
"STD","ETS-2-64","6513992A","3X3","RGT","RGT","26445","13222.5","68056.62","4601","0","0","0.07","0","0","0.0676054732074558"
"STD","ETS-0-64","6513992B","3X3","RGTLLF","RGTLLF","125156","62578","0","76896","115878","0","0","0","0","0"
"STD","ETS-S-64","6515889A","3X3","DRG","DRG","17472","8736","103199.08","0","17472","0","0","0.17","0","0.16930383487914816"
"STD","ETS-1-64","6516230D","3X3","DRC300LLF","DRC300LLF","119252","59626","99263.5","324998","354181","0","3.27","3.57","0","6.842182675404353"
