LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE,,
5579000,1306051RHRR-G2,RHR300       ,28,6476,9.89,5579000,4410,1,14.73,13.79,9.5,                   ,6/29/2015 2:06,,,
5574812,1306051RHRR-G2,RHR300       ,28,6476,11.06,5574812,4410,1,14.73,13.79,10.66,                   ,6/29/2015 2:06,,,
5581373,1306051RHRR-G2,RHR300       ,28,6478,9.15,5581373,4410,1,14.73,13.79,8.76,                   ,6/29/2015 2:06,,,
5579003,1306051RHRR-G2,RHR300       ,28,6475,9.89,5579003,4410,1,14.73,13.79,9.5,                   ,6/29/2015 2:06,,,
5571886,1306051RHRR-G2,RHR300       ,28,6475,11.83,5571886,4410,1,14.73,13.79,11.44,6/28/2015 10:49,6/29/2015 2:06,CLFTEA12,,
5571887,1306051RHRR-G2,RHR300       ,28,5858,11.83,5571887,4410,1,14.73,13.79,11.44,                   ,6/29/2015 2:06,,,
5578991,1306051RHRR-G2,RHR300       ,28,6478,9.89,5578991,4410,1,14.73,13.79,9.5,                   ,6/29/2015 2:06,,,
5579002,1306051RHRR-G2,RHR300       ,28,6478,9.89,5579002,4410,1,14.73,13.79,9.5,                   ,6/29/2015 2:06,,,
5574806,1306051RHRR-G2,RHR300       ,28,6473,11.06,5574806,4410,1,14.73,13.79,10.66,                   ,6/29/2015 2:06,,,
5571888,1306051RHRR-G2,RHR300       ,28,4114,11.83,5571888,4410,1,14.73,13.79,11.44,                   ,6/29/2015 2:06,,,
5578990,1306051RHRR-G2,RHR300       ,28,6446,9.89,5578990,4410,1,14.73,13.79,9.5,                   ,6/29/2015 2:06,,,
5574814,1306051RHRR-G2,RHR300       ,28,3849,11.06,5574814,4410,1,14.73,13.79,10.66,                   ,6/29/2015 2:06,,,
5578995,1306051RHRR-G2,RHR300       ,28,6450,9.89,5578995,4410,1,14.73,13.79,9.5,                   ,6/29/2015 2:06,,,
5574802,1306051RHRR-G2,RHR300       ,28,6472,11.06,5574802,4410,1,14.73,13.79,10.66,                   ,6/29/2015 2:06,,,
5571881,1306051RHRR-G2,RHR300       ,28,6476,11.83,5571881,4410,1,14.73,13.79,11.44,6/28/2015 7:57,6/29/2015 2:06,CLFTEA59,,
5578993,1306051RHRR-G2,RHR300       ,28,6470,9.89,5578993,4410,1,14.73,13.79,9.5,                   ,6/29/2015 2:06,,,
5574800,1306051RHRR-G2,RHR300       ,28,6476,11.06,5574800,4410,1,14.73,13.79,10.66,                   ,6/29/2015 2:06,,,
5578999,1306051RHRR-G2,RHR300       ,28,6478,9.89,5578999,4410,1,14.73,13.79,9.5,                   ,6/29/2015 2:06,,,
5572527,1306051RHRR-G2,RHR300       ,28,6225,11.6,5572527,4410,1,14.73,13.79,11.21,                   ,6/29/2015 2:06,,,
5581375,1306051RHRR-G2,RHR300       ,28,6450,9.15,5581375,4410,1,14.73,13.79,8.76,                   ,6/29/2015 2:06,,,
5578996,1306051RHRR-G2,RHR300       ,28,6477,9.89,5578996,4410,1,14.73,13.79,9.5,                   ,6/29/2015 2:06,,,
5581368,1306051RHRR-G2,RHR300       ,28,6474,9.15,5581368,4410,1,14.73,13.79,8.76,                   ,6/29/2015 2:06,,,
5574803,1306051RHRR-G2,RHR300       ,28,6470,11.06,5574803,4410,1,14.73,13.79,10.66,                   ,6/29/2015 2:06,,,
5578994,1306051RHRR-G2,RHR300       ,28,6466,9.89,5578994,4410,1,14.73,13.79,9.5,                   ,6/29/2015 2:06,,,
5571889,1306051RHRR-G2,RHR300       ,28,3237,11.83,5571889,4410,1,14.73,13.79,11.44,                   ,6/29/2015 2:06,,,
5578997,1306051RHRR-G2,RHR300       ,28,6477,9.89,5578997,4410,1,14.73,13.79,9.5,                   ,6/29/2015 2:06,,,
5578992,1306051RHRR-G2,RHR300       ,28,6477,9.89,5578992,4410,1,14.73,13.79,9.5,                   ,6/29/2015 2:06,,,
5574805,1306051RHRR-G2,RHR300       ,28,6480,11.06,5574805,4410,1,14.73,13.79,10.66,                   ,6/29/2015 2:06,,,
5574809,1306051RHRR-G2,RHR300       ,28,6479,11.06,5574809,4410,1,14.73,13.79,10.66,                   ,6/29/2015 2:06,,,
5574804,1306051RHRR-G2,RHR300       ,28,6473,11.06,5574804,4410,1,14.73,13.79,10.66,                   ,6/29/2015 2:06,,,
5579004,1306051RHRR-G2,RHR300       ,28,4064,9.89,5579004,4410,1,14.73,13.79,9.5,                   ,6/29/2015 2:06,,,
5581381,1306051RHRR-G2,RHR300       ,28,3779,9.15,5581381,4410,1,14.73,13.79,8.76,                   ,6/29/2015 2:06,,,
5581376,1306051RHRR-G2,RHR300       ,28,6479,9.15,5581376,4410,1,14.73,13.79,8.76,                   ,6/29/2015 2:06,,,
5584601,1306051RHRR-G2,RHR300       ,28,6478,8.2,5584601,4410,1,14.73,13.79,7.8,                   ,6/29/2015 2:06,,,
5581374,1306051RHRR-G2,RHR300       ,28,6473,9.15,5581374,4410,1,14.73,13.79,8.76,                   ,6/29/2015 2:06,,,
5581370,1306051RHRR-G2,RHR300       ,28,6479,9.15,5581370,4410,1,14.73,13.79,8.76,                   ,6/29/2015 2:06,,,
5315922,1312DRCR1-G2KY,DRCST300     ,10,6907,86.8,5315922,4410,1,15.31,13.05,85.08,                   ,6/29/2015 2:06,,,
5518813,1401043RVER-LN,RVECLIP      ,28,3622,1,5518813,4410,1,20.89,19.47,26.47,                   ,6/29/2015 2:06,,,
5531098,1401043RVER-LN,RVECLIP      ,28,3220,1,5531098,4410,1,20.89,19.47,25.49,                   ,6/29/2015 2:06,,,
5544318,1605DPJT-G2QR&,DPJST300     ,8,8026,21.76,5544318,4410,1,16.09,13.05,19.26,                   ,6/29/2015 2:06,,,
5544317,1605DPJT-G2QR&,DPJST300     ,8,8063,21.76,5544317,4410,1,16.09,13.05,19.26,                   ,6/29/2015 2:06,,,
5528734,1640ARSLR1-G2K,RSL300       ,48,2361,24.37,5528734,4410,1,15,13.79,23.7,                   ,6/29/2015 2:06,,,
5536341,202027CRSLR-G2,RSL300       ,48,5130,23.06,5536341,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5535496,202027CRSLR-G2,RSL300       ,48,4857,23.34,5535496,4410,1,15.41,13.29,21.77,                   ,6/29/2015 2:06,,,
5535500,202027CRSLR-G2,RSL300       ,48,5167,23.34,5535500,4410,1,15.41,13.29,21.77,                   ,6/29/2015 2:06,,,
5535503,202027CRSLR-G2,RSL300       ,48,5175,23.34,5535503,4410,1,15.41,13.29,21.77,                   ,6/29/2015 2:06,,,
5536349,202027CRSLR-G2,RSL300       ,48,3305,23.06,5536349,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5536348,202027CRSLR-G2,RSL300       ,48,5179,23.06,5536348,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5535506,202027CRSLR-G2,RSL300       ,48,3293,23.34,5535506,4410,1,15.41,13.29,21.77,                   ,6/29/2015 2:06,,,
5536347,202027CRSLR-G2,RSL300       ,48,5168,23.06,5536347,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5536343,202027CRSLR-G2,RSL300       ,48,5178,23.06,5536343,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5535505,202027CRSLR-G2,RSL300       ,48,5176,23.34,5535505,4410,1,15.41,13.29,21.77,                   ,6/29/2015 2:06,,,
5536339,202027CRSLR-G2,RSL300       ,48,5165,23.06,5536339,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5535499,202027CRSLR-G2,RSL300       ,48,5178,23.34,5535499,4410,1,15.41,13.29,21.77,                   ,6/29/2015 2:06,,,
5535502,202027CRSLR-G2,RSL300       ,48,5174,23.34,5535502,4410,1,15.41,13.29,21.77,                   ,6/29/2015 2:06,,,
5535495,202027CRSLR-G2,RSL300       ,48,5167,23.34,5535495,4410,1,15.41,13.29,21.77,                   ,6/29/2015 2:06,,,
5536345,202027CRSLR-G2,RSL300       ,48,5175,23.06,5536345,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5536340,202027CRSLR-G2,RSL300       ,48,5132,23.06,5536340,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5536344,202027CRSLR-G2,RSL300       ,48,5170,23.06,5536344,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5535501,202027CRSLR-G2,RSL300       ,48,5170,23.34,5535501,4410,1,15.41,13.29,21.77,                   ,6/29/2015 2:06,,,
5535498,202027CRSLR-G2,RSL300       ,48,5177,23.34,5535498,4410,1,15.41,13.29,21.77,                   ,6/29/2015 2:06,,,
5536346,202027CRSLR-G2,RSL300       ,48,5180,23.06,5536346,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5535504,202027CRSLR-G2,RSL300       ,48,5165,23.34,5535504,4410,1,15.41,13.29,21.77,                   ,6/29/2015 2:06,,,
5535497,202027CRSLR-G2,RSL300       ,48,5164,23.34,5535497,4410,1,15.41,13.29,21.77,                   ,6/29/2015 2:06,,,
5536342,202027CRSLR-G2,RSL300       ,48,5171,23.06,5536342,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5536335,202027KRSLR-G2,RSL300       ,48,4686,23.06,5536335,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5536327,202027KRSLR-G2,RSL300       ,48,5151,23.06,5536327,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5536332,202027KRSLR-G2,RSL300       ,48,5157,23.06,5536332,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5536331,202027KRSLR-G2,RSL300       ,48,5171,23.06,5536331,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5535493,202027KRSLR-G2,RSL300       ,48,2528,23.34,5535493,4410,1,15.41,13.29,21.77,                   ,6/29/2015 2:06,,,
5536334,202027KRSLR-G2,RSL300       ,48,5152,23.06,5536334,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5536329,202027KRSLR-G2,RSL300       ,48,5174,23.06,5536329,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5536333,202027KRSLR-G2,RSL300       ,48,5165,23.06,5536333,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5536330,202027KRSLR-G2,RSL300       ,48,5155,23.06,5536330,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5535488,202027KRSLR-G2,RSL300       ,48,5175,23.34,5535488,4410,1,15.41,13.29,21.77,                   ,6/29/2015 2:06,,,
5536328,202027KRSLR-G2,RSL300       ,48,5143,23.06,5536328,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5536336,202027KRSLR-G2,RSL300       ,48,2590,23.06,5536336,4410,1,15.41,13.29,21.48,                   ,6/29/2015 2:06,,,
5592127,202027LRSLR-G2,RSL300       ,48,5164,6.92,5592127,4410,1,15.11,13.29,5.65,                   ,6/29/2015 2:06,,,
5577998,204036RHAR1-G2,RHA300       ,40,5168,11.08,5577998,4410,1,15.18,13.35,9.8,                   ,6/29/2015 2:06,,,
5577996,204036RHAR1-G2,RHA300       ,40,5149,11.08,5577996,4410,1,15.18,13.35,9.8,                   ,6/29/2015 2:06,,,
5577993,204036RHAR1-G2,RHA300       ,40,5179,11.08,5577993,4410,1,15.18,13.35,9.8,                   ,6/29/2015 2:06,,,
5577995,204036RHAR1-G2,RHA300       ,40,5177,11.08,5577995,4410,1,15.18,13.35,9.8,                   ,6/29/2015 2:06,,,
5577999,204036RHAR1-G2,RHA300       ,40,5150,11.08,5577999,4410,1,15.18,13.35,9.8,                   ,6/29/2015 2:06,,,
5577994,204036RHAR1-G2,RHA300       ,40,5175,11.08,5577994,4410,1,15.18,13.35,9.8,6/28/2015 10:36,6/29/2015 2:06,CLFTEA41,,
5577997,204036RHAR1-G2,RHA300       ,40,5154,11.08,5577997,4410,1,15.18,13.35,9.8,                   ,6/29/2015 2:06,,,
5528516,219ARGTR-G2QR#,RGT300LLF    ,16,13184,25.11,5528516,4410,1,16.6,14.74,23.8,6/29/2015 12:50,6/29/2015 2:06,CLFTEA83,,
5456091,225CRUKR4-G2YK,RUKST300     ,20,6910,47.02,5456091,4410,1,15.8,13.01,44.77,                   ,6/29/2015 2:06,,,
5546536,235PRWLT-G2QN&,RWLFCST300   ,9,19514,16.75,5546536,4410,1,1.89,3.33,18.73,                   ,6/29/2015 2:06,,,
5546537,236PRWLT-G2QN&,RWLFCST300   ,9,19551,16.75,5546537,4410,1,1.89,3.33,18.73,                   ,6/29/2015 2:06,,,
5580190,24725ARGRR-G2K,RGR300       ,20,15077,9.49,5580190,4410,1,14.79,13.85,9.1,                   ,6/29/2015 2:06,,,
5580200,24725ARGRR-G2K,RGR300       ,20,15107,9.49,5580200,4410,1,14.79,13.85,9.1,                   ,6/29/2015 2:06,,,
5574251,24725ARGRR-G2K,RGR300       ,20,8879,11.2,5574251,4410,1,14.79,13.85,10.81,                   ,6/29/2015 2:06,,,
5580199,24725ARGRR-G2K,RGR300       ,20,15089,9.49,5580199,4410,1,14.79,13.85,9.1,                   ,6/29/2015 2:06,,,
5580187,24725ARGRR-G2K,RGR300       ,20,15031,9.49,5580187,4410,1,14.79,13.85,9.1,                   ,6/29/2015 2:06,,,
5580188,24725ARGRR-G2K,RGR300       ,20,15105,9.49,5580188,4410,1,14.79,13.85,9.1,                   ,6/29/2015 2:06,,,
5580191,24725ARGRR-G2K,RGR300       ,20,15098,9.49,5580191,4410,1,14.79,13.85,9.1,                   ,6/29/2015 2:06,,,
5586913,24725ARGRR-G2K,RGR300       ,20,14935,7.53,5586913,4410,1,14.79,13.85,7.14,                   ,6/29/2015 2:06,,,
