 Tester , TesterConfig , PackageSize , Initial_LoadBoard , Optimizer_LoadBoard , N_Lots , SUM_QTY , ChangeOver , Hours , PKGTYPE , PIN , CAP_PER_DAY , WIP_POST_WB , WIP_FT1 , WIP_FT2 , POST_WB_QUEUE , TEST_QUEUE_FT1 , TEST_QUEUE_FT2 , TOTAL_WIP 
 CLFTEA10 , ETS-1M-64 , 3X3 , 6514600A                                      , 6529253A , 7 , 96222 , 1 , 44.49 , STD   , RTE300        , 51885.01 , 13886 , 430191 , 0 , 0.27 , 8.29 , 0 , 8.56 
 CLFTEA10 , ETS-1M-64 , 2X2 , 6514600A                                      , 6506370A , 2 , 35864 , 2 , 3.23 , STRIP , DSGST         , 282624 , 48095 , 0 , 0 , 0.17 , 0 , 0 , 0.17 
 CLFTEA11 , ETS-2-64 , 4X4 , 6525585A                                      , 6525585A , 14 , 128852 , 0 , 47.24 , STD   , RGE300LLF     , 65484.22 , 0 , 28317 , 0 , 0 , 0.43 , 0 , 0.43 
 CLFTEA12 , ETS-2-64 , 3.5X3.5 , 6487925B                                      , 6487925B , 12 , 122233 , 0 , 47.78 , STD   , RHL           , 61248.18 , 124879 , 523880 , 0 , 2.04 , 8.55 , 0 , 10.59 
 CLFTEA13 , ETS-1M-64 , 3X3 , 6517950B                                      , 6511094C , 14 , 183956 , 1 , 47.41 , STD   , DRB           , 93149.41 , 55079 , 184066 , 0 , 0.59 , 1.98 , 0 , 2.57 
 CLFTEA14 , ETS-2-64 , 3.5X3.5 , 6541231B                                      , 6541231B , 10 , 147509 , 0 , 46.76 , STD   , RGR300        , 75720.65 , 30162 , 159348 , 0 , 0.4 , 2.1 , 0 , 2.5 
 CLFTEA15 , ETS-S-64 , 3.5X3.5 , 6510697B                                      , 6487925B , 9 , 134659 , 1 , 47.81 , STD   , RHL300        , 68160.32 , 169751 , 81835 , 0 , 2.49 , 1.2 , 0 , 3.69 
 CLFTEA17 , ETS-0-64 , 3X3 , 6505620C                                      , 6505620C , 6 , 74806 , 0 , 13.80 , STD   , DRC           , 263519.06 , 27320 , 61304 , 0 , 0.1 , 0.23 , 0 , 0.34 
 CLFTEA17 , ETS-0-64 , 2.5X2.5 , 6505620C                                      , 6497193A , 4 , 59072 , 1 , 7.09 , STRIP , DSKST         , 200081.96 , 0 , 45411 , 0 , 0 , 0.23 , 0 , 0.23 
 CLFTEA17 , ETS-0-64 , 3.5X3.5 , 6505620C                                      , 6487925B , 5 , 75445 , 2 , 25.89 , STD   , RGY           , 70186.31 , 251706 , 712865 , 0 , 3.59 , 10.16 , 0 , 13.74 
