Machine_Instance,Machine_Family_Name,Lot_Name,Logpoint,Quantity,Lot_Weight,Initial_Lot_Flag,Device_Name,Tooling_Family_Name,Certification,Setup_Time,Start_Time,Completion_Time,Pass_No,Finished,Package
CLFTEA35,ETS-2M-64,8111195,4410,12673,752,N,PS53312RGTR-LY,6516394A,1,00/04/2016 06:06:12,0/4/2016 6:6:14,00/04/2016 10:14:00,1,Y,3X3
CLFTEA35,ETS-2M-64,8111194,4410,16760,752,N,PS53312RGTR-LY,6516394A,1,00/04/2016 06:06:12,0/4/2016 10:14:0,00/04/2016 15:41:42,1,Y,3X3
CLFTEA35,ETS-2M-64,8111196,4410,8454,752,N,PS53312RGTR-LY,6516394A,1,00/04/2016 06:06:12,0/4/2016 15:41:42,00/04/2016 18:27:01,1,Y,3X3
CLFTEA35,ETS-2M-64,8102981,4410,15107,987,N,PS54326RGTR-LY,6516394A,1,00/04/2016 06:06:12,0/4/2016 18:27:1,00/04/2016 23:17:29,1,Y,3X3
CLFTEA35,ETS-2M-64,8107685,4410,12696,854,N,PS54326RGTR-LY,6516394A,1,00/04/2016 06:06:12,0/4/2016 23:17:29,00/05/2016 03:21:36,1,Y,3X3
CLFTEA35,ETS-2M-64,8106383,4410,16842,887,N,S53302RGTR-G2Y,6516394A,1,00/04/2016 06:06:12,0/5/2016 3:21:36,00/05/2016 09:22:17,1,Y,3X3
CLFTEA35,ETS-2M-64,8106385,4410,16810,886,N,S53312RGTR-G2Y,6516394A,1,00/04/2016 06:06:12,0/5/2016 9:22:17,00/05/2016 14:50:58,1,Y,3X3
CLFTEA35,ETS-2M-64,8106386,4410,11791,886,N,S53312RGTR-G2Y,6516394A,1,00/04/2016 06:06:12,0/5/2016 14:50:58,00/05/2016 18:41:32,1,Y,3X3
CLFTEA35,ETS-2M-64,8116749,4410,8443,585,N,S53511RGTR-G2Y,6516394A,1,00/04/2016 06:06:12,0/5/2016 18:41:32,00/05/2016 21:14:10,1,Y,3X3
CLFTEA35,ETS-2M-64,8116748,4410,10107,585,N,S53511RGTR-G2Y,6516394A,1,00/04/2016 06:06:12,0/5/2016 21:14:10,00/06/2016 00:16:52,1,Y,3X3
CLFTEA35,ETS-2M-64,8116746,4410,16850,585,N,S53511RGTR-G2Y,6516394A,1,00/04/2016 06:06:12,0/6/2016 0:16:52,00/06/2016 05:21:25,1,Y,3X3
CLFTEA50,ETS-2-64,8092549,4410,13820,1344,N,PS2560DRCR1-G2,6554905A,1,00/04/2016 06:06:12,0/4/2016 6:6:14,00/04/2016 06:58:04,1,Y,3X3
CLFTEA50,ETS-2-64,8092550,4410,13823,1344,N,PS2560DRCR1-G2,6554905A,1,00/04/2016 06:06:12,0/4/2016 6:58:4,00/04/2016 07:49:56,1,Y,3X3
CLFTEA50,ETS-2-64,8092547,4410,13817,1344,N,PS2560DRCR1-G2,6554905A,1,00/04/2016 06:06:12,0/4/2016 7:49:56,00/04/2016 08:41:48,1,Y,3X3
CLFTEA50,ETS-2-64,8092551,4410,13820,1344,N,PS2560DRCR1-G2,6554905A,1,00/04/2016 06:06:12,0/4/2016 8:41:48,00/04/2016 09:33:40,1,Y,3X3
CLFTEA50,ETS-2-64,8092554,4410,6912,1344,N,PS2560DRCR1-G2,6554905A,1,00/04/2016 06:06:12,0/4/2016 9:33:40,00/04/2016 09:59:37,1,Y,3X3
CLFTEA50,ETS-2-64,8092548,4410,13823,1344,N,PS2560DRCR1-G2,6554905A,1,00/04/2016 06:06:12,0/4/2016 9:59:37,00/04/2016 10:51:30,1,Y,3X3
CLFTEA50,ETS-2-64,8095656,4410,13818,1246,N,PS2560DRCR1-G2,6554905A,1,00/04/2016 06:06:12,0/4/2016 10:51:30,00/04/2016 11:43:22,1,Y,3X3
CLFTEA50,ETS-2-64,8095653,4410,13821,1246,N,PS2560DRCR1-G2,6554905A,1,00/04/2016 06:06:12,0/4/2016 11:43:22,00/04/2016 12:35:14,1,Y,3X3
CLFTEA50,ETS-2-64,8095657,4410,13815,1246,N,PS2560DRCR1-G2,6554905A,1,00/04/2016 06:06:12,0/4/2016 12:35:14,00/04/2016 13:27:05,1,Y,3X3
CLFTEA50,ETS-2-64,8095660,4410,6909,1246,N,PS2560DRCR1-G2,6554905A,1,00/04/2016 06:06:12,0/4/2016 13:27:5,00/04/2016 13:53:02,1,Y,3X3
CLFTEA50,ETS-2-64,8095659,4410,10878,1246,N,PS2560DRCR1-G2,6554905A,1,00/04/2016 06:06:12,0/4/2016 13:53:2,00/04/2016 14:33:52,1,Y,3X3
CLFTEA50,ETS-2-64,8099375,4410,13821,1140,N,PS2560DRCR1-G2,6554905A,1,00/04/2016 06:06:12,0/4/2016 14:33:52,00/04/2016 15:25:44,1,Y,3X3
CLFTEA50,ETS-2-64,8099377,4410,13819,1140,N,PS2560DRCR1-G2,6554905A,1,00/04/2016 06:06:12,0/4/2016 15:25:44,00/04/2016 16:17:36,1,Y,3X3
