Lot Name,Device,Key Device,Key Package,Key Pin Package,Num of Device,Estimated Time Required
5936600,S65177RHAR1-G2,N,N,N,5173,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5936605,S65177RHAR1-G2,N,N,N,5176,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5936601,S65177RHAR1-G2,N,N,N,5182,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5936594,S65177RHAR1-G2,N,N,N,5152,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5936599,S65177RHAR1-G2,N,N,N,5178,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5936604,S65177RHAR1-G2,N,N,N,5180,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5936598,S65177RHAR1-G2,N,N,N,5181,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5936607,S65177RHAR1-G2,N,N,N,2583,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5936597,S65177RHAR1-G2,N,N,N,5148,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5936602,S65177RHAR1-G2,N,N,N,5086,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5947013,MC7812SRGCR-CK,N,N,N,1455,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5945291,PS65023RSBR1-R,N,N,N,5996,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5945290,PS65023RSBR1-R,N,N,N,7910,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5953491,PS65051RSMR1-R,N,N,N,4583,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5954603,TPS65198RUYR-G,N,N,N,10049,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5954599,TPS65198RUYR-G,N,N,N,10068,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5954606,TPS65198RUYR-G,N,N,N,10052,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5954624,PS65023RSBR1-R,N,N,N,2813,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5954609,TPS65198RUYR-G,N,N,N,5030,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5954604,TPS65198RUYR-G,N,N,N,10038,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5954605,TPS65198RUYR-G,N,N,N,10068,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5954607,TPS65198RUYR-G,N,N,N,10039,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5954608,TPS65198RUYR-G,N,N,N,5288,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5958156,MC7812SRGCR-CK,N,N,N,2392,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5958157,MC7812SRGCR-CK,N,N,N,2388,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5958158,MC7812SRGCR-CK,N,N,N,2394,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5956738,1306051RHRR-G2,N,N,N,3233,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5961662,TPS65198RUYR-G,N,N,N,10074,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5961663,TPS65198RUYR-G,N,N,N,8713,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5965043,TPS65198RUYR-G,N,N,N,5036,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5965042,TPS65198RUYR-G,N,N,N,9109,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5966110,TPS65197RUYR-G,N,N,N,10057,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5966117,TPS65197RUYR-G,N,N,N,5035,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5966115,TPS65197RUYR-G,N,N,N,10076,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5966112,TPS65197RUYR-G,N,N,N,5036,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5966116,TPS65197RUYR-G,N,N,N,9363,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5966113,TPS65197RUYR-G,N,N,N,10045,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5966111,TPS65197RUYR-G,N,N,N,7024,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5966107,TPS65197RUYR-G,N,N,N,10058,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5968592,1306051RHRR-G2,N,N,N,3213,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5968585,1306051RHRR-G2,N,N,N,6471,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5968590,1306051RHRR-G2,N,N,N,6477,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5968586,1306051RHRR-G2,N,N,N,6473,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5968589,1306051RHRR-G2,N,N,N,6450,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5968584,1306051RHRR-G2,N,N,N,6477,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5968587,1306051RHRR-G2,N,N,N,6475,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5968591,1306051RHRR-G2,N,N,N,4431,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5968588,1306051RHRR-G2,N,N,N,6476,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5981040,62407QDRCRQ1-R,N,N,N,13731,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5966053,212006RGRR-G2$,N,N,N,12000,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5975284,PS65023RSBR1-R,N,N,N,7870,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5975283,PS65023RSBR1-R,N,N,N,7906,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5975279,PS65023RSBR1-R,N,N,N,7907,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5975282,PS65023RSBR1-R,N,N,N,7140,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5975280,PS65023RSBR1-R,N,N,N,7635,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5975281,PS65023RSBR1-R,N,N,N,7909,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5976477,V62090RGTR1-G2,N,N,N,13765,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5976480,V62090RGTR1-G2,N,N,N,13811,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5976473,V62090RGTR1-G2,N,N,N,13742,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5976482,V62090RGTR1-G2,N,N,N,13610,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5976479,V62090RGTR1-G2,N,N,N,13637,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5976474,V62090RGTR1-G2,N,N,N,13794,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5976484,V62090RGTR1-G2,N,N,N,6896,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5976475,V62090RGTR1-G2,N,N,N,13773,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5976483,V62090RGTR1-G2,N,N,N,8620,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5976478,V62090RGTR1-G2,N,N,N,13753,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5976481,V62090RGTR1-G2,N,N,N,13818,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5969240,212006RGRR-G2$,N,N,N,5975,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5969241,212006RGRR-G2$,N,N,N,6000,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5969244,212006RGRR-G2$,N,N,N,14999,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5969239,212006RGRR-G2$,N,N,N,6000,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5969242,212006RGRR-G2$,N,N,N,5999,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
